tag,exp,dim,lock_ann,ann_d_pp,lock_mdd,mdd_d_pp,lock_sharpe,sharpe_d,lock_turn,turn_d,lock_calmar,full_ann,full_mdd,full_sharpe
a11_g1_thr0,G1 妖股剔除,30日涨停cnt>0(任1次)出池,0.1415,-1.59,-0.3697,-7.17,0.9329,-0.065,0.3913,0.0716,0.3827,0.1388,-0.3697,0.9308
a11_g1_thr1,G1 妖股剔除,30日涨停cnt>1出池,0.1562,-0.12,-0.2897,0.83,1.0085,0.01,0.3386,0.0189,0.5391,0.1512,-0.2897,0.9944
a11_g1_thr2,G1 妖股剔除,30日涨停cnt>2出池,0.1554,-0.2,-0.2929,0.51,0.9958,-0.002,0.3284,0.0087,0.5307,0.1507,-0.2929,0.9831
a11_g1_thr3,G1 妖股剔除,30日涨停cnt>3出池,0.1564,-0.1,-0.2967,0.13,0.9971,-0.001,0.324,0.0043,0.5269,0.1513,-0.2967,0.9829
a11_g1_t20a1,G1 妖股剔除,20日涨停cnt>0(任1次)对照,0.1488,-0.86,-0.3084,-1.04,0.9696,-0.029,0.3989,0.0792,0.4826,0.145,-0.3084,0.9621
a11_g2_blacklist,G2 持仓黑名单,卖出后30交易日禁买回(池过滤),0.1604,0.3,-0.3015,-0.35,1.0165,0.018,0.3154,-0.0043,0.5321,0.1548,-0.3015,0.9994
a11_g3_band,G3 价格带纪律,买>=涨停价x0.97不追/卖<=跌停价x1.04不割(顺延持有),0.1568,-0.06,-0.2993,-0.13,0.9986,0.0,0.3204,0.0007,0.524,0.1537,-0.2993,0.995
a11_nh10,G5 n_hold 网格,n_hold=10,0.1713,1.39,-0.294,0.4,1.0158,0.018,0.3697,0.05,0.5825,0.1676,-0.294,1.0106
a11_nh15,G5 n_hold 网格,n_hold=15,0.1582,0.08,-0.3063,-0.83,0.9798,-0.018,0.3367,0.017,0.5165,0.1543,-0.3063,0.9726
a11_nh30,G5 n_hold 网格,n_hold=30,0.1509,-0.65,-0.293,0.5,0.9869,-0.011,0.2903,-0.0294,0.5152,0.1462,-0.293,0.9725
