date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,4,4,002033|600886|000933|600428,000933|002033|600428|600886,,,
2006-03-01,6,6,002033|000550|600886|000933|600428|600010,000550|000933|002033|600010|600428|600886,,,
2006-04-03,6,6,002033|002040|000550|600886|000933|600428,000550|000933|002033|002040|600428|600886,,600010,
2006-05-08,9,9,001696|002022|000937|000933|002025|000155|600428|600096|000912,000155|000912|000933|000937|001696|002022|002025|600096|600428,,002033|000550|600886|002040,
2006-06-01,10,10,002022|600227|600420|000550|600428|000069|600096|000912|600418|600019,000069|000550|000912|002022|600019|600096|600227|600418|600420|600428,,000933|001696|000937|002025|000155,
2006-07-03,20,20,002050|001696|002028|002010|002022|600436|600348|600880|600227|000937|600420|600123|000550|002025|000933|600997|600183|000066|000155|600428,000066|000155|000550|000933|000937|001696|002010|002022|002025|002028|002050|600123|600183|600227|600348|600420|600428|600436|600880|600997,,600096|000912|000069|600418|600019,
2006-08-01,20,20,002050|600525|600276|002010|002028|002022|600436|600348|000937|600420|000731|600123|600596|002025|000933|600829|600809|600997|000550|600183,000550|000731|000933|000937|002010|002022|002025|002028|002050|600123|600183|600276|600348|600420|600436|600525|600596|600809|600829|600997,,600227|600428|001696|600880|000066|000155,
2006-09-01,20,20,002050|002033|002028|001696|600276|000157|600467|002010|002022|600348|000690|600497|600880|000006|600650|000937|600708|600420|600079|000731,000006|000157|000690|000731|000937|001696|002010|002022|002028|002033|002050|600079|600276|600348|600420|600467|600497|600650|600708|600880,,600436|600123|002025|000933|600997|000550|600183|600525|600596|600829|600809,
2006-10-09,20,20,002050|002033|001696|002010|600497|002022|600348|000690|600436|000006|600708|600650|600420|000937|600079|600467|000731|600123|600271|000933,000006|000690|000731|000933|000937|001696|002010|002022|002033|002050|600079|600123|600271|600348|600420|600436|600467|600497|600650|600708,,002028|600276|000157|600880,
2006-11-01,20,20,600845|002003|002050|002049|600525|002033|600518|002028|600439|002010|002046|600348|000690|600880|600227|000006|000987|600708|000937|600420,000006|000690|000937|000987|002003|002010|002028|002033|002046|002049|002050|600227|600348|600420|600439|600518|600525|600708|600845|600880,,001696|600497|002022|600650|600079|600467|000731|600436|600123|600271|000933,
2006-12-01,20,20,002003|002050|600525|002049|600518|600725|002033|002028|002010|600276|600517|600439|600348|002046|600436|000690|600227|600880|600708|600420,000690|002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600420|600436|600439|600517|600518|600525|600708|600725|600880,,000006|000937|600845|000987,
2007-01-04,20,20,002003|002050|600518|002049|002033|600517|002046|600276|600436|600348|600227|600880|000157|600497|600079|000937|600708|000987|600650|000006,000006|000157|000937|000987|002003|002033|002046|002049|002050|600079|600227|600276|600348|600436|600497|600517|600518|600650|600708|600880,,600525|002028|002010|600439|000690|600420|600725,
2007-02-01,20,20,002003|002049|002033|600517|600276|002046|002010|002028|600227|600420|000937|000006|600650|600467|002022|600533|600271|000933|600012|000983,000006|000933|000937|000983|002003|002010|002022|002028|002033|002046|002049|600012|600227|600271|600276|600420|600467|600517|600533|600650,,002050|600518|600436|600348|600880|600708|000157|600497|600079|000987,
2007-03-01,20,20,002049|600518|002033|600525|600517|600725|600276|002046|600348|002010|002028|600439|600227|000006|600420|000987|600467|600880|002022|002025,000006|000987|002010|002022|002025|002028|002033|002046|002049|600227|600276|600348|600420|600439|600467|600517|600518|600525|600725|600880,,002003|000937|600650|600533|600271|000933|600012|000983,
2007-04-02,20,20,002003|002050|002049|002033|600525|600276|600725|002046|600348|600436|002010|000157|002028|600439|600227|600517|000006|600420|000987|000937,000006|000157|000937|000987|002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600420|600436|600439|600517|600525|600725,,600467|002022|600518|600880|002025,
2007-05-08,20,20,002003|600547|600971|600348|002028|600227|000987|600517|600880|600271|600489|600439|600809|600123|002008|600231|002022|600761|000731|000550,000550|000731|000987|002003|002008|002022|002028|600123|600227|600231|600271|600348|600439|600489|600517|600547|600761|600809|600880|600971,,002049|002033|600525|600276|600725|002046|002010|000006|600420|002050|600436|000157|000937,
2007-06-01,20,20,002003|600993|002033|600547|600527|002028|600227|600436|600489|000903|600439|600231|000937|600123|600271|600497|600031|600033|000933|000528,000528|000903|000933|000937|002003|002028|002033|600031|600033|600123|600227|600231|600271|600436|600439|600489|600497|600527|600547|600993,,600348|000987|600517|600971|600880|600809|002008|002022|600761|000731|000550,
2007-07-02,20,20,600993|002033|600527|002038|002029|600227|600880|000987|600517|000903|600231|600161|000937|600123|600271|000919|600809|000731|600497|000528,000528|000731|000903|000919|000937|000987|002029|002033|002038|600123|600161|600227|600231|600271|600497|600517|600527|600809|600880|600993,,002003|600547|002028|600489|600439|600436|600031|600033|000933,
