year,return
2006,0.295671945285398
2007,1.1607121804271232
2008,-0.20140532315845472
2009,0.7235863703569856
2010,0.20521104721612904
2011,-0.17979817616947014
2012,-0.010021944608131439
2013,0.27991492537597495
2014,0.2400647790828483
2015,0.6817041762001643
2016,-0.06099458016760617
2017,-0.034659809214903525
2018,-0.004347610098074828
2019,0.1878375565955157
2020,0.09451847332660823
2021,0.19859609965961922
2022,0.00845337724316253
2023,0.030557583868703553
2024,0.05334058040874723
2025,0.21957893533636885
2026,-0.03509978228603294
