date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,4,3,002033|600886|000933|600428,002033|600428|600886,000933,,
2006-03-01,6,6,002033|000550|600886|000933|600428|600010,000550|000933|002033|600010|600428|600886,,,
2006-04-03,6,6,002033|002040|000550|600886|000933|600428,000550|000933|002033|002040|600428|600886,,600010,
2006-05-08,10,10,001696|002022|000937|000550|000933|002025|000155|600428|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002033|600886|002040,
2006-06-01,20,20,600525|001696|002022|600880|600227|000937|600420|000550|002025|600997|600761|600428|000155|000983|000069|600583|600096|000912|600500|600418,000069|000155|000550|000912|000937|000983|001696|002022|002025|600096|600227|600418|600420|600428|600500|600525|600583|600761|600880|600997,,000933,
2006-07-03,20,20,002050|600525|001696|002028|002010|002022|600436|600348|600880|600227|000937|600420|600123|000550|002025|000933|600997|600183|000066|000155,000066|000155|000550|000933|000937|001696|002010|002022|002025|002028|002050|600123|600183|600227|600348|600420|600436|600525|600880|600997,,600428|600096|000912|600761|000983|000069|600583|600500|600418,
2006-08-01,20,20,002050|600525|600276|002010|002028|001696|002022|600436|600348|600880|600227|000937|600420|000731|600123|600596|002025|000933|600829|600809,000731|000933|000937|001696|002010|002022|002025|002028|002050|600123|600227|600276|600348|600420|600436|600525|600596|600809|600829|600880,,000550|600997|000155|600183|000066,
2006-09-01,20,20,002050|002033|002028|001696|600276|000157|600467|002010|002022|600348|000690|600497|600436|600880|000006|600650|000937|600708|600420|600079,000006|000157|000690|000937|001696|002010|002022|002028|002033|002050|600079|600276|600348|600420|600436|600467|600497|600650|600708|600880,,600525|600227|600123|002025|000933|000731|600596|600829|600809,
2006-10-09,20,20,002050|002033|001696|002028|000157|600276|002010|600497|002022|600348|000690|600436|000006|600708|600650|600420|000937|600079|600467|000731,000006|000157|000690|000731|000937|001696|002010|002022|002028|002033|002050|600079|600276|600348|600420|600436|600467|600497|600650|600708,,600880,
2006-11-01,20,20,600845|002003|002050|002049|600525|002033|600518|600725|002028|600439|600276|002010|000157|002046|600517|600348|600497|000690|600880|600227,000157|000690|002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600439|600497|600517|600518|600525|600725|600845|600880,,001696|002022|600436|000006|600708|600650|600420|000937|600079|600467|000731,
2006-12-01,20,20,002003|002050|600525|002049|600518|600725|002033|002028|002010|600276|600517|600439|000157|600348|002046|600436|000690|600227|600880|600708,000157|000690|002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600436|600439|600517|600518|600525|600708|600725|600880,,600497|600845,
2007-01-04,20,20,002003|002050|600518|002049|002033|600725|600525|002028|600517|002010|002046|600276|600436|600348|600227|600880|000157|600497|600420|600079,000157|002003|002010|002028|002033|002046|002049|002050|600079|600227|600276|600348|600420|600436|600497|600517|600518|600525|600725|600880,,600439|000690|600708,
2007-02-01,20,20,002003|002050|002049|600518|002033|600525|600725|600517|600276|002046|000157|600439|600348|002010|002028|600436|600227|600420|000937|000006,000006|000157|000937|002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600420|600436|600439|600517|600518|600525|600725,,600880|600497|600079,
2007-03-01,20,20,002003|002050|002049|600518|002033|600525|600517|600725|600276|002046|600436|600348|000157|002010|002028|600439|600227|000006|600420|000987,000006|000157|000987|002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600420|600436|600439|600517|600518|600525|600725,,000937,
2007-04-02,20,20,002003|002050|002049|002033|600525|600276|600725|002046|600348|600436|002010|000157|002028|600439|600227|600517|000006|600420|000987|000937,000006|000157|000937|000987|002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600420|600436|600439|600517|600525|600725,,600518,
2007-05-08,20,18,002003|002004|600993|002038|600527|002033|600547|600971|002029|600276|600348|002028|600227|000987|600517|600880|600271|600489|600439|000157,000157|000987|002003|002004|002028|002029|002033|002038|600227|600271|600276|600348|600439|600489|600517|600547|600880|600971,600993|600527,002050|002049|600525|600725|002046|600436|002010|000006|600420|000937,
2007-06-01,20,22,002003|600993|002033|600547|600527|002038|600971|002028|600276|002029|600227|600436|600489|002036|600348|000987|000903|600439|600161|600231,000157|000903|000987|002003|002004|002028|002029|002033|002036|002038|600161|600227|600231|600276|600348|600436|600439|600489|600527|600547|600971|600993,,600517|600880|600271,000157|002004
2007-07-02,20,20,002003|600993|002033|600527|002038|002051|600971|600547|002029|600227|600436|002036|600880|000987|600517|600439|600276|000903|600231|600161,000903|000987|002003|002029|002033|002036|002038|002051|600161|600227|600231|600276|600436|600439|600517|600527|600547|600880|600971|600993,,002028|600489|600348|000157|002004,
2007-08-01,20,21,002003|600993|002033|600527|002038|002051|600971|600547|600227|600436|600880|002036|000987|600348|600276|600439|600517|000903|600161|600231,000903|000987|002003|002029|002033|002036|002038|002051|600161|600227|600231|600276|600348|600436|600439|600517|600527|600547|600880|600971|600993,,,002029
2007-09-03,20,18,002063|002003|002062|002056|600527|002038|600993|002051|002061|600426|600588|600570|600436|600971|002054|600547|600227|002036|600880|600439,002003|002036|002038|002051|002054|002056|002061|002062|002063|600227|600436|600439|600527|600547|600588|600880|600971|600993,600426|600570,002033|000987|600276|600517|000903|600161|600231|600348|002029,
2007-10-08,20,20,002063|002065|002062|002003|002038|002056|600527|600993|002061|002033|002051|600588|600436|600426|002036|600570|600227|000987|600439|600276,000987|002003|002033|002036|002038|002051|002056|002061|002062|002063|002065|600227|600276|600426|600436|600439|600527|600570|600588|600993,,600971|600547|600880|002054,
2007-11-01,20,20,002063|002065|002014|002003|600527|002074|002076|002033|600993|002061|002038|002056|600436|600588|600233|600570|002032|600426|002054|600518,002003|002014|002032|002033|002038|002054|002056|002061|002063|002065|002074|002076|600233|600426|600436|600518|600527|600570|600588|600993,,002062|002051|002036|600227|600439|000987|600276,
2007-12-03,20,20,002081|002063|002065|002014|002003|002086|002074|600993|002061|002056|002033|002064|002038|600588|600570|600436|600233|600227|002054|002032,002003|002014|002032|002033|002038|002054|002056|002061|002063|002064|002065|002074|002081|002086|600227|600233|600436|600570|600588|600993,,600527|600426|002076|600518,
2008-01-02,20,19,002081|002063|002065|002096|002101|002090|002100|002062|002014|002091|002099|002086|002076|600993|002061|002084|002033|002056|600527|002038,002014|002033|002038|002056|002061|002062|002063|002065|002076|002081|002084|002086|002090|002091|002099|002100|002101|600527|600993,002096,002003|002074|600588|600570|600436|600233|002054|002032|002064|600227,
2008-02-01,20,23,002081|002063|002107|002065|002096|002090|002102|002101|002062|002099|002003|002091|002076|600993|002061|002056|002033|600527|002104|002038,002003|002014|002033|002038|002056|002061|002062|002063|002065|002076|002081|002084|002086|002090|002091|002096|002099|002101|002102|002104|002107|600527|600993,,002100,002014|002086|002084
2008-03-03,20,20,002108|002081|002063|002107|002065|002117|002096|002090|002102|002101|002115|002062|002014|002099|002076|002003|002061|600993|002091|002033,002003|002014|002033|002061|002062|002063|002065|002076|002081|002090|002091|002096|002099|002101|002102|002107|002108|002115|002117|600993,,002056|600527|002038|002104|002086|002084,
2008-04-01,20,26,002081|002063|002107|002065|002096|002100|002101|002115|002062|002117|002099|002003|002086|002091|002076|002033|002056|600525|002104|600436,002003|002014|002033|002056|002061|002062|002063|002065|002076|002081|002086|002090|002091|002096|002099|002100|002101|002102|002104|002107|002108|002115|002117|600436|600525|600993,,,002090|002102|002014|002061|600993|002108
2008-05-05,20,19,002063|600845|002065|002003|000848|002111|002104|600233|600525|600436|600782|600521|000987|000903|600256|002007|600420|600880|600592|600479,000848|000903|000987|002003|002007|002063|002065|002104|002111|600233|600256|600420|600436|600521|600525|600592|600782|600845|600880,600479,002081|002107|002096|002101|002115|002062|002117|002099|002091|002076|002033|002100|002086|002056|002090|002102|002014|002061|600993|002108,
2008-06-02,20,20,002063|002130|600845|002065|002003|002121|000848|600233|002104|600525|600527|600782|000338|000903|000987|002001|600570|000708|600201|002007,000338|000708|000848|000903|000987|002001|002003|002007|002063|002065|002104|002121|002130|600201|600233|600525|600527|600570|600782|600845,,600436|002111|600521|600256|600420|600880|600592,
2008-07-01,17,17,002065|002001|600176|002007|600521|600227|600276|600592|600588|600188|600123|600409|000937|600271|601699|601666|000983,000937|000983|002001|002007|002065|600123|600176|600188|600227|600271|600276|600409|600521|600588|600592|601666|601699,,002063|600845|002003|000848|600233|002104|600525|600782|000903|000987|002130|002121|600527|000338|600570|000708|600201,
2008-08-01,20,21,002063|000848|002104|002001|002129|002007|000987|600521|000032|600227|600592|600276|600588|600111|600188|000895|000937|600123|600997|600271,000032|000848|000895|000937|000987|002001|002007|002063|002104|002129|600111|600123|600188|600227|600271|600276|600521|600588|600592|600997|601699,,002065|600176|600409|601666|000983,601699
2008-09-01,12,15,002139|002107|002124|002154|600983|000987|002007|600276|600588|002028|600650|000895,000895|000937|000987|002001|002007|002028|002107|002124|002139|002154|600276|600588|600650|600983|600997,,600521|600227|600592|600188|600123|600271|002063|000848|002104|002129|000032|600111|601699,002001|000937|600997
2008-10-06,20,23,002139|002107|002153|002154|600406|600983|600499|600570|600449|000513|002007|002122|002109|600195|600276|600880|000728|600588|000895|002028,000513|000728|000895|000937|000987|002007|002028|002107|002109|002122|002139|002153|002154|600195|600276|600406|600449|600499|600570|600588|600880|600983|600997,,002124|600650|002001,000987|000937|600997
2008-11-03,6,7,600406|000425|600161|600276|600511|600664,000425|000728|600161|600276|600406|600511|600664,,002139|002107|002154|600983|002007|600588|000895|002028|002153|600499|600570|600449|000513|002122|002109|600195|600880|000987|000937|600997,000728
2008-12-01,20,18,002139|002065|600406|002111|600594|600983|600499|600425|600479|600547|600449|000989|000425|600054|600161|600880|600276|600650|000895|600511,000425|000895|000989|002065|002111|600054|600161|600276|600406|600425|600449|600479|600499|600511|600547|600594|600650|600880,002139|600983,600664|000728,
2009-01-05,20,17,002195|002063|002139|002150|002176|600845|002124|002180|002199|002050|002148|002158|002192|002065|002197|002151|002165|002179|002121|002003,002003|002050|002063|002065|002121|002139|002148|002150|002151|002158|002176|002179|002192|002195|002197|002199|600845,002124|002180|002165,600406|000425|600161|600276|600511|002111|600594|600499|600425|600479|600547|600449|000989|600054|600880|600650|000895,
2009-02-02,20,20,002195|002131|002210|002063|002167|002139|002150|600845|002206|002176|002180|002199|002124|002050|002175|002154|002158|002213|002192|002148,002050|002063|002124|002131|002139|002148|002150|002154|002158|002167|002175|002176|002180|002192|002195|002199|002206|002210|002213|600845,,002065|002197|002151|002179|002121|002003,
2009-03-02,20,21,002195|002131|002210|002063|002167|002206|600845|002139|002150|002180|002199|002124|002176|002154|002175|002153|002050|002158|002170|002148,002050|002063|002124|002131|002139|002148|002150|002153|002154|002158|002167|002170|002175|002176|002180|002195|002199|002206|002210|002213|600845,,002192,002213
2009-04-01,20,20,002195|002131|002210|002063|600845|002124|002150|002176|002199|002206|002154|002180|002139|002175|002158|002148|002170|002065|002215|002192,002063|002065|002124|002131|002139|002148|002150|002154|002158|002170|002175|002176|002180|002192|002195|002199|002206|002210|002215|600845,,002167|002050|002153|002213,
2009-05-04,20,20,002108|002063|002124|002215|002096|002223|002065|000848|002151|002197|600743|600436|002001|002165|600993|002091|002217|002152|002164|002104,000848|002001|002063|002065|002091|002096|002104|002108|002124|002151|002152|002164|002165|002197|002215|002217|002223|600436|600743|600993,,002195|002131|002210|600845|002150|002176|002199|002206|002154|002180|002139|002175|002158|002148|002170|002192,
2009-06-01,20,20,002236|002131|002226|002241|002124|002228|002050|600845|002154|002223|002215|000848|002230|002096|002153|002111|600743|002065|600436|002001,000848|002001|002050|002065|002096|002111|002124|002131|002153|002154|002215|002223|002226|002228|002230|002236|002241|600436|600743|600845,,002063|002108|002151|002197|002165|600993|002091|002217|002152|002164|002104,
2009-07-01,20,20,002236|002131|002108|002252|002241|002226|002050|002124|600845|002154|002223|002250|002235|002215|002230|002153|002111|002249|002065|002096,002050|002065|002096|002108|002111|002124|002131|002153|002154|002215|002223|002226|002230|002235|002236|002241|002249|002250|002252|600845,,000848|600743|600436|002001|002228,
2009-08-03,20,20,002236|002131|002252|002108|002226|002241|002124|002228|002050|002154|002223|600845|002235|002250|002215|002153|002261|002096|002065|002249,002050|002065|002096|002108|002124|002131|002153|002154|002215|002223|002226|002228|002235|002236|002241|002249|002250|002252|002261|600845,,002230|002111,
2009-09-01,20,20,002236|002131|002252|002108|002241|002050|002256|002226|600845|002266|002223|002154|002250|002235|002255|002153|002004|002111|002100|002249,002004|002050|002100|002108|002111|002131|002153|002154|002223|002226|002235|002236|002241|002249|002250|002252|002255|002256|002266|600845,,002124|002215|002096|002065|002228|002261,
2009-10-09,20,19,002236|002271|002131|002252|002108|002241|002273|002050|002226|002256|600845|002266|002223|002272|002235|002154|002250|002151|002153|002255,002050|002108|002131|002151|002153|002154|002223|002226|002235|002236|002241|002250|002252|002255|002256|002266|002272|002273|600845,002271,002249|002004|002111|002100,
2009-11-02,20,20,002236|002271|002131|002252|002108|002050|002256|002273|002206|002266|600845|002235|002272|002262|002223|002154|002151|002250|002153|002255,002050|002108|002131|002151|002153|002154|002206|002223|002235|002236|002250|002252|002255|002256|002262|002266|002271|002272|002273|600845,,002241|002226,
2009-12-01,20,20,002236|002131|002271|002252|002108|002256|002050|002273|600845|002266|002206|002223|002272|002235|002151|002262|002153|002154|002250|002261,002050|002108|002131|002151|002153|002154|002206|002223|002235|002236|002250|002252|002256|002261|002262|002266|002271|002272|002273|600845,,002255,
2010-01-04,20,20,002236|002131|002271|002252|002108|002256|002273|002050|600845|002206|002266|002226|002223|002262|002235|002153|002151|002272|002003|002249,002003|002050|002108|002131|002151|002153|002206|002223|002226|002235|002236|002249|002252|002256|002262|002266|002271|002272|002273|600845,,002154|002250|002261,
2010-02-01,20,20,002236|002131|002271|002252|002256|002050|002273|002266|002226|002108|600845|002223|002235|002272|002262|002153|000552|002249|002250|002003,000552|002003|002050|002108|002131|002153|002223|002226|002235|002236|002249|002250|002252|002256|002262|002266|002271|002272|002273|600845,,002206|002151,
2010-03-01,20,20,002236|002131|002252|002256|002050|002273|002108|002266|002226|600845|002206|002272|002235|002223|002262|002153|000552|002249|002230|002250,000552|002050|002108|002131|002153|002206|002223|002226|002230|002235|002236|002249|002250|002252|002256|002262|002266|002272|002273|600845,,002271|002003,
2010-04-01,20,20,002236|002131|002271|002252|002050|002256|002273|002266|600845|002226|002206|002108|002235|002272|002262|002153|002223|000552|002003|002154,000552|002003|002050|002108|002131|002153|002154|002206|002223|002226|002235|002236|002252|002256|002262|002266|002271|002272|002273|600845,,002249|002250|002230,
2010-05-04,20,20,002236|002252|002131|002050|600845|002108|002206|002273|002158|002153|600985|002226|002249|002154|002261|002215|600436|002267|002152|002250,002050|002108|002131|002152|002153|002154|002158|002206|002215|002226|002236|002249|002250|002252|002261|002267|002273|600436|600845|600985,,002256|002266|002235|002272|002262|002223|000552|002271|002003,
2010-06-01,20,20,002252|002236|002050|002153|002003|002158|600985|002273|002014|002206|002261|002215|600233|600436|002152|600742|002250|002010|002081|000887,000887|002003|002010|002014|002050|002081|002152|002153|002158|002206|002215|002236|002250|002252|002261|002273|600233|600436|600742|600985,,002131|600845|002108|002226|002154|002249|002267,
2010-07-01,20,20,002252|002236|002050|002153|002273|002003|002158|002255|002215|002139|002108|002014|002206|002261|002154|600845|002267|600436|002249|002152,002003|002014|002050|002108|002139|002152|002153|002154|002158|002206|002215|002236|002249|002252|002255|002261|002267|002273|600436|600845,,600985|002250|600233|600742|002010|002081|000887,
2010-08-02,20,20,002252|002236|002050|002153|002273|002108|002003|002158|002215|600985|002206|002014|002139|002154|600845|002267|600436|002191|002152|002249,002003|002014|002050|002108|002139|002152|002153|002154|002158|002191|002206|002215|002236|002249|002252|002267|002273|600436|600845|600985,,002261|002255,
2010-09-01,20,20,002252|002219|002224|002245|002236|002050|002273|002285|002003|002282|002108|002215|002284|002153|600985|002014|002230|002130|600845|002139,002003|002014|002050|002108|002130|002139|002153|002215|002219|002224|002230|002236|002245|002252|002273|002282|002284|002285|600845|600985,,002158|002206|002154|002267|600436|002152|002249|002191,
2010-10-08,20,20,002252|002224|002245|002236|002050|002293|002273|002285|002108|002282|002215|002284|600985|002153|002014|600845|002230|002130|002139|002003,002003|002014|002050|002108|002130|002139|002153|002215|002224|002230|002236|002245|002252|002273|002282|002284|002285|002293|600845|600985,,002219,
2010-11-01,20,16,300026|300009|300012|300014|300015|300006|300016|300008|300013|300024|300025|002245|002224|002236|300019|300001|002252|300005|002050|300018,002050|002224|002236|002245|002252|300001|300005|300006|300009|300012|300013|300014|300015|300016|300019|300024,300026|300008|300025|300018,002273|002285|002108|002282|002215|002284|600985|002153|002014|600845|002230|002130|002139|002003|002293,
2010-12-01,20,20,300026|300015|300014|300012|002224|002245|300009|300019|002236|300008|002252|300013|002050|300006|300001|300016|002285|300011|002293|300025,002050|002224|002236|002245|002252|002285|002293|300001|300006|300008|300009|300011|300012|300013|300014|300015|300016|300019|300025|300026,,300024|300005,
2011-01-04,20,20,300026|002323|300014|300012|300015|002327|002224|300009|300019|300008|300035|002252|002236|002317|300013|002312|300032|300016|002050|300006,002050|002224|002236|002252|002312|002317|002323|002327|300006|300008|300009|300012|300013|300014|300015|300016|300019|300026|300032|300035,,002245|300001|002285|300011|002293|300025,
