date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,4,4,002033|600886|000933|600428,000933|002033|600428|600886,,,
2006-03-01,6,6,002033|000550|600886|000933|600428|600010,000550|000933|002033|600010|600428|600886,,,
2006-04-03,6,6,002033|002040|000550|600886|000933|600428,000550|000933|002033|002040|600428|600886,,600010,
2006-05-08,10,10,001696|002022|000937|000550|000933|002025|000155|600428|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002033|600886|002040,
2006-06-01,15,15,600525|001696|002022|600880|600227|000937|600420|000550|002025|600997|600761|600428|000155|000983|000069,000069|000155|000550|000937|000983|001696|002022|002025|600227|600420|600428|600525|600761|600880|600997,,000933|600096|000912,
2006-07-03,15,15,002050|600525|001696|002028|002010|002022|600436|600348|600880|600227|000937|600420|600123|000550|002025,000550|000937|001696|002010|002022|002025|002028|002050|600123|600227|600348|600420|600436|600525|600880,,600428|000155|600997|600761|000983|000069,
2006-08-01,15,15,002050|600525|600276|002010|002028|001696|002022|600436|600348|600880|600227|000937|600420|000731|600123,000731|000937|001696|002010|002022|002028|002050|600123|600227|600276|600348|600420|600436|600525|600880,,000550|002025,
2006-09-01,15,15,002050|002033|002028|001696|600276|000157|600467|002010|002022|600348|000690|600497|600436|600880|000006,000006|000157|000690|001696|002010|002022|002028|002033|002050|600276|600348|600436|600467|600497|600880,,600525|600227|000937|600420|600123|000731,
2006-10-09,15,15,002050|002033|001696|002028|000157|600276|002010|600497|002022|600348|000690|600436|000006|600708|600650,000006|000157|000690|001696|002010|002022|002028|002033|002050|600276|600348|600436|600497|600650|600708,,600880|600467,
2006-11-01,15,15,600845|002003|002050|002049|600525|002033|600518|600725|002028|600439|600276|002010|000157|002046|600517,000157|002003|002010|002028|002033|002046|002049|002050|600276|600439|600517|600518|600525|600725|600845,,001696|600497|002022|600348|000690|600436|000006|600708|600650,
2006-12-01,15,15,002003|002050|600525|002049|600518|600725|002033|002028|002010|600276|600517|600439|000157|600348|002046,000157|002003|002010|002028|002033|002046|002049|002050|600276|600348|600439|600517|600518|600525|600725,,600845,
2007-01-04,15,15,002003|002050|600518|002049|002033|600725|600525|002028|600517|002010|002046|600276|600436|600348|600227,002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600436|600517|600518|600525|600725,,600439|000157,
2007-02-01,15,15,002003|002050|002049|600518|002033|600525|600725|600517|600276|002046|000157|600439|600348|002010|002028,000157|002003|002010|002028|002033|002046|002049|002050|600276|600348|600439|600517|600518|600525|600725,,600436|600227,
2007-03-01,15,14,002003|002050|002049|600518|002033|600525|600517|600725|600276|002046|600436|600348|000157|002010|002028,000157|002003|002010|002028|002033|002046|002049|002050|600276|600348|600517|600518|600525|600725,600436,600439,
2007-04-02,15,15,002003|002050|002049|002033|600525|600276|600725|002046|600348|600436|002010|000157|002028|600439|600227,000157|002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600436|600439|600525|600725,,600518|600517,
2007-05-08,15,15,002003|002004|600993|002038|600527|002033|600547|600971|002029|600276|600348|002028|600227|000987|600517,000987|002003|002004|002028|002029|002033|002038|600227|600276|600348|600517|600527|600547|600971|600993,,002050|002049|600525|600725|002046|002010|000157|600436|600439,
2007-06-01,15,15,002003|600993|002033|600547|600527|002038|600971|002028|600276|002029|600227|600436|600489|002036|600348,002003|002028|002029|002033|002036|002038|600227|600276|600348|600436|600489|600527|600547|600971|600993,,002004|000987|600517,
2007-07-02,15,15,002003|600993|002033|600527|002038|002051|600971|600547|002029|600227|600436|002036|600880|000987|600517,000987|002003|002029|002033|002036|002038|002051|600227|600436|600517|600527|600547|600880|600971|600993,,002028|600276|600348|600489,
2007-08-01,15,15,002003|600993|002033|600527|002038|002051|600971|600547|600227|600436|600880|002036|000987|600348|600276,000987|002003|002033|002036|002038|002051|600227|600276|600348|600436|600527|600547|600880|600971|600993,,002029|600517,
2007-09-03,15,15,002063|002003|002062|002056|600527|002038|600993|002051|002061|600426|600588|600570|600436|600971|002054,002003|002038|002051|002054|002056|002061|002062|002063|600426|600436|600527|600570|600588|600971|600993,,002033|600547|600227|600880|002036|000987|600348|600276,
2007-10-08,15,15,002063|002065|002062|002003|002038|002056|600527|600993|002061|002033|002051|600588|600436|600426|002036,002003|002033|002036|002038|002051|002056|002061|002062|002063|002065|600426|600436|600527|600588|600993,,600971|600570|002054,
2007-11-01,15,15,002063|002065|002014|002003|600527|002074|002076|002033|600993|002061|002038|002056|600436|600588|600233,002003|002014|002033|002038|002056|002061|002063|002065|002074|002076|600233|600436|600527|600588|600993,,002062|002051|600426|002036,
2007-12-03,15,15,002081|002063|002065|002014|002003|002086|002074|600993|002061|002056|002033|002064|002038|600588|600570,002003|002014|002033|002038|002056|002061|002063|002064|002065|002074|002081|002086|600570|600588|600993,,600527|600436|002076|600233,
