date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,4,4,002033|600886|000933|600428,000933|002033|600428|600886,,,
2006-03-01,6,6,002033|000550|600886|000933|600428|600010,000550|000933|002033|600010|600428|600886,,,
2006-04-03,6,6,002033|002040|000550|600886|000933|600428,000550|000933|002033|002040|600428|600886,,600010,
2006-05-08,10,10,001696|002022|000937|000550|000933|002025|000155|600428|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002033|600886|002040,
2006-06-01,21,21,600525|001696|002022|600880|600227|000937|600420|000550|002025|600997|600761|600428|000155|000983|000069|600583|600096|000912|600500|600418|600019,000069|000155|000550|000912|000937|000983|001696|002022|002025|600019|600096|600227|600418|600420|600428|600500|600525|600583|600761|600880|600997,,000933,
2006-07-03,30,30,002050|600525|001696|002028|002010|002022|600436|600348|600880|600227|000937|600420|600123|000550|002025|000933|600997|600183|000066|000155|600428|600761|000983|000069|600583|600096|600500|000912|600309|600026,000066|000069|000155|000550|000912|000933|000937|000983|001696|002010|002022|002025|002028|002050|600026|600096|600123|600183|600227|600309|600348|600420|600428|600436|600500|600525|600583|600761|600880|600997,,600418|600019,
2006-08-01,30,30,002050|600525|600276|002010|002028|001696|002022|600436|600348|600880|600227|000937|600420|000731|600123|600596|002025|000933|600829|600809|600997|000550|600183|000983|600012|600761|600428|000155|000538|000069,000069|000155|000538|000550|000731|000933|000937|000983|001696|002010|002022|002025|002028|002050|600012|600123|600183|600227|600276|600348|600420|600428|600436|600525|600596|600761|600809|600829|600880|600997,,600583|600096|600500|000912|000066|600309|600026,
2006-09-01,30,30,002050|002033|002028|001696|600276|000157|600467|002010|002022|600348|000690|600497|600436|600880|000006|600650|000937|600708|600420|600079|000731|600271|600123|002025|600596|000933|600809|600829|600997|000550,000006|000157|000550|000690|000731|000933|000937|001696|002010|002022|002025|002028|002033|002050|600079|600123|600271|600276|600348|600420|600436|600467|600497|600596|600650|600708|600809|600829|600880|600997,,600525|600227|600183|000983|600761|600428|000155|000069|600012|000538,
2006-10-09,30,30,002050|002033|001696|002028|000157|600276|002010|600497|002022|600348|000690|600436|000006|600708|600650|600420|000937|600079|600467|000731|600123|600271|000933|600997|600596|002025|600809|000550|000528|600875,000006|000157|000528|000550|000690|000731|000933|000937|001696|002010|002022|002025|002028|002033|002050|600079|600123|600271|600276|600348|600420|600436|600467|600497|600596|600650|600708|600809|600875|600997,,600880|600829,
2006-11-01,30,30,600845|002003|002050|002049|600525|002033|600518|600725|002028|600439|600276|002010|000157|002046|600517|600348|600497|000690|600880|600227|000006|000987|600708|000937|600420|600650|600079|600467|600352|600533,000006|000157|000690|000937|000987|002003|002010|002028|002033|002046|002049|002050|600079|600227|600276|600348|600352|600420|600439|600467|600497|600517|600518|600525|600533|600650|600708|600725|600845|600880,,001696|002022|600436|000731|600123|600271|000933|600997|600596|002025|600809|000550|000528|600875,
2006-12-01,30,30,002003|002050|600525|002049|600518|600725|002033|002028|002010|600276|600517|600439|000157|600348|002046|600436|000690|600227|600880|600708|600420|000987|000937|600497|600079|600467|600352|600650|000006|000731,000006|000157|000690|000731|000937|000987|002003|002010|002028|002033|002046|002049|002050|600079|600227|600276|600348|600352|600420|600436|600439|600467|600497|600517|600518|600525|600650|600708|600725|600880,,600845|600533,
2007-01-04,30,30,002003|002050|600518|002049|002033|600725|600525|002028|600517|002010|002046|600276|600436|600348|600227|600880|000157|600497|600420|600079|000937|600708|000987|600650|000006|600352|600467|002022|600533|600271,000006|000157|000937|000987|002003|002010|002022|002028|002033|002046|002049|002050|600079|600227|600271|600276|600348|600352|600420|600436|600467|600497|600517|600518|600525|600533|600650|600708|600725|600880,,600439|000690|000731,
2007-02-01,30,30,002003|002050|002049|600518|002033|600525|600725|600517|600276|002046|000157|600439|600348|002010|002028|600436|600227|600420|000937|000006|600650|600497|600467|600708|000987|002022|600352|600880|600533|002025,000006|000157|000937|000987|002003|002010|002022|002025|002028|002033|002046|002049|002050|600227|600276|600348|600352|600420|600436|600439|600467|600497|600517|600518|600525|600533|600650|600708|600725|600880,,600079|600271,
2007-03-01,30,30,002003|002050|002049|600518|002033|600525|600517|600725|600276|002046|600436|600348|000157|002010|002028|600439|600227|000006|600420|000987|600497|000937|600467|600880|002022|600708|600533|600352|002025|600271,000006|000157|000937|000987|002003|002010|002022|002025|002028|002033|002046|002049|002050|600227|600271|600276|600348|600352|600420|600436|600439|600467|600497|600517|600518|600525|600533|600708|600725|600880,,600650,
