year,return
2006,0.37431365973286135
2007,1.4026203529916779
2008,-0.1374584591832717
2009,0.7610634881211764
2010,0.2797638128457063
2011,-0.12997440351943768
2012,0.0061883894093865965
2013,0.41824728039827086
2014,0.4127615659436663
2015,0.9162130796940227
2016,0.051223255591648975
2017,-0.039189785886519224
2018,-0.03443145009051474
2019,0.1497618617226606
2020,0.2277080740759716
2021,0.15361032459369572
2022,-0.00461345806117841
2023,0.1392505517551188
2024,0.02141927671953958
2025,0.45969518899452977
2026,0.03190213174450496
