date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,000933|002040|600428|600886|002044|002033,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,000933|600428|002040|600886|002044|002033|000550|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,8,8,000933|600428|002040|600886|002044|002033|000550|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-05-08,10,10,000933|002025|001696|600428|000550|000937|002022|600096|000155|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002040|600886|002044|002033|600010,
2006-06-01,20,20,002025|002050|600428|000983|000937|600500|600096|600583|001696|002022|000550|600420|600436|600997|600880|600227|000912|600418|000069|600525,000069|000550|000912|000937|000983|001696|002022|002025|002050|600096|600227|600418|600420|600428|600436|600500|600525|600583|600880|600997,,000933|000155,
2006-07-03,20,20,000933|002025|600348|600428|600309|600123|002050|600026|600500|600583|001696|600362|000983|600096|000937|600420|000550|002022|002028|002010,000550|000933|000937|000983|001696|002010|002022|002025|002028|002050|600026|600096|600123|600309|600348|600362|600420|600428|600500|600583,,000912|600436|600997|600880|600227|600418|000069|600525,
2006-08-01,20,20,000933|002025|600348|600428|600309|600123|000538|002050|600026|600583|600500|000088|600362|000983|001696|000937|600096|600596|600420|600276,000088|000538|000933|000937|000983|001696|002025|002050|600026|600096|600123|600276|600309|600348|600362|600420|600428|600500|600583|600596,,000550|002022|002028|002010,
2006-09-01,20,20,600497|000933|002025|600348|600123|001696|600362|600583|600428|002050|600276|002022|000060|000983|000538|000006|000690|600875|000937|600309,000006|000060|000538|000690|000933|000937|000983|001696|002022|002025|002050|600123|600276|600309|600348|600362|600428|600497|600583|600875,,600026|600500|600096|600420|000088|600596,
2006-10-09,20,20,600497|600348|002025|600123|000983|002050|600428|600362|001696|600583|000937|600276|000006|002022|000060|000088|000898|000538|000731|000550,000006|000060|000088|000538|000550|000731|000898|000937|000983|001696|002022|002025|002050|600123|600276|600348|600362|600428|600497|600583,,000933|600309|000690|600875,
2006-11-01,20,20,600497|600150|600348|002003|000060|600362|002050|000983|002025|600123|000937|000898|000088|600533|600276|000690|002022|600875|600183|600596,000060|000088|000690|000898|000937|000983|002003|002022|002025|002050|600123|600150|600183|600276|600348|600362|600497|600533|600596|600875,,600428|001696|600583|000006|000538|000731|000550,
2006-12-01,20,20,600497|600348|002003|000060|600362|002050|002025|000983|000898|600123|000088|000937|000690|600276|002022|600183|600533|600309|600596|000731,000060|000088|000690|000731|000898|000937|000983|002003|002022|002025|002050|600123|600183|600276|600309|600348|600362|600497|600533|600596,,600150|600875,
2007-01-04,20,20,600497|600348|000060|600362|002003|002050|002025|000983|000088|000898|000937|600123|600533|600183|002022|600309|600596|600276|600420|600500,000060|000088|000898|000937|000983|002003|002022|002025|002050|600123|600183|600276|600309|600348|600362|600420|600497|600500|600533|600596,,000690|000731,
2007-02-01,20,20,600497|600348|000060|002003|002050|002025|000937|600123|000898|600533|000983|600183|000088|002022|600276|600420|600596|000006|600500|000027,000006|000027|000060|000088|000898|000937|000983|002003|002022|002025|002050|600123|600183|600276|600348|600420|600497|600500|600533|600596,,600362|600309,
2007-03-01,20,20,600497|600348|000060|002050|002003|002025|000898|600123|600533|000088|000937|002022|600183|000983|600276|000006|600583|600596|600420|000538,000006|000060|000088|000538|000898|000937|000983|002003|002022|002025|002050|600123|600183|600276|600348|600420|600497|600533|600583|600596,,600500|000027,
2007-04-02,20,20,600497|600348|000060|002003|002025|002050|002090|600123|000898|000731|000088|600533|000983|600276|000937|600183|002022|002109|600583|600596,000060|000088|000731|000898|000937|000983|002003|002022|002025|002050|002090|002109|600123|600183|600276|600348|600497|600533|600583|600596,,000006|600420|000538,
2007-05-08,20,20,600497|002108|600348|600547|002090|600276|600596|600971|002003|002096|002109|600031|000402|002091|600123|000088|002004|600809|600517|002101,000088|000402|002003|002004|002090|002091|002096|002101|002108|002109|600031|600123|600276|600348|600497|600517|600547|600596|600809|600971,,000060|002025|002050|000898|600533|000983|000937|600183|002022|600583|000731,
2007-06-01,20,20,600497|000060|002106|002108|002081|002003|002084|600123|002090|600547|600348|601699|002091|002076|600276|600596|002115|002096|002065|600971,000060|002003|002065|002076|002081|002084|002090|002091|002096|002106|002108|002115|600123|600276|600348|600497|600547|600596|600971|601699,,002109|000088|600031|000402|002004|600809|600517|002101,
2007-07-02,20,20,600497|000060|002108|002117|002084|002081|002090|600596|002003|002091|002107|601699|002076|600971|002065|002104|600123|600809|002109|601666,000060|002003|002065|002076|002081|002084|002090|002091|002104|002107|002108|002109|002117|600123|600497|600596|600809|600971|601666|601699,,600547|600348|600276|002096|002106|002115,
2007-08-01,20,20,600497|000060|002108|002063|002117|002084|002090|600348|002081|600596|002003|002107|002091|601699|002104|002109|600971|002096|600123|002115,000060|002003|002063|002081|002084|002090|002091|002096|002104|002107|002108|002109|002115|002117|600123|600348|600497|600596|600971|601699,,002076|002065|600809|601666,
2007-09-03,20,20,600497|000060|002108|002117|002063|600588|002081|002090|600031|002107|600348|601699|002104|000895|002003|002084|002109|600517|002091|002096,000060|000895|002003|002063|002081|002084|002090|002091|002096|002104|002107|002108|002109|002117|600031|600348|600497|600517|600588|601699,,600596|600971|600123|002115,
2007-10-08,20,20,600497|002108|002138|600588|002117|002063|002081|002090|600031|002107|002076|002003|002104|002084|600517|002091|002028|002109|002120|600177,002003|002028|002063|002076|002081|002084|002090|002091|002104|002107|002108|002109|002117|002120|002138|600031|600177|600497|600517|600588,,000060|600348|601699|002096|000895,
2007-11-01,20,20,002106|002108|002138|600517|002063|600588|001696|002117|002081|600031|002028|002104|002090|002003|002120|600177|002107|002014|601699|002038,001696|002003|002014|002028|002038|002063|002081|002090|002104|002106|002107|002108|002117|002120|002138|600031|600177|600517|600588|601699,,600497|002084|002091|002109|002076,
2007-12-03,20,20,600497|002108|002106|000060|002138|002064|000402|600588|002063|002117|600517|001696|002081|600031|002003|002090|002014|002028|600177|002104,000060|000402|001696|002003|002014|002028|002063|002064|002081|002090|002104|002106|002108|002117|002138|600031|600177|600497|600517|600588,,002120|002107|601699|002038,
2008-01-02,20,20,600497|002108|000060|002138|000402|600588|002063|600517|002117|600031|002081|600177|002090|002120|002014|002107|601699|000895|600348|002038,000060|000402|000895|002014|002038|002063|002081|002090|002107|002108|002117|002120|002138|600031|600177|600348|600497|600517|600588|601699,,002106|001696|002003|002028|002104|002064,
2008-02-01,20,20,002138|000402|002063|600588|002117|600517|002081|002014|001696|600031|600177|002090|002003|002120|002104|600348|000895|002107|601699|002056,000402|000895|001696|002003|002014|002056|002063|002081|002090|002104|002107|002117|002120|002138|600031|600177|600348|600517|600588|601699,,600497|002108|000060|002038,
2008-03-03,20,20,002108|000060|002138|000402|600517|002063|001696|002117|600588|600031|002081|600177|002090|000895|002003|002120|601699|600348|002107|002014,000060|000402|000895|001696|002003|002014|002063|002081|002090|002107|002108|002117|002120|002138|600031|600177|600348|600517|600588|601699,,002104|002056,
2008-04-01,20,20,002108|002153|000060|002106|002138|002064|000402|002063|002117|002081|600517|001696|600031|600588|600348|600177|002014|002028|000895|002120,000060|000402|000895|001696|002014|002028|002063|002064|002081|002106|002108|002117|002120|002138|002153|600031|600177|600348|600517|600588,,002090|002003|601699|002107,
2008-05-05,20,17,002019|600588|002153|600497|000895|002177|000338|000060|002064|002063|001696|600489|002003|002154|600276|002161|002146|600479|600880|000006,000006|000060|000338|000895|001696|002003|002063|002064|002146|002153|002154|002161|600276|600479|600497|600588|600880,002019|002177|600489,002108|002138|000402|002117|002081|600517|600031|600348|600177|002014|002120|002106|002028,
2008-06-02,20,20,600497|002063|002197|002153|002152|002195|002180|000895|600066|600588|002177|002204|002206|000900|000338|600547|002064|000933|002222|001696,000338|000895|000900|000933|001696|002063|002064|002152|002153|002177|002180|002195|002197|002204|002206|002222|600066|600497|600547|600588,,000060|002003|002154|600276|002161|002146|600479|600880|000006,
2008-07-01,20,20,600497|002063|002153|002152|002197|000900|002180|002195|000950|000612|600066|002177|600428|002206|600588|002204|000338|600202|600547|002064,000338|000612|000900|000950|002063|002064|002152|002153|002177|002180|002195|002197|002204|002206|600066|600202|600428|600497|600547|600588,,000895|001696|000933|002222,
2008-08-01,20,20,600497|002153|002152|002197|600066|002195|002180|600588|000950|002177|002206|000783|000900|601899|002204|000338|600547|002063|002222|000060,000060|000338|000783|000900|000950|002063|002152|002153|002177|002180|002195|002197|002204|002206|002222|600066|600497|600547|600588|601899,,002064|000612|600428|600202,
2008-09-01,20,20,600596|600497|002001|601899|002153|000338|002152|002197|600547|600066|002195|600428|002180|002223|002206|600588|600309|002177|000900|002063,000338|000900|002001|002063|002152|002153|002177|002180|002195|002197|002206|002223|600066|600309|600428|600497|600547|600588|600596|601899,,000950|002204|000783|002222|000060,
2008-10-06,20,20,600596|600497|002001|002254|002153|601899|000338|600066|002197|002152|002202|002195|600547|002177|002180|002206|002124|002223|002063|600428,000338|002001|002063|002124|002152|002153|002177|002180|002195|002197|002202|002206|002223|002254|600066|600428|600497|600547|600596|601899,,600588|000900|600309,
2008-11-03,20,20,002001|600596|600497|601899|600066|000425|002153|002254|600428|600547|002202|002195|002215|002152|000950|002197|002177|002223|002063|000933,000425|000933|000950|002001|002063|002152|002153|002177|002195|002197|002202|002215|002223|002254|600066|600428|600497|600547|600596|601899,,000338|002180|002206|002124,
2008-12-01,20,20,002001|600596|600497|600066|000338|002153|000425|601899|002254|002152|002202|600428|600547|002195|002197|000950|002177|601699|000933|002206,000338|000425|000933|000950|002001|002152|002153|002177|002195|002197|002202|002206|002254|600066|600428|600497|600547|600596|601699|601899,,002223|002063|002215,
2009-01-05,20,20,002001|600596|600497|600066|000338|002153|000425|601899|002215|002254|000900|600547|002197|000950|600428|600022|002195|000933|002177|601699,000338|000425|000900|000933|000950|002001|002153|002177|002195|002197|002215|002254|600022|600066|600428|600497|600547|600596|601699|601899,,002152|002202|002206,
2009-02-02,20,20,002001|600596|600497|600066|002153|000425|601899|000338|002152|600547|002254|000900|002215|002197|002195|000950|600428|002177|000933|600022,000338|000425|000900|000933|000950|002001|002152|002153|002177|002195|002197|002215|002254|600022|600066|600428|600497|600547|600596|601899,,601699,
2009-03-02,20,20,002001|600596|600497|600066|002153|000338|601899|002254|000900|002152|002195|002215|002197|000950|600428|600547|002177|002206|601699|000933,000338|000900|000933|000950|002001|002152|002153|002177|002195|002197|002206|002215|002254|600066|600428|600497|600547|600596|601699|601899,,000425|600022,
2009-04-01,20,20,002001|600596|600497|600066|000338|002254|000900|002152|002215|002195|002197|000950|600547|000848|002177|002206|002223|600022|002124|000933,000338|000848|000900|000933|000950|002001|002124|002152|002177|002195|002197|002206|002215|002223|002254|600022|600066|600497|600547|600596,,002153|601899|600428|601699,
2009-05-04,20,19,002001|002108|600395|002242|002124|000937|000900|601699|000848|000895|002223|000983|600276|002063|002152|002266|600588|600547|600809|002128,000848|000895|000900|000937|000983|002001|002063|002108|002124|002152|002223|002242|002266|600276|600395|600547|600588|600809|601699,002128,600596|600497|600066|000338|002254|002215|002195|002197|000950|002177|002206|000933|600022,
2009-06-01,20,20,002001|002252|600596|600216|002131|002050|002242|002269|002273|002236|002249|601699|002153|002223|600276|000895|002152|002241|000848|000937,000848|000895|000937|002001|002050|002131|002152|002153|002223|002236|002241|002242|002249|002252|002269|002273|600216|600276|600596|601699,,002124|000900|600547|002108|600395|000983|002063|002266|600588|600809,
2009-07-01,20,20,600596|002252|600395|002242|002050|002038|002269|002131|002273|601699|002271|002236|000937|002153|002249|600276|002152|000895|002241|600123,000895|000937|002038|002050|002131|002152|002153|002236|002241|002242|002249|002252|002269|002271|002273|600123|600276|600395|600596|601699,,002001|002223|000848|600216,
2009-08-03,20,20,002001|002252|002242|002038|002050|002269|002131|002271|002273|002236|002153|002152|600276|002249|000895|002223|002266|000848|002261|002241,000848|000895|002001|002038|002050|002131|002152|002153|002223|002236|002241|002242|002249|002252|002261|002266|002269|002271|002273|600276,,600596|601699|000937|600395|600123,
2009-09-01,20,20,002001|002252|600395|002242|002269|002038|002003|002131|601699|002050|002273|002153|002271|002249|002152|600596|600276|002236|000937|000895,000895|000937|002001|002003|002038|002050|002131|002152|002153|002236|002242|002249|002252|002269|002271|002273|600276|600395|600596|601699,,002241|002223|002266|000848|002261,
2009-10-09,20,19,002001|002252|600395|002242|002131|002038|002269|002003|002050|002273|002271|002153|002249|600276|002152|000937|601699|002236|000895|600348,000895|000937|002001|002003|002038|002050|002131|002152|002153|002236|002242|002249|002252|002269|002271|002273|600276|600395|601699,600348,600596,
2009-11-02,20,20,002252|002001|002242|002038|002003|002131|002273|002249|000895|002050|600276|002271|002152|002153|002202|600348|002223|002258|002269|002267,000895|002001|002003|002038|002050|002131|002152|002153|002202|002223|002242|002249|002252|002258|002267|002269|002271|002273|600276|600348,,600395|000937|601699|002236,
2009-12-01,20,20,002252|002001|002226|002131|002003|002273|000895|600276|002249|002152|002202|002153|600348|002271|002223|002050|002269|002258|002007|002267,000895|002001|002003|002007|002050|002131|002152|002153|002202|002223|002226|002249|002252|002258|002267|002269|002271|002273|600276|600348,,002242|002038,
