date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,002044|002033|002040|000933|600886|600428,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,002044|002040|002033|000933|600886|000550|600428|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,8,8,002044|002040|002033|000933|600886|000550|600428|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-05-08,10,10,001696|000933|002022|002025|000937|000550|600428|000155|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002044|002040|002033|600886|600010,
2006-06-01,20,20,002025|002050|001696|600428|000937|002022|600420|000983|000550|600880|600436|600227|600525|600997|600583|600096|600500|600761|000155|000069,000069|000155|000550|000937|000983|001696|002022|002025|002050|600096|600227|600420|600428|600436|600500|600525|600583|600761|600880|600997,,000933|000912,
2006-07-03,20,20,002025|000933|600348|002050|600123|001696|600428|002028|002022|002010|600420|000937|600436|600880|600227|000550|600525|000983|600183|600997,000550|000933|000937|000983|001696|002010|002022|002025|002028|002050|600123|600183|600227|600348|600420|600428|600436|600525|600880|600997,,600096|000155|600583|600500|600761|000069,
2006-08-01,20,20,002025|000933|600348|600123|002050|001696|600428|600276|600420|002022|000937|002010|002028|000731|600596|600436|000538|600880|600227|000550,000538|000550|000731|000933|000937|001696|002010|002022|002025|002028|002050|600123|600227|600276|600348|600420|600428|600436|600596|600880,,600525|000983|600997|600183,
2006-09-01,20,20,600497|000933|002025|600348|001696|002050|600276|002022|600123|000690|002028|000006|002033|002010|600420|000937|000157|600436|600880|000731,000006|000157|000690|000731|000933|000937|001696|002010|002022|002025|002028|002033|002050|600123|600276|600348|600420|600436|600497|600880,,600428|600227|000550|600596|000538,
2006-10-09,20,20,600497|600348|002025|002050|001696|600123|600276|002022|000006|000690|000937|002028|002033|600420|002010|600436|000731|000157|000933|600708,000006|000157|000690|000731|000933|000937|001696|002010|002022|002025|002028|002033|002050|600123|600276|600348|600420|600436|600497|600708,,600880,
2006-11-01,20,20,600497|600150|600348|002003|002050|002025|000690|600276|600123|000937|600845|600533|000060|002033|002052|002022|600436|000006|002010|600420,000006|000060|000690|000937|002003|002010|002022|002025|002033|002050|002052|600123|600150|600276|600348|600420|600436|600497|600533|600845,,001696|002028|000731|000157|000933|600708,
2006-12-01,20,20,600497|600348|002003|002050|002025|000690|600123|600276|000060|000937|002022|002052|600420|600533|000731|002010|600436|002028|002033|000983,000060|000690|000731|000937|000983|002003|002010|002022|002025|002028|002033|002050|002052|600123|600276|600348|600420|600436|600497|600533,,000006|600150|600845,
2007-01-04,20,20,600497|600348|002003|002050|002025|000060|000937|600123|600533|600276|002052|002022|600420|600436|600880|002033|000983|002028|600596|002010,000060|000937|000983|002003|002010|002022|002025|002028|002033|002050|002052|600123|600276|600348|600420|600436|600497|600533|600596|600880,,000690|000731,
2007-02-01,20,20,600497|600348|002050|002003|002025|000060|600123|000937|600533|600276|002022|002052|600420|000006|002033|002010|600436|000157|600517|600183,000006|000060|000157|000937|002003|002010|002022|002025|002033|002050|002052|600123|600183|600276|600348|600420|600436|600497|600517|600533,,000983|002028|600880|600596,
2007-03-01,20,20,600497|600348|002050|002003|002025|000060|600123|600533|600276|002022|000937|600420|000006|002033|600436|002010|600880|600517|000157|002028,000006|000060|000157|000937|002003|002010|002022|002025|002028|002033|002050|600123|600276|600348|600420|600436|600497|600517|600533|600880,,002052|600183,
2007-04-02,20,20,600497|600348|002003|002090|002025|002050|000060|600123|600276|002109|600533|002022|000937|600420|600436|002033|000006|000731|002010|000157,000006|000060|000157|000731|000937|002003|002010|002022|002025|002033|002050|002090|002109|600123|600276|600348|600420|600436|600497|600533,,600517|600880|002028,
2007-05-08,20,20,600497|002108|002090|600547|600348|002096|002003|002109|600276|600971|002091|002101|002100|002004|600517|600993|002064|600123|002028|600527,002003|002004|002028|002064|002090|002091|002096|002100|002101|002108|002109|600123|600276|600348|600497|600517|600527|600547|600971|600993,,002025|002050|000060|600533|002022|000937|600420|600436|002033|000006|002010|000157|000731,
2007-06-01,20,20,600497|002106|002108|000060|002081|002084|002003|002090|002076|002115|600547|002091|002096|002109|002065|002101|601699|600348|600276|002056,000060|002003|002056|002065|002076|002081|002084|002090|002091|002096|002101|002106|002108|002109|002115|600276|600348|600497|600547|601699,,600123|600971|002100|002004|600517|600993|002064|002028|600527,
2007-07-02,20,20,600497|002108|000060|002117|002084|002090|002081|002003|002091|002107|002076|002104|002115|002065|002109|002101|600971|600993|002099|002120,000060|002003|002065|002076|002081|002084|002090|002091|002099|002101|002104|002107|002108|002109|002115|002117|002120|600497|600971|600993,,600547|002096|600348|600276|002106|601699|002056,
2007-08-01,20,20,600497|002108|000060|002117|002063|002084|002090|002081|002107|002104|002003|002096|002091|002109|002115|600348|002101|002120|600971|002056,000060|002003|002056|002063|002081|002084|002090|002091|002096|002101|002104|002107|002108|002109|002115|002117|002120|600348|600497|600971,,002076|002065|600993|002099,
