date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,002044|002033|002040|600886|600428|000933,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,000933|002033|600428|002044|600886|002040|000550|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,7,7,002040|002044|600886|000550|000933|002033|600428,000550|000933|002033|002040|002044|600428|600886,,600010,
2006-05-08,10,10,001696|002022|002025|000933|000155|000550|600428|000912|000937|600096,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002040|002044|600886|002033,
2006-06-01,20,20,002022|600997|600583|600420|000937|002025|002050|000069|600428|600761|600525|000912|600096|600880|600227|600418|000550|000983|001696|600500,000069|000550|000912|000937|000983|001696|002022|002025|002050|600096|600227|600418|600420|600428|600500|600525|600583|600761|600880|600997,,000933|000155,
2006-07-03,20,20,000069|000550|002025|600880|002050|002022|000983|002028|002010|600436|600420|600997|000933|000937|000912|600309|600096|600362|600525|600348,000069|000550|000912|000933|000937|000983|002010|002022|002025|002028|002050|600096|600309|600348|600362|600420|600436|600525|600880|600997,,600428|001696|600583|600761|600227|600418|600500,
2006-08-01,20,20,600436|000933|600348|600418|600183|000550|002025|000937|000731|600596|000983|002028|002010|600525|600276|600761|600123|002050|000066|000155,000066|000155|000550|000731|000933|000937|000983|002010|002025|002028|002050|600123|600183|600276|600348|600418|600436|600525|600596|600761,,000069|600880|002022|600420|600997|000912|600096|600309|600362,
2006-09-01,20,20,600497|000937|000528|600428|600012|600420|600708|600997|600467|000060|000157|600348|000933|002025|000155|600183|600748|000006|600079|600761,000006|000060|000155|000157|000528|000933|000937|002025|600012|600079|600183|600348|600420|600428|600467|600497|600708|600748|600761|600997,,600436|000550|000983|002028|002010|600525|002050|600418|000731|600596|600276|600123|000066,
2006-10-09,20,20,000731|600123|600997|600650|600348|600708|000006|001696|000933|000937|002050|000550|000060|002033|000912|000983|600497|002022|600809|600420,000006|000060|000550|000731|000912|000933|000937|000983|001696|002022|002033|002050|600123|600348|600420|600497|600650|600708|600809|600997,,002025|000155|600183|600761|000528|600428|600012|600467|000157|600748|600079,
2006-11-01,20,20,000731|002033|000937|002010|600739|600875|600879|600079|600525|002052|002050|002048|002003|000983|000528|600150|600650|600439|002046|000157,000157|000528|000731|000937|000983|002003|002010|002033|002046|002048|002050|002052|600079|600150|600439|600525|600650|600739|600875|600879,,600997|600348|600708|000006|000933|000060|600497|600420|600123|001696|000550|000912|002022|600809,
2006-12-01,20,20,000006|600517|002049|600497|600533|002050|600439|600518|600708|000060|600012|600352|600227|002028|002025|002010|600420|000027|002046|600271,000006|000027|000060|002010|002025|002028|002046|002049|002050|600012|600227|600271|600352|600420|600439|600497|600517|600518|600533|600708,,000731|002033|000937|000983|600650|600739|600875|600879|600079|600525|002052|002048|002003|000528|600150|000157,
2007-01-04,20,20,002025|000157|600518|000937|600227|000528|600500|000933|600708|600497|600583|600428|600879|002022|000006|002033|000027|002010|002046|000550,000006|000027|000157|000528|000550|000933|000937|002010|002022|002025|002033|002046|600227|600428|600497|600500|600518|600583|600708|600879,,002050|600439|600517|002049|600533|000060|600012|600352|002028|600420|600271,
2007-02-01,20,20,600123|000933|600227|600467|002010|600348|002049|000937|600517|002025|002046|000983|600012|600183|600518|600500|000006|000027|600761|600642,000006|000027|000933|000937|000983|002010|002025|002046|002049|600012|600123|600183|600227|600348|600467|600500|600517|600518|600642|600761,,600708|600497|000157|000528|600583|600428|600879|002022|002033|000550,
2007-03-01,20,20,600227|600467|002049|600123|600518|000983|002033|600428|002046|002025|000550|600420|600439|002010|000933|600725|600348|600525|600418|002022,000550|000933|000983|002010|002022|002025|002033|002046|002049|600123|600227|600348|600418|600420|600428|600439|600467|600518|600525|600725,,000937|600500|000006|000027|600517|600012|600183|600761|600642,
2007-04-02,20,20,000006|600708|000937|600348|600436|002046|600012|600352|600227|000983|600123|002049|600761|600428|002028|002025|000528|000933|600650|600809,000006|000528|000933|000937|000983|002025|002028|002046|002049|600012|600123|600227|600348|600352|600428|600436|600650|600708|600761|600809,,600467|600518|002010|002033|000550|600420|600439|600725|600525|600418|002022,
2007-05-08,20,20,600227|600161|600489|600271|600971|002091|600269|000731|600123|002092|600231|600439|600527|000550|002109|600348|600809|600183|600143|002101,000550|000731|002091|002092|002101|002109|600123|600143|600161|600183|600227|600231|600269|600271|600348|600439|600489|600527|600809|600971,,002046|000983|002049|600428|002025|000933|000006|600708|000937|600436|600012|600352|600761|002028|000528|600650,
2007-06-01,20,20,002101|002074|002092|002056|002064|000903|600489|002003|600227|600031|002076|600123|600436|600428|002036|002115|002100|000933|002065|601699,000903|000933|002003|002036|002056|002064|002065|002074|002076|002092|002100|002101|002115|600031|600123|600227|600428|600436|600489|601699,,600348|600809|600161|600271|600971|002091|600269|000731|600231|600439|600527|000550|002109|600183|600143,
2007-07-02,20,20,002074|002065|601699|600271|000903|002103|002061|002101|002051|600809|002091|600880|002084|600161|600596|600993|002109|002110|600031|600177,000903|002051|002061|002065|002074|002084|002091|002101|002103|002109|002110|600031|600161|600177|600271|600596|600809|600880|600993|601699,,002092|600489|600227|600123|002056|002064|002003|002076|600436|600428|002036|002115|002100|000933,
2007-08-01,20,20,002074|000903|002063|002115|002061|002107|601699|002102|600489|600547|600436|002096|002051|002117|600880|600031|600271|002003|002109|600183,000903|002003|002051|002061|002063|002074|002096|002102|002107|002109|002115|002117|600031|600183|600271|600436|600489|600547|600880|601699,,002065|002101|002103|600809|002091|002084|600161|600596|600993|002110|600177,
2007-09-03,20,19,002115|600348|600031|600436|002104|000060|002081|002120|002084|600183|002063|600352|600276|002109|002091|002108|000987|002107|002096|600527,000060|000987|002063|002081|002084|002091|002096|002104|002107|002108|002109|002115|002120|600031|600183|600276|600352|600436|600527,600348,002074|000903|002061|601699|002051|600880|600271|002102|600489|600547|002117|002003,
2007-10-08,20,20,600269|000541|002028|600588|002038|600348|002086|600352|600426|002117|002061|002107|002036|002056|002091|002076|600993|600033|600971|600439,000541|002028|002036|002038|002056|002061|002076|002086|002091|002107|002117|600033|600269|600348|600352|600426|600439|600588|600971|600993,,002115|600031|600436|600183|002063|002109|002096|002104|000060|002081|002120|002084|600276|002108|000987|600527,
2007-11-01,20,20,002090|002014|002096|002138|600993|600123|600426|000937|002120|600971|600033|000551|600031|002038|002115|000919|000895|601699|002003|002061,000551|000895|000919|000937|002003|002014|002038|002061|002090|002096|002115|002120|002138|600031|600033|600123|600426|600971|600993|601699,,600352|002107|002091|600269|000541|002028|600588|600348|002086|002117|002036|002056|002076|600439,
