date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,002040|002033|600886|002044|600428|000933,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,002033|000550|600886|600428|002040|002044|600010|000933,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,8,8,002040|002044|600886|002033|000550|600428|000933|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-05-08,10,10,000937|001696|000155|600428|000912|600096|000933|002022|000550|002025,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002040|002044|600886|002033|600010,
2006-06-01,20,20,600428|600227|000937|000983|600019|002050|600096|000912|600420|000550|001696|600997|600500|600880|000069|000155|600525|600418|002022|002025,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600019|600096|600227|600418|600420|600428|600500|600525|600880|600997,,000933,
2006-07-03,20,20,000066|600428|002028|600436|600227|002025|600880|600026|002050|600123|002010|000155|000983|600418|000898|002022|000937|600096|600420|600997,000066|000155|000898|000937|000983|002010|002022|002025|002028|002050|600026|600096|600123|600227|600418|600420|600428|600436|600880|600997,,000912|000550|001696|600019|600500|000069|600525,
2006-08-01,20,20,600428|000027|600418|000898|600276|000088|600997|000937|600012|600026|600436|000731|000983|600583|002022|600761|000066|002025|600348|000069,000027|000066|000069|000088|000731|000898|000937|000983|002022|002025|600012|600026|600276|600348|600418|600428|600436|600583|600761|600997,,600227|600880|002050|000155|600096|600420|002028|600123|002010,
2006-09-01,20,20,600271|600348|600428|600012|600829|000937|000983|600880|600123|600583|600096|000088|600997|002050|000538|600650|600276|600596|000933|600809,000088|000538|000933|000937|000983|002050|600012|600096|600123|600271|600276|600348|600428|600583|600596|600650|600809|600829|600880|600997,,600418|000898|600026|600436|002022|000066|002025|000027|000731|600761|000069,
2006-10-09,20,20,600348|000937|600997|000155|002050|600650|600012|000731|000933|600123|600708|000983|600096|600875|600420|000006|000088|600271|000912|001696,000006|000088|000155|000731|000912|000933|000937|000983|001696|002050|600012|600096|600123|600271|600348|600420|600650|600708|600875|600997,,600428|600583|600276|600829|600880|000538|600596|600809,
2006-11-01,20,20,000937|002050|600650|000731|600012|000983|600123|600352|600348|000006|600708|000088|600420|002033|000027|002010|600227|002048|600096|600642,000006|000027|000088|000731|000937|000983|002010|002033|002048|002050|600012|600096|600123|600227|600348|600352|600420|600642|600650|600708,,600997|000933|600271|000155|600875|000912|001696,
2006-12-01,20,20,000027|000731|600436|600012|600227|600352|002033|600518|600717|000912|002010|600420|000937|002050|600271|600439|002022|600079|002046|600708,000027|000731|000912|000937|002010|002022|002033|002046|002050|600012|600079|600227|600271|600352|600420|600436|600439|600518|600708|600717,,600650|000983|600123|600348|000006|000088|600096|002048|600642,
2007-01-04,20,20,600708|000937|600079|002050|600227|600362|002052|600012|002046|000983|600650|002022|000088|002033|000912|002025|000933|600309|600352|600348,000088|000912|000933|000937|000983|002022|002025|002033|002046|002050|002052|600012|600079|600227|600309|600348|600352|600362|600650|600708,,000027|000731|002010|600420|600436|600518|600717|600271|600439,
2007-02-01,20,20,002022|600650|000937|002028|600583|600517|600518|600012|000027|002049|600352|002010|002033|000089|600420|600642|000912|002003|600439|600227,000027|000089|000912|000937|002003|002010|002022|002028|002033|002049|600012|600227|600352|600420|600439|600517|600518|600583|600642|600650,,600708|600079|002050|002046|600362|002052|000983|000088|002025|000933|600309|600348,
2007-03-01,20,19,002022|000987|002028|600271|000538|002033|002049|600725|000006|600518|600012|600809|002025|600436|600880|600525|600517|002046|600348|600420,000006|000538|000987|002022|002025|002028|002033|002046|002049|600012|600271|600348|600420|600517|600518|600525|600725|600809|600880,600436,600650|000937|600352|000912|600227|600583|000027|002010|000089|600642|002003|600439,
2007-04-02,20,20,002109|000731|000937|002033|600227|600012|600348|600517|002028|600650|000088|000006|600123|600271|600420|600276|002010|600436|600533|000983,000006|000088|000731|000937|000983|002010|002028|002033|002109|600012|600123|600227|600271|600276|600348|600420|600436|600517|600533|600650,,002022|002049|600518|000987|000538|600725|600809|002025|600880|600525|002046,
2007-05-08,20,20,002091|002109|002101|002090|600227|600271|600517|002096|600231|000919|002108|600880|600596|600269|600971|600183|002028|600761|000550|002003,000550|000919|002003|002028|002090|002091|002096|002101|002108|002109|600183|600227|600231|600269|600271|600517|600596|600761|600880|600971,,002033|600012|600348|000006|600420|000731|000937|600650|000088|600123|600276|002010|600436|600533|000983,
2007-06-01,20,20,002109|002115|002033|002101|002074|002065|002110|002081|002073|002106|002096|002108|600269|002100|002028|002064|600547|002092|600439|600227,002028|002033|002064|002065|002073|002074|002081|002092|002096|002100|002101|002106|002108|002109|002110|002115|600227|600269|600439|600547,,600271|600517|002091|002090|600231|000919|600880|600596|600971|600183|600761|000550|002003,
2007-07-02,20,20,600517|002117|002033|002101|002029|600276|002109|600596|002074|000987|002103|002022|002084|600143|600227|002065|600547|601699|600993|002051,000987|002022|002029|002033|002051|002065|002074|002084|002101|002103|002109|002117|600143|600227|600276|600517|600547|600596|600993|601699,,002096|002108|600269|002028|002115|002110|002081|002073|002106|002100|002064|002092|600439,
2007-08-01,20,20,600517|002117|600143|600161|002074|600276|002086|600993|002101|600527|000731|002056|002109|002038|600227|002116|600596|000987|002022|600439,000731|000987|002022|002038|002056|002074|002086|002101|002109|002116|002117|600143|600161|600227|600276|600439|600517|600527|600596|600993,,002033|002065|600547|002029|002103|002084|601699|002051,
2007-09-03,20,20,600993|002109|002108|002117|002107|002096|002084|002101|600439|600276|002090|002115|002091|600436|000088|600660|600033|000021|002038|600031,000021|000088|002038|002084|002090|002091|002096|002101|002107|002108|002109|002115|002117|600031|600033|600276|600436|600439|600660|600993,,600517|600143|002074|600227|600596|000987|002022|600161|002086|600527|000731|002056|002116,
2007-10-08,20,20,000541|002117|002109|600436|002084|600271|002107|002038|002076|600993|002074|002091|002028|600177|002138|600439|600276|600143|002090|600588,000541|002028|002038|002074|002076|002084|002090|002091|002107|002109|002117|002138|600143|600177|600271|600276|600436|600439|600588|600993,,002101|002108|002096|002115|000088|600660|600033|000021|600031,
2007-11-01,20,20,002038|600276|002090|002032|600650|002091|002096|600993|002086|002033|002081|002065|002117|002102|600033|600269|000919|002107|002138|600410,000919|002032|002033|002038|002065|002081|002086|002090|002091|002096|002102|002107|002117|002138|600033|600269|600276|600410|600650|600993,,002109|600436|002084|600439|000541|600271|002076|002074|002028|600177|600143|600588,
2007-12-03,20,20,002101|002117|002108|002086|002007|002096|002063|600439|002107|600993|002090|002109|600880|600518|002062|002081|600276|600660|000919|002091,000919|002007|002062|002063|002081|002086|002090|002091|002096|002101|002107|002108|002109|002117|600276|600439|600518|600660|600880|600993,,002038|002138|002032|600650|002033|002065|002102|600033|600269|600410,
2008-01-02,20,20,002108|002138|000088|002056|002090|600527|002100|002101|000551|600227|000987|600517|600588|002033|000541|600269|600033|600436|002014|600143,000088|000541|000551|000987|002014|002033|002056|002090|002100|002101|002108|002138|600033|600143|600227|600269|600436|600517|600527|600588,,002117|002086|002096|002107|600993|002081|600276|000919|002091|002007|002063|600439|002109|600880|600518|002062|600660,
2008-02-01,20,20,600479|600276|600660|000987|002007|002081|600517|600880|600588|002073|600183|600439|600809|600271|002101|600650|600143|600642|002090|000895,000895|000987|002007|002073|002081|002090|002101|600143|600183|600271|600276|600439|600479|600517|600588|600642|600650|600660|600809|600880,,002108|002138|000088|002056|600527|002100|000551|600227|002033|000541|600269|600033|600436|002014,
2008-03-03,20,20,600517|002007|000987|002073|002003|002063|000895|600761|002081|000088|600880|002054|600588|600352|002101|002065|600143|600269|600479|600527,000088|000895|000987|002003|002007|002054|002063|002065|002073|002081|002101|600143|600269|600352|600479|600517|600527|600588|600761|600880,,002090|600276|600660|600183|600439|600809|600271|600650|600642,
2008-04-01,20,20,002007|600479|600276|600271|600880|000937|002106|002003|002108|002028|002101|600436|600525|600642|600410|600352|002032|600123|600809|000987,000937|000987|002003|002007|002028|002032|002101|002106|002108|600123|600271|600276|600352|600410|600436|600479|600525|600642|600809|600880,,600517|002073|000895|002081|600588|600143|002063|600761|000088|002054|002065|600269|600527,
2008-05-05,20,20,000338|000987|600271|600276|002138|002063|600436|002007|000895|600350|002153|600650|002065|000848|002111|002106|002003|600033|600588|000088,000088|000338|000848|000895|000987|002003|002007|002063|002065|002106|002111|002138|002153|600033|600271|600276|600350|600436|600588|600650,,600479|600880|002101|600352|000937|002108|002028|600525|600642|600410|002032|600123|600809,
2008-06-02,20,20,600176|002063|600350|000848|600256|600269|002028|002003|002106|600650|000987|002111|600033|600570|000550|002222|000338|000708|600782|002138,000338|000550|000708|000848|000987|002003|002028|002063|002106|002111|002138|002222|600033|600176|600256|600269|600350|600570|600650|600782,,600271|600276|600436|002007|000895|002153|002065|600588|000088,
