date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,002044|002033|002040|600886|000933|600428,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,002044|002033|002040|600886|000933|600428|000550|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,8,8,002044|002033|002040|000550|600886|000933|600428|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-05-08,10,10,000550|000933|600428|001696|002022|000937|002025|000155|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002044|002033|002040|600886|600010,
2006-06-01,20,20,001696|002022|000937|000550|002025|600428|000155|600096|000912|002050|600525|600880|600436|600227|600420|600997|600761|000983|000069|600583,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600096|600227|600420|600428|600436|600525|600583|600761|600880|600997,,000933,
2006-07-03,20,20,002050|600525|001696|002022|600436|600880|600227|000937|600420|000550|002025|600997|000155|600428|600761|000983|000069|600583|600096|000912,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600096|600227|600420|600428|600436|600525|600583|600761|600880|600997,,,
2006-08-01,20,20,002050|600525|001696|002022|600436|600880|600227|000937|600420|002025|600997|000550|000983|600761|600428|000155|000069|600583|600096|000912,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600096|600227|600420|600428|600436|600525|600583|600761|600880|600997,,,
2006-09-01,20,20,002050|001696|002022|600436|600880|000937|600420|002025|600997|000550|000983|600428|600761|000155|002033|002028|600276|000157|600467|002010,000155|000157|000550|000937|000983|001696|002010|002022|002025|002028|002033|002050|600276|600420|600428|600436|600467|600761|600880|600997,,600525|600227|000069|600583|600096|000912,
2006-10-09,20,20,002050|002033|001696|002028|000157|600276|002010|002022|600436|600420|000937|600467|600997|002025|000550|000983|600428|000155|600761|600497,000155|000157|000550|000937|000983|001696|002010|002022|002025|002028|002033|002050|600276|600420|600428|600436|600467|600497|600761|600997,,600880,
