year,return
2006,0.2537693698347081
2007,0.8713918906296496
2008,-0.16046880122524387
2009,0.5643471112924141
2010,0.17305050416199674
2011,-0.1969325171494668
2012,-0.004145072962106533
2013,0.3824242955370618
2014,0.27454413515618925
2015,0.7597203108394843
2016,-0.014158368438917934
2017,-0.14057988734514948
2018,-0.024208522747058536
2019,0.21812333330386657
2020,0.09495098144717429
2021,0.2853838510428317
2022,0.03625070781856965
2023,0.037430231470725106
2024,0.06607098271190748
2025,0.23407973494601664
2026,0.031527750072057215
