year,return
2006,0.20341485263598402
2007,0.5208434730376919
2008,-0.15736581213818845
2009,0.49625776555649237
2010,0.15854409184190188
2011,-0.17986669087407725
2012,-0.003713985843262546
2013,0.2937568922352163
2014,0.251467295616286
2015,0.5787843128879422
2016,-0.014677095702803511
2017,-0.1328261939527028
2018,-0.03569230947183266
2019,0.20513616434675686
2020,0.06395843887219921
2021,0.2735420427679598
2022,0.04783780130723847
2023,0.03830095253172261
2024,0.04950450965748776
2025,0.1947699076162046
2026,0.02108335903701164
