date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,0,0,,,,,
2006-03-01,0,0,,,,,
2006-04-03,0,0,,,,,
2006-05-08,9,9,001696|000937|000933|600428|000155|002025|002022|600096|000912,000155|000912|000933|000937|001696|002022|002025|600096|600428,,,
2006-06-01,16,16,001696|000937|600227|000983|600428|600997|000155|600436|002025|600096|600880|600583|600418|000912|002022|600019,000155|000912|000937|000983|001696|002022|002025|600019|600096|600227|600418|600428|600436|600583|600880|600997,,000933,
2006-07-03,20,20,600348|001696|000937|600123|600227|000933|000983|600997|600428|600436|000155|002025|002028|600026|600880|600096|600362|000898|600309|002010,000155|000898|000933|000937|000983|001696|002010|002025|002028|600026|600096|600123|600227|600309|600348|600362|600428|600436|600880|600997,,000912|002022|600583|600418|600019,
2006-08-01,20,20,600276|001696|600348|002010|600227|000937|002028|000731|600123|000933|600596|600880|600829|002025|600997|002022|600809|000983|600428|600012,000731|000933|000937|000983|001696|002010|002022|002025|002028|600012|600123|600227|600276|600348|600428|600596|600809|600829|600880|600997,,600436|000155|600096|600026|600362|000898|600309,
2006-09-01,20,20,002050|600276|600348|002028|600497|002010|001696|000006|000937|600650|600880|002022|000731|600123|600271|000933|600596|600997|002025|600829,000006|000731|000933|000937|001696|002010|002022|002025|002028|002050|600123|600271|600276|600348|600497|600596|600650|600829|600880|600997,,600227|000983|600428|600809|600012,
2006-10-09,20,20,002050|600497|600276|600348|002028|001696|002010|000006|000937|600650|600123|000731|000933|002022|600997|600271|600596|600708|002025|600809,000006|000731|000933|000937|001696|002010|002022|002025|002028|002050|600123|600271|600276|600348|600497|600596|600650|600708|600809|600997,,600880|600829,
