date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,0,0,,,,,
2006-03-01,0,0,,,,,
2006-04-03,0,0,,,,,
2006-05-08,10,10,002022|000933|002025|000550|000937|000155|600428|001696|000912|600096,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,,
2006-06-01,20,20,002050|600436|600227|002022|600525|002025|600997|600761|000550|600880|000155|600583|000937|600428|000069|000983|000912|001696|600096|600418,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600096|600227|600418|600428|600436|600525|600583|600761|600880|600997,,000933,
2006-07-03,20,20,002050|600436|002010|600227|002022|600525|002025|000933|600997|002028|600761|000550|600880|000155|000066|600026|000937|600123|600583|600428,000066|000155|000550|000933|000937|002010|002022|002025|002028|002050|600026|600123|600227|600428|600436|600525|600583|600761|600880|600997,,000912|001696|600096|000069|000983|600418,
2006-08-01,20,20,002050|600276|600436|000088|002010|600227|002022|600525|600809|002025|000731|002028|600761|000933|600012|000066|000550|600880|000155|000937,000066|000088|000155|000550|000731|000933|000937|002010|002022|002025|002028|002050|600012|600227|600276|600436|600525|600761|600809|600880,,600997|600583|600428|600026|600123,
2006-09-01,20,20,002033|600276|600436|002022|002010|600467|002025|600271|000937|600809|600650|002028|000933|000731|600880|600012|002050|600123|600761|000155,000155|000731|000933|000937|002010|002022|002025|002028|002033|002050|600012|600123|600271|600276|600436|600467|600650|600761|600809|600880,,600227|600525|000066|000550|000088,
2006-10-09,20,20,002033|600276|600436|002022|002010|002025|600271|000937|600467|600809|600650|002028|000933|600012|000731|600123|002050|000155|000550|000088,000088|000155|000550|000731|000933|000937|002010|002022|002025|002028|002033|002050|600012|600123|600271|600276|600436|600467|600650|600809,,600880|600761,
