date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,000933|002040|600886|002033|002044|600428,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,000933|600886|600428|002040|002033|002044|000550|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,8,8,000933|600428|600886|002040|002033|002044|000550|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-05-08,10,10,002022|002025|000933|000550|000155|000937|600428|001696|000912|600096,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,600886|002040|002033|002044|600010,
2006-06-01,20,20,002050|600436|600420|600227|002022|002025|600525|600997|600761|000550|600583|600880|000155|000937|600428|000912|000069|001696|600096|000983,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600096|600227|600420|600428|600436|600525|600583|600761|600880|600997,,000933,
2006-07-03,20,20,002050|600436|600420|002010|600227|002022|002025|600525|000933|600997|600761|002028|000550|600880|000155|600583|000066|600026|600123|000937,000066|000155|000550|000933|000937|002010|002022|002025|002028|002050|600026|600123|600227|600420|600436|600525|600583|600761|600880|600997,,600428|000912|001696|600096|000069|000983,
2006-08-01,20,20,002050|600276|600420|600436|600227|000088|002010|002022|600809|600525|002025|000731|600761|002028|600012|000933|000155|000550|600880|000066,000066|000088|000155|000550|000731|000933|002010|002022|002025|002028|002050|600012|600227|600276|600420|600436|600525|600761|600809|600880,,600997|600583|000937|600026|600123,
2006-09-01,20,20,002033|600276|600420|002022|600436|002010|002025|600467|600271|000937|600809|600650|002028|000731|000933|600880|600012|000155|600761|002050,000155|000731|000933|000937|002010|002022|002025|002028|002033|002050|600012|600271|600276|600420|600436|600467|600650|600761|600809|600880,,600227|600525|000550|000066|000088,
2006-10-09,20,20,002033|600276|600420|002022|600436|002010|002025|600271|600467|000937|600809|600650|002028|000731|000933|600012|000155|000550|600123|002050,000155|000550|000731|000933|000937|002010|002022|002025|002028|002033|002050|600012|600123|600271|600276|600420|600436|600467|600650|600809,,600880|600761,
2006-11-01,20,20,002052|002033|600276|002022|600436|600227|600420|002046|000088|002010|002025|600525|600650|000937|600809|600271|600467|002049|600518|600517,000088|000937|002010|002022|002025|002033|002046|002049|002052|600227|600271|600276|600420|600436|600467|600517|600518|600525|600650|600809,,002028|000731|000933|600012|000155|002050|000550|600123,
2006-12-01,20,20,002052|002033|600276|002022|600420|600436|600227|000088|002046|002010|002025|600525|600650|000937|600809|600271|600467|002049|600518|600517,000088|000937|002010|002022|002025|002033|002046|002049|002052|600227|600271|600276|600420|600436|600467|600517|600518|600525|600650|600809,,,
2007-01-04,20,20,002052|002033|600276|002022|600420|600227|600436|000088|002046|002025|002010|600525|600650|000937|600271|600809|600467|000089|002049|600518,000088|000089|000937|002010|002022|002025|002033|002046|002049|002052|600227|600271|600276|600420|600436|600467|600518|600525|600650|600809,,600517,
2007-02-01,20,20,002052|002033|600276|002022|600420|600227|600436|002046|000088|002025|002010|600525|600650|000937|600271|600467|002049|000089|600518|600517,000088|000089|000937|002010|002022|002025|002033|002046|002049|002052|600227|600271|600276|600420|600436|600467|600517|600518|600525|600650,,600809,
2007-03-01,20,20,002033|600276|002022|600436|600420|600227|002046|000088|002025|002010|000937|600525|600809|600271|600467|002049|600650|600518|600012|000089,000088|000089|000937|002010|002022|002025|002033|002046|002049|600012|600227|600271|600276|600420|600436|600467|600518|600525|600650|600809,,002052|600517,
2007-04-02,20,20,002033|600436|600276|002025|600420|002022|000088|600227|002046|600525|002010|600271|000937|600809|600467|002049|600650|600012|000731|000089,000088|000089|000731|000937|002010|002022|002025|002033|002046|002049|600012|600227|600271|600276|600420|600436|600467|600525|600650|600809,,600518,
