ym,market_cap_log,circ_mv,float_ratio,mv_volatility_60d,avg_amount_20d,turnover_rate,amihud_illiquidity,amount_cv,zero_volume_ratio,log_amount_60d,turnover_rate_60d,amihud_60d,amount_cv_60d,turnover_std_20d,amount_ratio_10_60,volume_slope_20d,turnover_chg_20_60,vp_corr,volume_surge,up_down_volume_ratio,obv_factor,vr,mfi,tail_volume_ratio,vp_corr_60d,obv_slope_60d,vol_surge_5d,vwap_slope_20d,volatility_20d,volatility_60d,idiosyncratic_vol,volatility_120d,downside_vol_20d,return_skew_60d,return_kurt_60d,atr_ratio_20d,gk_vol_20d,vol_ratio_20_60,max_drawdown_20d,max_drawdown_60d,max_drawdown_120d,max_drawdown_250d,dd_current,dd_area_120d,dd_duration_120d,return_5d,return_10d,return_20d,return_60d,return_120d,return_250d,mom_3_1,mom_6_1,mom_12_1,mom_accel,price_52w_pos,rsi_14,macd_hist_norm,boll_pos_20,ma5_ma20_ratio,ma20_ma60_ratio,roe,roa,roe_ttm,roa_ttm,net_profit_margin,gross_profit_margin,revenue_growth_yoy,profit_growth_yoy,ocf_to_asset,div_yield_ttm,debt_to_asset,vp_divergence_20d,up_vol_shrink_ratio,down_vol_expand_ratio,turnover_zscore_20d,turnover_momentum_5_20,realized_vol_ratio_5_60,overnight_gap_ratio_20d,large_order_proxy_20d,vol_ma_ratio_5_20,price_level_log,shell_value_proxy,mktcap_rank_pct,microcap_liq_interact,strong_reversal_micro,gp_margin,roe_report,accrual_quality,cf_or_ratio,cf_np_ratio_x,ocf_stability,dupont_np_margin,dupont_asset_turn,dupont_leverage,dupont_roe_check,dupont_tax_burden,cash_to_asset,inventory_to_asset,ar_to_asset,asset_yoy,revenue_yoy_x,net_profit_yoy_x,profit_accel_x,revenue_accel,growth_persist,margin_trend,pe_ttm,pb,peg_np_x,peg_rev,pegy,pcf_proxy,neff_val,buf_quality_x,davis_dp,graham_score,revenue_yoy_y,net_profit_yoy_y,profit_accel_y,buf_quality_y,cf_np_ratio_y,peg_np_y,ret120,dist250h
2006-01,,0.012485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.254538,-0.262044,,,,,,-0.010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02,,0.028481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241386,0.228382,,,,,,-0.029842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2464640152468102,,,,,,-0.24646401524681025,,,,
2006-03,,-0.055259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165033,0.175519,,,,,,0.005195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2392397125481386,,,,,,0.23923971254813864,,,,
2006-04,,0.187249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.280445,-0.273801,,,,,,-0.123404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0483510635987594,-0.1520329258379988,0.0446189560352645,0.0505196519561783,0.0420214122283183,0.0161405122452619,0.0863362737768359,0.122791646403601,0.0060469178035357,0.0374414573763827,0.15238270192219905,0.1366072077588944,,0.12279164640360103,0.08788447944752781,0.04461895603526454,,
2006-05,,0.09626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038337,0.04591,,,,,,-0.056548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2717336039100574,-0.0736189115135751,-0.2341815366894294,-0.2142204663834647,-0.2213136634013123,-0.1857468059084991,-0.1602735163042447,-0.060126971669342,-0.2383422223739293,-0.0465885846512392,-0.13039146159419027,-0.1493089465648168,,-0.060126971669342034,-0.027032350950275244,-0.2341815366894294,,
2006-06,,0.161455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.067963,-0.078697,,,,,,-0.105801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0623516844902158,-0.0778525380747995,-0.0930633704227807,-0.0676239036598204,-0.0797107953133253,-0.0446083212005868,0.0106272868705926,-0.0059670053238709,-0.0508876711703977,0.0034632265023875,-0.0597589017369636,-0.009610820377305955,,-0.005967005323870999,-0.04488778217147671,-0.09306337042278075,,
2006-07,-0.0078,-0.059273,-0.004802,-0.050334,-0.063584,0.029321,-0.046531,0.020611,-0.022053,-0.057199,0.029636,-0.075485,-0.006076,0.028373,0.037934,0.018972,0.022178,-0.085219,0.043244,-0.04546,-0.025024,-0.014332,0.063294,,-0.041563,0.006479,0.084045,0.069294,-0.092086,-0.063616,-0.061683,-0.093776,0.142815,-0.00717,-0.024655,-0.179469,-0.135139,-0.051191,0.198716,0.14899,0.141824,0.093507,0.093507,0.00428,-0.070382,0.217917,0.174748,0.132326,0.091128,0.015836,-0.050058,-0.022157,0.029187,0.077635,0.039223,-0.09275,0.122479,-0.180841,-0.137867,-0.131512,0.030531,,,0.066482,0.061467,,,,,,0.0713,,-0.034842,-0.000179,-0.081835,0.01607,0.10679,0.004021,0.021477,-0.087696,-0.084045,-0.023771,0.020134,-0.020134,-0.044613,0.108843,0.049804,-0.09316,0.048648,-0.048965,-0.048648,,0.041314,-0.02579,-0.00751,0.005144,0.047348,0.037491,-0.113937,0.041113,0.040811,0.020568,0.054052,,,,,-0.0963699574974561,-0.031640701551683,-0.0406143185363476,-0.093707662058228,-0.048990480077865,0.0191517238341244,-0.016663862548523,-0.0667251688330624,-0.0860699311882972,-0.0551231954633268,-0.0989423224095984,-0.040599892676796284,,-0.06672516883306243,0.010582716094276315,-0.0406143185363476,,
2006-08,0.112828,0.158708,0.109685,0.066233,0.244572,0.141404,0.206003,0.056938,-0.013674,0.205945,0.106886,0.216225,0.039892,0.135468,0.080019,0.078677,0.009903,-0.089296,0.138739,-0.027318,-0.109098,0.058456,0.039168,,-0.013952,-0.099482,0.098722,-0.029465,0.110883,0.102827,0.060741,0.108158,-0.046573,-0.037417,0.064908,0.055782,0.049657,0.031275,0.076124,0.023557,0.01838,0.024157,0.024157,-0.021632,0.02754,0.144513,0.023989,0.089659,0.066079,0.018635,-0.023515,-0.02778,0.001359,0.039837,0.006103,-0.024842,0.024507,-0.010553,-0.082604,-0.009641,-0.028006,,,-0.113644,-0.116973,,,,,,-0.09197,,-0.104959,0.157317,-0.023271,0.129944,0.096505,0.063204,-0.091749,-0.097283,-0.099076,0.107491,-0.172839,0.172839,0.216844,0.045565,0.00647,-0.133383,0.078767,-0.04028,-0.078767,,-0.093816,-0.120802,0.008389,-0.133507,0.032311,-0.049708,-0.078259,-0.081187,-0.113213,-0.156123,-0.14314,,,,,-0.013966307124973,-0.1308824716064274,0.0082833637304184,0.00315342421175,-0.0095538732376509,0.0153298333496548,0.0490957953194982,5.114165345259471e-05,-0.0298796716672959,-0.0294475981049239,0.038867951479146984,0.09773140904188048,,5.114165345259471e-05,-0.0468249089900112,0.008283363730418476,,
2006-09,0.004735,-0.056509,-0.035595,0.152254,0.002414,0.280977,-0.089036,0.092897,-0.01045,-0.057604,0.207113,-0.131485,0.039586,0.270621,0.173309,0.07102,0.14617,-0.138467,-0.012524,-0.09299,-0.102882,0.101016,0.076366,,-0.117204,-0.100882,0.072314,-0.152804,0.248846,0.193867,0.173662,0.205218,-0.172643,0.050479,-0.066343,0.280962,0.270791,0.100683,0.046477,0.048762,0.012225,0.01582,0.01582,-0.089912,-0.006971,0.09709,0.163152,0.175398,0.071111,0.090398,0.040544,0.002581,-0.055728,-0.023837,-0.034923,-0.015769,0.101938,-0.12065,-0.10685,-0.177051,-0.099474,,,0.210062,0.183883,,,,,,0.22138,,-0.122658,0.046926,-0.139493,-0.023077,0.068791,0.053936,0.014777,-0.090658,-0.072314,0.178673,0.009887,-0.009887,-0.050384,0.161747,-0.000571,0.209759,-0.091724,0.121899,0.091724,,0.113101,0.124145,0.003319,0.219701,-0.028751,0.01389,0.088843,0.003164,0.067072,0.09359,0.058912,,,,,-0.0801539118780104,-0.0313174934817497,-0.1169508500553452,-0.1058120838833375,-0.1159247185897744,-0.0569525060728281,-0.079999733867921,-0.0691949214403236,-0.0336594833275433,0.0156466448705856,-0.12479244929567894,-0.11982364633818388,,-0.06919492144032366,-0.07137733291414268,-0.11695085005534528,,
2006-10,-0.273533,-0.303159,-0.037752,-0.081274,-0.355512,0.232272,-0.433428,0.135858,0.051526,-0.401401,0.20667,-0.464448,0.137066,0.253617,0.004326,-0.097127,0.10853,-0.037264,-0.218389,-0.020304,-0.039697,0.061319,-0.063511,,-0.04949,-0.045284,-0.204719,-0.11748,0.098106,0.126485,0.080885,0.109689,-0.195412,-0.153034,0.007253,0.119096,0.092243,0.000151,-0.193275,-0.162854,-0.155243,-0.162064,-0.162064,-0.109584,-0.048293,-0.157155,-0.194571,-0.06391,-0.108627,0.009311,-0.248783,0.115212,0.001649,0.217715,-0.062018,0.163086,-0.131701,0.177619,0.136455,0.158398,-0.017643,,,0.316716,0.270827,,,,,,0.22609,,-0.068421,-0.006478,-0.091338,-0.142209,-0.197504,-0.047684,0.052871,-0.072956,0.204719,-0.069496,0.268193,-0.268193,-0.400121,-0.006779,0.158341,0.260913,-0.046364,0.111111,0.046364,0.107716,0.263966,0.000798,-0.04703,0.277561,-0.077867,0.055256,-0.055288,0.275207,0.16852,0.140668,0.200877,,,0.077699,,0.2499476350715928,0.0718743555106455,0.1949725538991087,0.226883457907002,0.2246110572468663,0.1731612101677965,0.1210887268972392,0.0059411789706938,0.1673425680830834,0.005413454523773,0.08717827475973278,0.0590194148907874,,0.005941178970693875,0.046106020068157276,0.19497255389910878,,
