date,code,action,price
2006-02-06,600428,BUY,2.48531535
2006-02-06,600886,BUY,1.2315457
2006-02-06,002044,BUY,0.5614839
2006-02-06,002040,BUY,3.31407468
2006-02-06,002033,BUY,1.7774517
2006-02-06,000933,BUY,1.6616433
2006-03-01,000550,BUY,2.44337808
2006-03-01,600010,BUY,0.94996753
2006-05-08,600886,SELL_REBAL,1.2302696
2006-05-08,600010,SELL_REBAL,0.62574653
2006-05-08,002040,SELL_REBAL,3.31407468
2006-05-08,002044,SELL_REBAL,0.55732476
2006-05-08,002033,SELL_REBAL,2.11942836
2006-05-08,000155,BUY,3.9280672
2006-05-08,000937,BUY,0.92942586
2006-05-08,000912,BUY,6.1421316
2006-05-08,002025,BUY,9.25790448
2006-05-08,600096,BUY,6.85913764
2006-05-08,002022,BUY,2.71935716
2006-05-08,001696,BUY,0.61866142
2006-06-01,000933,SELL_REBAL,2.0590847
2006-06-01,000983,BUY,1.5761944
2006-06-01,600525,BUY,1.73196569
2006-06-01,600880,BUY,2.48699424
2006-06-01,600436,BUY,3.9169878
2006-06-01,600418,BUY,3.7804745
2006-06-01,600420,BUY,2.92979792
2006-06-01,600500,BUY,3.4986545
2006-06-01,600583,BUY,3.96352845
2006-06-01,600227,BUY,2.31550452
2006-06-01,000069,BUY,2.3752288
2006-06-01,002050,BUY,0.6964461
2006-07-03,000912,SELL_REBAL,6.8401011
2006-07-03,000937,SELL_REBAL,0.98731939
2006-07-03,600428,SELL_REBAL,2.59671555
2006-07-03,000550,SELL_REBAL,4.37771906
2006-07-03,600525,SELL_REBAL,2.17173642
2006-07-03,600436,SELL_REBAL,3.79082715
2006-07-03,600500,SELL_REBAL,3.2846872
2006-07-03,600583,SELL_REBAL,4.03371045
2006-07-03,002010,BUY,2.3273328
2006-07-03,600026,BUY,4.76642232
2006-07-03,000066,BUY,2.60981424
2006-07-03,600123,BUY,2.171834
2006-07-03,600019,BUY,1.95486039
2006-07-03,002028,BUY,2.91897276
2006-07-03,600997,BUY,2.35473175
2006-07-03,600183,BUY,2.35876938
2006-08-01,600096,SELL_REBAL,6.99466396
2006-08-01,000069,SELL_REBAL,1.82344
2006-08-01,002050,SELL_REBAL,0.66377332
2006-08-01,600880,SELL_REBAL,2.52886896
2006-08-01,000155,SELL_REBAL,4.57665504
2006-08-01,002022,SELL_REBAL,2.57383972
2006-08-01,600418,SELL_REBAL,2.81129831
2006-08-01,600026,SELL_REBAL,4.67815524
2006-08-01,000066,SELL_REBAL,2.14349608
2006-08-01,600123,SELL_REBAL,1.96858312
2006-08-01,600019,SELL_REBAL,1.81301111
2006-08-01,600183,SELL_REBAL,2.24104114
2006-08-01,600436,BUY,3.22210295
2006-08-01,600276,BUY,0.92337234
2006-08-01,600428,BUY,2.36428227
2006-08-01,000937,BUY,0.8136388
2006-08-01,600829,BUY,5.32592907
2006-08-01,000933,BUY,1.7924846
2006-08-01,000538,BUY,4.675659
2006-08-01,000550,BUY,4.30784724
2006-08-01,600320,BUY,5.28098568
2006-08-01,000039,BUY,3.518402
2006-08-01,600362,BUY,7.42465444
2006-08-01,000027,BUY,2.03010032
2006-09-01,600420,SELL_REBAL,2.22326736
2006-09-01,600227,SELL_REBAL,2.21770353
2006-09-01,000983,SELL_REBAL,1.23229744
2006-09-01,002010,SELL_REBAL,2.0281716
2006-09-01,001696,SELL_REBAL,1.05617632
2006-09-01,600436,SELL_REBAL,3.51848035
2006-09-01,600276,SELL_REBAL,0.91763048
2006-09-01,600428,SELL_REBAL,2.26985625
2006-09-01,000937,SELL_REBAL,0.79486252
2006-09-01,000933,SELL_REBAL,1.7384941
2006-09-01,000538,SELL_REBAL,4.70178
2006-09-01,000550,SELL_REBAL,4.51007151
2006-09-01,600320,SELL_REBAL,4.9857407
2006-09-01,600362,SELL_REBAL,7.6305005
2006-09-01,000027,SELL_REBAL,2.05761674
2006-09-01,600809,BUY,4.18095816
2006-09-01,600880,BUY,2.52522768
2006-09-01,600875,BUY,7.12864672
2006-09-01,000002,BUY,1.69025913
2006-09-01,000006,BUY,1.2404472
2006-09-01,600079,BUY,1.29319633
2006-09-01,600096,BUY,7.14524876
2006-09-01,600012,BUY,2.25872
2006-09-01,600026,BUY,5.03857915
2006-09-01,600123,BUY,2.06693032
2006-09-01,600183,BUY,2.26837091
2006-09-01,000898,BUY,2.74546971
2006-09-01,000912,BUY,7.65905198
2006-09-01,000731,BUY,5.65999926
2006-09-01,000690,BUY,1.34877456
2006-10-09,600829,SELL_REBAL,6.23687515
2006-10-09,002028,SELL_REBAL,3.33782714
2006-10-09,002025,SELL_REBAL,8.0769108
2006-10-09,600809,SELL_REBAL,4.99508946
2006-10-09,600880,SELL_REBAL,2.7127536
2006-10-09,600079,SELL_REBAL,1.440085
2006-10-09,600096,SELL_REBAL,7.1151318
2006-10-09,600012,SELL_REBAL,2.34003392
2006-10-09,600026,SELL_REBAL,6.07571734
2006-10-09,600123,SELL_REBAL,2.0161176
2006-10-09,600183,SELL_REBAL,2.37988896
2006-10-09,000898,SELL_REBAL,2.83912128
2006-10-09,000912,SELL_REBAL,7.52876434
2006-10-09,600500,BUY,3.4408255
2006-10-09,600642,BUY,2.052176
2006-10-09,600497,BUY,1.75138035
2006-10-09,000538,BUY,5.2137516
2006-10-09,000157,BUY,0.6061038
2006-10-09,000155,BUY,4.44876448
2006-10-09,000528,BUY,2.37706272
2006-10-09,600583,BUY,4.10740155
2006-10-09,600650,BUY,4.73806592
2006-10-09,000550,BUY,4.27492701
2006-10-09,600596,BUY,2.9402802
2006-10-09,000060,BUY,2.1220496
2006-10-09,000088,BUY,3.2021964
2006-11-01,000002,SELL_REBAL,2.02980897
2006-11-01,000690,SELL_REBAL,1.57545936
2006-11-01,000039,SELL_REBAL,4.13947644
2006-11-01,000731,SELL_REBAL,5.71580862
2006-11-01,600997,SELL_REBAL,2.1145803
2006-11-01,600875,SELL_REBAL,8.16891304
2006-11-01,600500,SELL_REBAL,3.5564835
2006-11-01,600642,SELL_REBAL,2.115428
2006-11-01,600497,SELL_REBAL,2.2601643
2006-11-01,000538,SELL_REBAL,4.7932035
2006-11-01,000157,SELL_REBAL,0.66952732
2006-11-01,000155,SELL_REBAL,4.30260384
2006-11-01,000528,SELL_REBAL,2.67980184
2006-11-01,600583,SELL_REBAL,4.23022005
2006-11-01,600650,SELL_REBAL,5.1915008
2006-11-01,000550,SELL_REBAL,3.94102182
2006-11-01,600596,SELL_REBAL,3.107056
2006-11-01,000088,SELL_REBAL,3.42388692
2006-11-01,600845,BUY,1.1675389
2006-11-01,002048,BUY,4.3404996
2006-11-01,002050,BUY,0.69730591
2006-11-01,002022,BUY,3.3650908
2006-11-01,002025,BUY,7.14026064
2006-11-01,002052,BUY,3.99016338
2006-11-01,002049,BUY,2.48721088
2006-11-01,600183,BUY,2.35770624
