date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,002044|002033|002040|600886|000933|600428,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,002044|002033|002040|000550|600886|000933|600428|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,7,7,002044|002033|002040|000550|600886|000933|600428,000550|000933|002033|002040|002044|600428|600886,,600010,
2006-05-08,10,10,001696|002022|000550|000155|000937|002025|000933|600428|000912|600096,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002044|002033|002040|600886,
2006-06-01,20,20,600525|002050|001696|600227|002022|600880|000550|600420|600761|000155|002025|000937|600997|600428|600583|000912|600096|000069|600500|600418,000069|000155|000550|000912|000937|001696|002022|002025|002050|600096|600227|600418|600420|600428|600500|600525|600583|600761|600880|600997,,000933,
2006-07-03,20,20,002050|001696|002028|002010|002022|600227|600525|600436|600880|600348|000550|600420|000066|000155|002025|000937|600123|600997|600761|600428,000066|000155|000550|000937|001696|002010|002022|002025|002028|002050|600123|600227|600348|600420|600428|600436|600525|600761|600880|600997,,000912|600096|600583|000069|600500|600418,
2006-08-01,20,20,600276|002028|600525|002050|002022|002010|600436|600880|001696|000731|600348|600227|600829|600420|000937|002025|000550|600596|600997|600809,000550|000731|000937|001696|002010|002022|002025|002028|002050|600227|600276|600348|600420|600436|600525|600596|600809|600829|600880|600997,,000155|600761|600428|000066|600123,
2006-09-01,20,20,002050|002028|600276|002022|002033|001696|002010|600650|600436|000690|600880|600348|600708|000937|600420|600271|600079|600829|600467|600809,000690|000937|001696|002010|002022|002028|002033|002050|600079|600271|600276|600348|600420|600436|600467|600650|600708|600809|600829|600880,,600525|600227|002025|000550|600997|000731|600596,
2006-10-09,20,20,002050|001696|002033|002010|600276|002028|600650|600436|002022|000690|600420|600708|600348|000937|000006|000731|600079|600271|600997|000550,000006|000550|000690|000731|000937|001696|002010|002022|002028|002033|002050|600079|600271|600276|600348|600420|600436|600650|600708|600997,,600880|600829|600809|600467,
