date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,002044|002033|002040|600886|000933|600428,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,002044|002033|002040|000550|600886|000933|600428|600010,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,7,7,002044|002033|002040|000550|600886|000933|600428,000550|000933|002033|002040|002044|600428|600886,,600010,
2006-05-08,10,10,001696|000550|002022|000155|000937|002025|000933|600428|000912|600096,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002044|002033|002040|600886,
2006-06-01,20,20,600525|001696|002050|600761|600227|000155|002022|000550|600880|600436|600420|002025|000937|600997|600583|600428|000069|000983|600096|000912,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600096|600227|600420|600428|600436|600525|600583|600761|600880|600997,,000933,
2006-07-03,20,20,001696|002050|002028|600525|000155|002010|002022|600761|600227|600436|000550|600880|000066|600348|002025|600420|000937|600997|600123|600183,000066|000155|000550|000937|001696|002010|002022|002025|002028|002050|600123|600183|600227|600348|600420|600436|600525|600761|600880|600997,,600428|600096|000912|600583|000069|000983,
2006-08-01,20,20,002028|600276|002050|600525|002022|002010|600829|001696|600436|600880|600227|600420|000731|000550|600761|000155|002025|600809|600348|600596,000155|000550|000731|001696|002010|002022|002025|002028|002050|600227|600276|600348|600420|600436|600525|600596|600761|600809|600829|600880,,000937|600997|000066|600123|600183,
2006-09-01,20,20,600650|002028|002022|002050|600276|002033|600079|001696|002010|600436|600420|600708|000550|600829|000155|000690|600761|600880|600875|600271,000155|000550|000690|001696|002010|002022|002028|002033|002050|600079|600271|600276|600420|600436|600650|600708|600761|600829|600875|600880,,600525|600227|002025|600348|000731|600809|600596,
2006-10-09,20,20,600650|001696|002028|002010|002022|600276|600420|000550|002050|600436|600708|002033|000690|600761|002025|600079|600271|600809|000155|000157,000155|000157|000550|000690|001696|002010|002022|002025|002028|002033|002050|600079|600271|600276|600420|600436|600650|600708|600761|600809,,600829|600880|600875,
