date,code,action,price
2018-01-02,601515,BUY,5.43465168
2018-01-02,603811,BUY,4.6648785
2018-01-02,002233,BUY,7.72701848
2018-01-02,603738,BUY,8.28012141
2018-01-02,603928,BUY,7.63788771
2018-01-02,002091,BUY,6.4145279
2018-01-02,603766,BUY,5.5023689
2018-01-02,601225,BUY,4.95935139
2018-01-02,603737,BUY,8.46780298
2018-01-02,603889,BUY,4.3084575
2018-01-02,002124,BUY,3.78263405
2018-01-02,600750,BUY,8.48088449
2018-01-02,002117,BUY,9.52839836
2018-01-02,000030,BUY,4.15279194
2018-01-02,002108,BUY,7.46925608
2018-01-02,601801,BUY,8.01898398
2018-01-02,300640,BUY,8.60445837
2018-01-02,603866,BUY,9.23194818
2018-01-02,300230,BUY,5.97380346
2018-01-02,002003,BUY,4.44912
2018-02-01,601515,SELL_REBAL,5.1364086
2018-02-01,603811,SELL_REBAL,4.2774405
2018-02-01,002233,SELL_REBAL,7.05429882
2018-02-01,603738,SELL_REBAL,7.42154391
2018-02-01,002091,SELL_REBAL,5.99495235
2018-02-01,603766,SELL_REBAL,5.3289418
2018-02-01,601225,SELL_REBAL,5.68511013
2018-02-01,603737,SELL_REBAL,7.70749368
2018-02-01,600750,SELL_REBAL,8.16944884
2018-02-01,002117,SELL_REBAL,8.01532628
2018-02-01,000030,SELL_REBAL,3.97423209
2018-02-01,002108,SELL_REBAL,6.3738506
2018-02-01,601801,SELL_REBAL,7.55476642
2018-02-01,300640,SELL_REBAL,8.01267069
2018-02-01,300230,SELL_REBAL,5.21564022
2018-02-01,002003,SELL_REBAL,4.3601376
2018-02-01,002749,BUY,6.8547444
2018-02-01,300575,BUY,6.179613
2018-02-01,002837,BUY,3.07832103
2018-02-01,603038,BUY,9.78819415
2018-02-01,603638,BUY,6.09838944
2018-02-01,300451,BUY,3.86206743
2018-02-01,300497,BUY,9.97138824
2018-02-01,300432,BUY,4.55277753
2018-02-01,603568,BUY,6.67212022
2018-02-01,002763,BUY,8.05061754
2018-02-01,002734,BUY,8.52039552
2018-02-01,603298,BUY,6.1712094
2018-02-01,002709,BUY,7.270488
2018-02-01,002615,BUY,6.19682175
2018-02-01,603997,BUY,9.70698368
2018-02-01,002706,BUY,4.808748
2018-03-01,002124,SELL_REBAL,4.34667179
2018-03-01,002749,SELL_REBAL,6.9372654
2018-03-01,002837,SELL_REBAL,3.61264541
2018-03-01,603638,SELL_REBAL,6.87717888
2018-03-01,300451,SELL_REBAL,5.17963498
2018-03-01,300497,SELL_REBAL,11.48266108
2018-03-01,603568,SELL_REBAL,7.01955946
2018-03-01,002763,SELL_REBAL,7.83420309
2018-03-01,002734,SELL_REBAL,8.58876018
2018-03-01,603298,SELL_REBAL,6.0424695
2018-03-01,002709,SELL_REBAL,7.9246584
2018-03-01,002706,SELL_REBAL,4.386928
2018-03-01,000055,BUY,7.48647185
2018-03-01,603987,BUY,7.03623186
2018-03-01,002003,BUY,4.5342336
2018-03-01,603738,BUY,8.56173483
2018-03-01,300647,BUY,5.87716761
2018-03-01,300394,BUY,3.41929588
2018-03-01,600167,BUY,7.25153017
2018-03-01,600750,BUY,8.06126593
2018-03-01,000429,BUY,4.8650965
2018-03-01,600987,BUY,5.58879594
2018-03-01,002648,BUY,5.3289172
2018-03-01,002091,BUY,6.03762105
2018-04-02,300575,SELL_REBAL,6.2198565
2018-04-02,603866,SELL_REBAL,11.53875346
2018-04-02,300432,SELL_REBAL,4.20482863
2018-04-02,603997,SELL_REBAL,11.23262174
2018-04-02,603987,SELL_REBAL,7.55122943
2018-04-02,002003,SELL_REBAL,4.410432
2018-04-02,603738,SELL_REBAL,9.73970316
2018-04-02,300647,SELL_REBAL,8.3538951
2018-04-02,300394,SELL_REBAL,3.57012012
2018-04-02,600167,SELL_REBAL,7.70044867
2018-04-02,600750,SELL_REBAL,8.33991888
2018-04-02,000429,SELL_REBAL,4.89588825
2018-04-02,600987,SELL_REBAL,5.58879594
2018-04-02,002091,SELL_REBAL,5.72471725
2018-04-02,002837,BUY,3.8742771
2018-04-02,002749,BUY,7.44449448
2018-04-02,002793,BUY,9.0474461
2018-04-02,002818,BUY,9.92171466
2018-04-02,002763,BUY,7.69198788
2018-04-02,603298,BUY,6.1338333
2018-04-02,002734,BUY,9.0133407
2018-04-02,300230,BUY,5.57293554
2018-04-02,002709,BUY,8.1866736
2018-04-02,002706,BUY,4.555656
2018-04-02,002335,BUY,9.87450576
2018-04-02,000030,BUY,3.61201068
2018-04-02,002595,BUY,9.90649089
2018-04-02,000036,BUY,4.72916925
2018-05-02,603038,SELL_REBAL,9.57387321
2018-05-02,603928,SELL_REBAL,7.22100495
2018-05-02,603889,SELL_REBAL,3.81818475
2018-05-02,002615,SELL_REBAL,6.1715286
2018-05-02,002648,SELL_REBAL,3.87636586
2018-05-02,002837,SELL_REBAL,3.09942168
2018-05-02,002763,SELL_REBAL,7.6054221
2018-05-02,603298,SELL_REBAL,5.6936259
2018-05-02,002734,SELL_REBAL,9.18605142
2018-05-02,300230,SELL_REBAL,4.76684244
2018-05-02,002706,SELL_REBAL,4.3670145
2018-05-02,002335,SELL_REBAL,8.62982016
2018-05-02,000030,SELL_REBAL,3.66812949
2018-05-02,000036,SELL_REBAL,4.13592435
2018-05-02,603766,BUY,4.73771305
2018-05-02,603730,BUY,4.6855787
2018-05-02,603638,BUY,8.88585984
2018-05-02,002911,BUY,8.17738824
2018-05-02,300015,BUY,7.83340143
2018-05-02,002860,BUY,9.036066
2018-05-02,002867,BUY,8.98310804
2018-05-02,603027,BUY,4.46639507
2018-05-02,603568,BUY,7.94928113
2018-05-02,600167,BUY,7.18568879
2018-05-02,002003,BUY,4.603872
2018-05-02,000429,BUY,4.96978845
2018-05-02,002117,BUY,8.40676434
2018-05-02,000789,BUY,7.0244034
2018-06-01,002818,SELL_REBAL,9.9893904
2018-06-01,000055,SELL_REBAL,5.63478828
2018-06-01,002595,SELL_REBAL,9.34109311
2018-06-01,603638,SELL_REBAL,8.830536
2018-06-01,002911,SELL_REBAL,8.45064255
2018-06-01,300015,SELL_REBAL,8.17203464
2018-06-01,002860,SELL_REBAL,8.484606
2018-06-01,002867,SELL_REBAL,10.6039747
2018-06-01,603568,SELL_REBAL,7.22544938
2018-06-01,600167,SELL_REBAL,7.01980802
2018-06-01,002003,SELL_REBAL,4.777968
2018-06-01,603890,BUY,8.86787
2018-06-01,603912,BUY,8.72096237
2018-06-01,603809,BUY,4.14329135
2018-06-01,300627,BUY,8.01914844
2018-06-01,300231,BUY,7.19980492
2018-06-01,600987,BUY,5.01952308
2018-06-01,002327,BUY,7.29238825
2018-06-01,000672,BUY,5.36890345
2018-06-01,600545,BUY,8.21670455
2018-06-01,601515,BUY,5.09774746
2018-06-01,002233,BUY,7.1863848
2018-07-02,000429,SELL_REBAL,4.5888161
2018-07-02,603766,SELL_REBAL,4.46045264
2018-07-02,603730,SELL_REBAL,3.97301146
2018-07-02,002749,SELL_REBAL,7.42931202
2018-07-02,002793,SELL_REBAL,7.3457321
2018-07-02,603027,SELL_REBAL,5.42842458
2018-07-02,002709,SELL_REBAL,6.5729376
2018-07-02,603890,SELL_REBAL,7.5936971
2018-07-02,300627,SELL_REBAL,7.44013647
2018-07-02,300231,SELL_REBAL,6.32426784
2018-07-02,002327,SELL_REBAL,6.28038335
2018-07-02,000672,SELL_REBAL,5.1612663
2018-07-02,600545,SELL_REBAL,7.6780648
2018-07-02,002923,BUY,9.85961214
2018-07-02,300481,BUY,9.98711395
2018-07-02,000785,BUY,6.66661874
2018-07-02,002215,BUY,5.75003142
2018-07-02,600167,BUY,6.04466644
2018-07-02,600305,BUY,6.4877703
2018-07-02,603568,BUY,8.2292934
2018-07-02,600507,BUY,4.34476552
2018-07-02,002110,BUY,7.02372726
2018-07-02,600161,BUY,8.92243638
2018-07-02,002003,BUY,4.37412245
2018-07-02,002293,BUY,8.49186496
2018-07-02,000848,BUY,7.0953073
2018-08-01,002117,SELL_REBAL,7.47155604
2018-08-01,000789,SELL_REBAL,7.09038848
2018-08-01,601515,SELL_REBAL,4.39632392
2018-08-01,603809,SELL_REBAL,3.42580755
2018-08-01,002923,SELL_REBAL,8.33211189
2018-08-01,300481,SELL_REBAL,10.39860019
2018-08-01,000785,SELL_REBAL,7.02579268
2018-08-01,600167,SELL_REBAL,6.06283678
2018-08-01,600305,SELL_REBAL,7.11353085
2018-08-01,002110,SELL_REBAL,9.25684001
2018-08-01,600161,SELL_REBAL,8.77792461
2018-08-01,002293,SELL_REBAL,7.87458945
2018-08-01,000848,SELL_REBAL,6.34953335
2018-08-01,603181,BUY,5.74582815
2018-08-01,002884,BUY,5.96761344
2018-08-01,002749,BUY,7.5872186
2018-08-01,300677,BUY,7.37853228
2018-08-01,300627,BUY,7.64094987
2018-08-01,002709,BUY,5.2511208
2018-08-01,600750,BUY,7.56041242
2018-08-01,600229,BUY,6.43533312
2018-08-01,002595,BUY,9.84855132
2018-08-01,600545,BUY,7.72687584
2018-08-01,603025,BUY,9.77787141
2018-08-01,600885,BUY,9.65255544
2018-08-01,601216,BUY,2.01054552
2018-09-03,603912,SELL_REBAL,6.4928429
2018-09-03,002003,SELL_REBAL,4.04409884
2018-09-03,600987,SELL_REBAL,4.74231076
2018-09-03,002215,SELL_REBAL,6.77263176
2018-09-03,600507,SELL_REBAL,4.62911976
2018-09-03,002233,SELL_REBAL,8.0989416
2018-09-03,603181,SELL_REBAL,4.99840335
2018-09-03,002884,SELL_REBAL,5.11546725
2018-09-03,300677,SELL_REBAL,5.8657788
2018-09-03,002709,SELL_REBAL,4.0220238
2018-09-03,600750,SELL_REBAL,7.17257915
2018-09-03,600545,SELL_REBAL,7.61901336
2018-09-03,603025,SELL_REBAL,9.85862846
2018-09-03,600885,SELL_REBAL,9.31648968
2018-09-03,601216,SELL_REBAL,1.88337246
2018-09-03,603809,BUY,2.97471625
2018-09-03,603880,BUY,6.7581783
2018-09-03,603027,BUY,3.73592105
2018-09-03,603938,BUY,9.6974592
2018-09-03,300446,BUY,8.99009852
2018-09-03,300497,BUY,9.3380214
2018-09-03,000541,BUY,4.97582488
2018-09-03,002553,BUY,5.5769553
2018-09-03,300428,BUY,9.834415
2018-09-03,000785,BUY,6.56149466
2018-09-03,000789,BUY,6.89771488
2018-09-03,600167,BUY,5.2693986
2018-09-03,601515,BUY,4.3355707
2018-09-03,000848,BUY,6.00104085
2018-09-03,002601,BUY,9.14028072
2018-10-08,002749,SELL_REBAL,6.68021861
2018-10-08,300627,SELL_REBAL,6.72390201
2018-10-08,600229,SELL_REBAL,6.26774632
2018-10-08,002595,SELL_REBAL,7.93662906
2018-10-08,603568,SELL_REBAL,7.510734
2018-10-08,603880,SELL_REBAL,5.76432855
2018-10-08,603027,SELL_REBAL,4.0343173
2018-10-08,603938,SELL_REBAL,8.22768804
2018-10-08,300446,SELL_REBAL,8.2375982
2018-10-08,300497,SELL_REBAL,8.56960656
2018-10-08,002553,SELL_REBAL,5.24941983
2018-10-08,300428,SELL_REBAL,9.27775
2018-10-08,600167,SELL_REBAL,4.74245874
2018-10-08,601515,SELL_REBAL,4.34109372
2018-10-08,002601,SELL_REBAL,8.93806212
2018-10-08,603811,BUY,4.0127022
2018-10-08,603916,BUY,9.42261043
2018-10-08,300481,BUY,9.39560248
2018-10-08,002003,BUY,4.00219108
2018-10-08,600987,BUY,4.32649228
2018-10-08,000921,BUY,6.62406533
2018-10-08,600750,BUY,7.11183418
2018-10-08,601678,BUY,4.35947082
2018-10-08,601636,BUY,2.8827339
2018-10-08,600885,BUY,9.78324768
2018-10-08,002050,BUY,6.98208822
2018-10-08,603928,BUY,7.04889148
2018-10-08,603871,BUY,3.02931915
2018-10-08,603886,BUY,9.73677504
2018-10-08,300715,BUY,8.35380635
2018-11-01,300720,BUY_SKIP_LIMIT_UP,9.32679315
2018-11-01,000785,SELL_REBAL,5.85190712
2018-11-01,000789,SELL_REBAL,6.95826944
2018-11-01,603809,SELL_REBAL,2.9871479
2018-11-01,000541,SELL_REBAL,4.62946016
2018-11-01,000848,SELL_REBAL,5.2831463
2018-11-01,603916,SELL_REBAL,8.67852626
2018-11-01,002003,SELL_REBAL,3.61978277
2018-11-01,600987,SELL_REBAL,4.15323458
2018-11-01,000921,SELL_REBAL,5.36603651
2018-11-01,601678,SELL_REBAL,3.8567883
2018-11-01,601636,SELL_REBAL,2.6799285
2018-11-01,600885,SELL_REBAL,10.1986623
2018-11-01,002050,SELL_REBAL,6.1100001
2018-11-01,603928,SELL_REBAL,6.23942534
2018-11-01,603871,SELL_REBAL,2.75050732
2018-11-01,300715,SELL_REBAL,8.2117504
2018-11-01,300729,BUY,7.86847464
2018-11-01,300701,BUY,8.5114784
2018-11-01,603360,BUY,2.5378299
2018-11-01,603823,BUY,7.12540528
2018-11-01,300590,BUY,7.70201115
2018-11-01,300452,BUY,7.21075774
2018-11-01,002749,BUY,5.78997238
2018-11-01,300595,BUY,9.8514882
2018-11-01,600738,BUY,4.0892067
2018-11-01,002706,BUY,3.59598375
2018-11-01,300703,BUY,8.91336366
2018-11-01,600681,BUY,6.09392924
2018-11-01,300722,BUY,8.14878135
2018-11-01,000708,BUY,3.89935376
2018-11-01,600828,BUY,3.85954965
2018-12-03,603811,SELL_REBAL,3.99843972
2018-12-03,603886,SELL_REBAL,11.18706896
2018-12-03,300481,SELL_REBAL,10.43289071
2018-12-03,600750,SELL_REBAL,7.92020955
2018-12-03,300729,SELL_REBAL,7.53246598
2018-12-03,300701,SELL_REBAL,9.3450768
2018-12-03,603360,SELL_REBAL,2.9225483
2018-12-03,002749,SELL_REBAL,5.93725828
2018-12-03,600738,SELL_REBAL,4.4351164
2018-12-03,002706,SELL_REBAL,3.913467
2018-12-03,300703,SELL_REBAL,8.87775768
2018-12-03,600681,SELL_REBAL,5.7527042
2018-12-03,300722,SELL_REBAL,8.53642857
2018-12-03,000708,SELL_REBAL,3.99270064
2018-12-03,600828,SELL_REBAL,3.96870863
2018-12-03,603617,BUY,6.99623937
2018-12-03,300547,BUY,8.58974018
2018-12-03,300394,BUY,4.9434521
2018-12-03,300446,BUY,8.98439776
2018-12-03,300497,BUY,8.69682756
2018-12-03,603608,BUY,9.64377252
2018-12-03,300428,BUY,9.6674155
2018-12-03,300120,BUY,6.18987096
2018-12-03,300272,BUY,5.05939368
2018-12-03,000785,BUY,6.28992412
2018-12-03,603599,BUY,4.97167828
2018-12-03,300231,BUY,5.9077502
2018-12-03,300230,BUY,4.2070446
2018-12-03,002003,BUY,3.83456004
2018-12-03,002117,BUY,7.52716302
2018-12-03,600987,BUY,4.4304469
2019-01-02,603823,SELL_REBAL,7.6519373
2019-01-02,300452,SELL_REBAL,7.00902205
2019-01-02,603617,SELL_REBAL,5.47256955
2019-01-02,300547,SELL_REBAL,7.67059534
2019-01-02,300394,SELL_REBAL,4.7472092
2019-01-02,300446,SELL_REBAL,8.76776888
2019-01-02,603608,SELL_REBAL,10.23496164
2019-01-02,300428,SELL_REBAL,10.39108
2019-01-02,300120,SELL_REBAL,5.68360065
2019-01-02,300272,SELL_REBAL,4.51934604
2019-01-02,000785,SELL_REBAL,5.64165896
2019-01-02,603599,SELL_REBAL,4.42299264
2019-01-02,300231,SELL_REBAL,5.54223472
2019-01-02,300230,SELL_REBAL,3.90540744
2019-01-02,002003,SELL_REBAL,3.68264441
2019-01-02,002117,SELL_REBAL,7.13791416
2019-01-02,600738,BUY,4.2180128
2019-01-02,300481,BUY,9.10413306
2019-01-02,000055,BUY,3.65671319
2019-01-02,600828,BUY,3.89040926
2019-01-02,600389,BUY,9.32196312
2019-01-02,600750,BUY,7.82208306
2019-01-02,600477,BUY,2.57347514
2019-01-02,603997,BUY,7.09164672
2019-01-02,600167,BUY,5.36630708
2019-01-02,600507,BUY,4.03950288
2019-01-02,600346,BUY,7.8676582
2019-01-02,600801,BUY,8.33767398
2019-01-02,600273,BUY,6.0389049
2019-01-02,600282,BUY,1.97021924
2019-01-02,600409,BUY,4.67158416
2019-01-02,600782,BUY,3.51033726
2019-02-01,600987,SELL_REBAL,4.1581848
2019-02-01,600738,SELL_REBAL,5.7454917
2019-02-01,300481,SELL_REBAL,10.42431808
2019-02-01,000055,SELL_REBAL,4.57315992
2019-02-01,600828,SELL_REBAL,3.80106792
2019-02-01,600389,SELL_REBAL,9.00718119
2019-02-01,600750,SELL_REBAL,8.14449867
2019-02-01,600477,SELL_REBAL,2.58060388
2019-02-01,603997,SELL_REBAL,6.79006896
2019-02-01,600167,SELL_REBAL,6.58977664
2019-02-01,600507,SELL_REBAL,4.66675488
2019-02-01,600346,SELL_REBAL,7.71556964
2019-02-01,600801,SELL_REBAL,9.1375237
2019-02-01,600273,SELL_REBAL,6.16384776
2019-02-01,600282,SELL_REBAL,2.11179188
2019-02-01,600409,SELL_REBAL,4.7291565
2019-02-01,600782,SELL_REBAL,3.8768785
2019-02-01,002818,BUY,8.245952
2019-02-01,002749,BUY,5.86197882
2019-02-01,300394,BUY,5.17520562
2019-02-01,300446,BUY,8.07227616
2019-02-01,002553,BUY,4.8687705
2019-02-01,300623,BUY,6.53052789
2019-02-01,002601,BUY,8.72238591
2019-02-01,300622,BUY,3.93222688
2019-02-01,002833,BUY,9.64046659
2019-02-01,300428,BUY,9.41691625
2019-02-01,300627,BUY,5.46881826
2019-02-01,300452,BUY,7.62457454
2019-02-01,002709,BUY,4.79435
2019-02-01,300120,BUY,6.15166188
2019-02-01,002753,BUY,7.96699743
2019-02-01,002706,BUY,3.6672555
2019-02-01,002677,BUY,8.250698
2019-03-01,300590,SELL_REBAL,11.89245659
2019-03-01,300497,SELL_REBAL,9.3380214
2019-03-01,300595,SELL_REBAL,11.9195487
2019-03-01,002749,SELL_REBAL,6.86352294
2019-03-01,300394,SELL_REBAL,6.2984626
2019-03-01,300446,SELL_REBAL,10.8029402
2019-03-01,300623,SELL_REBAL,8.14382694
2019-03-01,002601,SELL_REBAL,10.04739498
2019-03-01,300622,SELL_REBAL,4.35933162
2019-03-01,300428,SELL_REBAL,10.873523
