date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2022-01-04,20,17,605368|603327|603360|002763|603811|300453|300403|002818|002014|603357|002327|002469|002107|002443|603058|000589|603002|002154|600173|002003,000589|002003|002014|002154|002327|002469|002763|002818|300403|300453|600173|603002|603327|603357|603360|603811|605368,002107|002443|603058,,
2022-02-07,20,18,603327|300622|603360|002763|603811|002469|603058|603357|000026|002443|603002|002154|600571|000011|600295|600012|601515|000429|000848|002532,000011|000026|000429|000848|002154|002469|002532|002763|300622|600295|600571|601515|603002|603058|603327|603357|603360|603811,002443|600012,605368|300453|300403|002818|002014|002327|000589|600173|002003,
2022-03-01,20,20,300932|300938|002818|002469|603058|000026|002443|600173|603002|600727|000011|600295|000429|601568|600452|600012|601515|002532|000717|600273,000011|000026|000429|000717|002443|002469|002532|002818|300932|300938|600012|600173|600273|600295|600452|600727|601515|601568|603002|603058,,603327|603360|002763|603811|603357|002154|300622|600571|000848,
2022-04-01,20,20,605277|300622|605368|300701|300403|300453|002105|002014|300259|603002|300394|002107|600173|002003|600452|002043|600295|002020|601515|600012,002003|002014|002020|002043|002105|002107|300259|300394|300403|300453|300622|300701|600012|600173|600295|600452|601515|603002|605277|605368,,002469|603058|000026|000011|000429|002532|300932|300938|002818|002443|600727|601568|000717|600273,
2022-05-05,20,19,603095|605368|603040|603360|603871|300701|605366|603811|002749|300453|002105|002469|002818|603823|002107|002327|300121|002014|600571|300502,002014|002105|002107|002327|002469|002749|002818|300121|300453|300502|300701|600571|603040|603095|603360|603811|603823|603871|605368,605366,603002|600173|600452|600295|601515|600012|605277|300622|300403|300259|300394|002003|002043|002020,
2022-06-01,20,20,603095|301263|605368|603360|603811|600817|002749|603871|300453|300701|002469|002105|002818|002327|002107|002014|300121|600571|300502|600327,002014|002105|002107|002327|002469|002749|002818|300121|300453|300502|300701|301263|600327|600571|600817|603095|603360|603811|603871|605368,,603040|603823,
2022-07-01,20,19,301016|603095|300371|605368|603811|600817|002774|300453|002553|603871|002749|002818|002105|002469|600113|002327|603823|002107|002014|603327,002014|002105|002107|002327|002469|002749|002774|002818|300371|300453|301016|600113|600817|603095|603327|603811|603823|603871|605368,002553,603360|300701|300121|600571|300502|301263|600327,
2022-08-01,20,20,603095|605368|603811|600817|002774|300453|002818|002105|600113|002327|002749|603871|002469|002107|600571|002014|600327|002016|000949|603327,000949|002014|002016|002105|002107|002327|002469|002749|002774|002818|300453|600113|600327|600571|600817|603095|603327|603811|603871|605368,,301016|300371|603823,
2022-09-01,20,20,600348|688425|603095|603408|603519|600113|603086|603002|603088|600746|600327|603327|601339|600452|600971|000789|600618|000429|600295|601101,000429|000789|600113|600295|600327|600348|600452|600618|600746|600971|601101|601339|603002|603086|603088|603095|603327|603408|603519|688425,,605368|603811|600817|002774|300453|002818|002105|002327|002749|603871|002469|002107|002014|600571|002016|000949,
2022-10-10,20,20,688257|605580|605277|002871|301109|301028|300371|002892|603408|605368|002825|605377|603811|300453|300218|002105|600113|002749|603519|002327,002105|002327|002749|002825|002871|002892|300218|300371|300453|301028|301109|600113|603408|603519|603811|605277|605368|605377|605580|688257,,603095|600327|603327|600348|688425|603086|603002|603088|600746|601339|600452|600971|000789|600618|000429|600295|601101,
2022-11-01,20,20,002871|300997|603408|002825|003006|300218|603519|600113|002105|603600|603002|603088|000529|000731|688425|300993|603565|600746|603327|300765,000529|000731|002105|002825|002871|003006|300218|300765|300993|300997|600113|600746|603002|603088|603327|603408|603519|603565|603600|688425,,688257|605580|605277|301109|301028|300371|002892|605368|605377|603811|300453|002749|002327,
2022-12-01,20,20,301028|605368|603811|603600|600113|603002|300394|603998|603327|300765|002677|002043|000567|601339|002274|600618|002003|600971|601101|600929,000567|002003|002043|002274|002677|300394|300765|301028|600113|600618|600929|600971|601101|601339|603002|603327|603600|603811|603998|605368,,002871|603408|002825|300218|603519|002105|300997|003006|603088|000529|000731|688425|300993|603565|600746,
2023-01-03,20,20,301091|301028|603519|603600|002105|600113|002014|000731|000567|002043|002003|000672|000429|600273|600403|000937|688425|603086|603088|603002,000429|000567|000672|000731|000937|002003|002014|002043|002105|301028|301091|600113|600273|600403|603002|603086|603088|603519|603600|688425,,603327|300765|605368|603811|300394|603998|002677|601339|002274|600618|600971|601101|600929,
2023-02-01,20,20,301091|301028|603408|605368|002825|603811|300453|002615|603519|002105|603600|002327|603086|600113|603002|603998|603088|603565|600746|603871,002105|002327|002615|002825|300453|301028|301091|600113|600746|603002|603086|603088|603408|603519|603565|603600|603811|603871|603998|605368,,000567|002043|002003|002014|000731|000672|000429|600273|600403|000937|688425,
2023-03-01,20,20,605580|605599|605368|002825|300453|603811|002615|603519|002105|603086|603600|002327|603002|600113|603088|600746|603565|603871|603998|603327,002105|002327|002615|002825|300453|600113|600746|603002|603086|603088|603327|603519|603565|603600|603811|603871|603998|605368|605580|605599,,301091|301028|603408,
2023-04-03,20,20,605580|301028|605368|002825|605377|300453|002615|603811|300218|603519|600113|600746|601101|601666|301125|603086|002105|603600|002327|603088,002105|002327|002615|002825|300218|300453|301028|301125|600113|600746|601101|601666|603086|603088|603519|603600|603811|605368|605377|605580,,603002|603565|603871|603998|605599|603327,
2023-05-04,20,20,603095|002825|002615|603811|002105|603086|603600|300453|603088|603002|603551|000529|603327|603565|002677|603067|000731|603871|002014|600790,000529|000731|002014|002105|002615|002677|002825|300453|600790|603002|603067|603086|603088|603095|603327|603551|603565|603600|603811|603871,,605580|605368|603519|600113|600746|002327|301028|605377|300218|601101|601666|301125,
2023-06-01,20,20,002825|002615|605368|603811|603086|605006|002105|603600|300453|603002|603088|000529|300121|603871|603551|002677|603067|000731|002014|603327,000529|000731|002014|002105|002615|002677|002825|300121|300453|603002|603067|603086|603088|603327|603551|603600|603811|603871|605006|605368,,603095|603565|600790,
2023-07-03,20,20,301379|603360|002836|603095|002615|605368|605006|300453|603600|603811|603086|603002|603088|000529|300121|002677|603067|002014|603227|603871,000529|002014|002615|002677|002836|300121|300453|301379|603002|603067|603086|603088|603095|603227|603360|603600|603811|603871|605006|605368,,002825|002105|603551|000731|603327,
2023-08-01,20,20,603095|002836|002615|603360|605368|002825|605006|300453|603811|603600|603086|603088|603002|300121|000529|002677|603551|603998|603067|603676,000529|002615|002677|002825|002836|300121|300453|603002|603067|603086|603088|603095|603360|603551|603600|603676|603811|603998|605006|605368,,002014|603871|301379|603227,
2023-09-01,20,20,603095|002836|603360|605368|003000|300453|603811|603600|300121|603998|002677|000529|603088|603551|002478|603676|300507|002014|603327|300181,000529|002014|002478|002677|002836|003000|300121|300181|300453|300507|603088|603095|603327|603360|603551|603600|603676|603811|603998|605368,,002615|605006|603086|603002|603067|002825,
2023-10-09,20,20,002871|002836|603095|603360|605368|003000|300453|603811|603600|300575|000529|603551|002677|300121|603088|002478|603676|603998|300507|002022,000529|002022|002478|002677|002836|002871|003000|300121|300453|300507|300575|603088|603095|603360|603551|603600|603676|603811|603998|605368,,002014|603327|300181,
