ym,ic_quality,ic_raw,ic_raw_microcap,n_quality,n_raw,n_microcap
2006-01,,0.0976852432547846,-0.06358580391745024,7,1068,214
2006-02,,0.04217903787436737,0.10478177352189812,8,1068,214
2006-03,,-0.040792425169305264,0.14324956669471461,10,1065,213
2006-04,,0.056593732999817084,-0.03994097961491229,11,1054,211
2006-05,0.19076923076923075,0.04852771534768484,-0.03075373107800115,25,1047,210
2006-06,0.13745173745173747,0.06244895926852205,-0.012034223246825891,36,1071,215
2006-07,0.12049500651324359,-0.023853715664068978,-0.10298699851001711,48,1068,214
2006-08,-0.04244702665755298,0.09114293334214808,0.05962299805453381,56,1074,215
2006-09,0.23451811346548188,0.14292498443987806,0.03196966643269537,56,1086,218
2006-10,-0.062253535937746456,0.047423666328651644,-0.007544078533417297,77,1095,219
2006-11,0.14997749051385945,0.03278391849421676,0.0979198168293498,72,1104,221
2006-12,-0.026911478413558804,-0.023011701902656487,0.06634526847936012,68,1122,225
2007-01,0.1579587519830777,0.08123158493207673,0.07876278940785791,61,1116,224
2007-02,-0.049035651665692584,0.06202646003703063,-0.03921951740337391,59,1120,224
2007-03,0.18291909042834475,0.05704525539643153,0.11815907427225703,61,1139,228
2007-04,0.047907316564032985,0.05381552378217168,0.006288795699745514,66,1168,234
2007-05,-0.006841046277665996,0.1719456115246782,0.129158519475588,70,1146,230
2007-06,0.17327166504381694,0.10155070335957075,0.17212181318641742,79,1157,232
2007-07,-0.0668937430581266,0.07789976178097627,0.1251108764128061,74,1159,232
2007-08,0.035175350964824645,0.02505991034670775,-0.057717177204332636,77,1177,236
2007-09,0.011970874984573616,0.1047301557408861,0.09871292484974131,73,1187,238
2007-10,0.1916500691111329,0.14171630049034165,0.1302379258996101,82,1189,238
2007-11,-0.19362452523060228,0.010431409027236587,-0.06450527438414673,96,1203,241
2007-12,0.19070802615106408,0.05065723766060164,0.051079164919969236,78,1220,244
2008-01,0.15011719205007604,0.024992589820626514,0.18297577017035324,84,1235,247
2008-02,0.0005355404089581305,0.11996529764344863,0.0974471186589842,79,1234,247
2008-03,0.12054005400540053,0.022633488115168843,0.17520467136929588,100,1237,248
2008-04,0.10577524893314368,0.009325235857361494,-0.001699967741822951,75,1243,249
2008-05,-0.022183357879234162,0.09001247150463966,0.12630224443839552,97,1259,252
2008-06,0.019702615298087738,0.07443510925247036,0.07138577231781466,127,1287,258
2008-07,0.09300855518416423,0.1587298900092239,0.041592936331581835,136,1303,261
2008-08,-0.0548885265722608,0.026989435790027896,0.10196137985029799,170,1305,261
2008-09,-0.01514637904468413,0.12733916699354556,-0.0027402289054240443,176,1314,263
2008-10,0.01283229043395695,0.05928640990545876,0.13573931275919207,182,1314,263
2008-11,0.0852278230244332,0.1017799547574587,-0.004748234872711187,176,1315,263
2008-12,0.03835191113182155,0.039287704651925666,0.11522397039296028,174,1324,265
2009-01,0.05666676134219839,0.007720647292161673,0.12914924397698735,163,1323,265
2009-02,0.03294807659134035,0.052218776534277,-0.047544904796389925,154,1329,266
2009-03,0.059512857535033145,0.15166243865472873,-0.009845050910887302,142,1328,266
2009-04,-0.03200574666773087,-0.013068796754689043,-0.10385604326188658,67,1330,266
2009-05,-0.20542798371185086,0.08905894835181256,-0.07219851819705633,83,1322,265
2009-06,0.1168673012318029,0.10503876701441531,0.16381830617751492,95,1329,266
2009-07,-0.047690928817397046,0.02113185024176723,-0.015163054374154404,86,1334,267
2009-08,0.025691806836679328,0.09357635008431682,0.09568890102703984,96,1342,269
2009-09,0.13345464725643896,0.02987636719381311,0.10778211369702578,95,1356,272
2009-10,-0.10601443464314354,0.0514783546637521,0.03322778913896037,86,1385,277
2009-11,0.20033522228430045,0.10281748228911851,0.18511421277724366,67,1394,279
2009-12,0.06141924647860442,-0.00382012981274736,-0.006920460543296139,68,1419,284
2010-01,0.05385647216633132,-0.018755510013427644,-0.10952485801832076,71,1450,290
2010-02,0.0634128821134967,0.14132749164573966,0.09650639916983744,67,1475,295
2010-03,0.04469740819345296,-0.049551150774227865,0.13096874996906088,72,1501,301
2010-04,0.14948927477017365,-0.021605012848265638,-0.0022741645691036006,89,1530,306
2010-05,0.2637590125240227,0.15468891775027616,0.036920609863262906,123,1550,310
2010-06,0.08064353221268308,-0.0370885110013773,0.10318240978565094,166,1572,315
2010-07,-0.040794497924529355,-0.11685591743689443,0.07931256284379251,163,1592,319
2010-08,-0.22336185436589445,-0.15594227944212696,0.11477653409541955,164,1616,324
2010-09,0.05850056009600316,0.08730721868437748,0.030680138143016587,174,1646,330
2010-10,-0.029780675335719098,0.07918267718912611,0.011656599421346598,168,1661,333
