date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,20,20,600340|600703|600570|600446|600490|600845|600711|002030|600252|600617|600518|002003|600346|600794|600109|600499|600577|600575|000516|600988,000516|002003|002030|600109|600252|600340|600346|600446|600490|600499|600518|600570|600575|600577|600617|600703|600711|600794|600845|600988,,,
2006-03-01,20,20,600570|600703|600845|600490|002030|600711|002003|600252|600617|600518|600346|600499|600109|600794|000516|600575|600577|600478|600435|600255,000516|002003|002030|600109|600252|600255|600346|600435|600478|600490|600499|600518|600570|600575|600577|600617|600703|600711|600794|600845,,600340|600446|600988,
2006-04-03,20,20,600703|600570|600845|600490|002030|600252|002003|600617|600346|600518|600109|600575|600988|600516|600478|600255|600527|000703|600353|002020,000703|002003|002020|002030|600109|600252|600255|600346|600353|600478|600490|600516|600518|600527|600570|600575|600617|600703|600845|600988,,600711|600499|600794|000516|600577|600435,
2006-05-08,20,19,600703|600570|002003|600617|600252|002030|600109|600346|600446|600516|600518|600988|600353|000703|600551|600478|600559|600157|002014|000591,000703|002003|002014|002030|600109|600157|600252|600346|600353|600446|600478|600516|600518|600551|600559|600570|600617|600703|600988,000591,600845|600490|600575|600255|600527|002020,
2006-06-01,20,20,600703|600570|002003|600617|600446|600516|600109|600252|600988|002030|600527|600353|600577|002014|000703|600518|002004|002035|600499|600478,000703|002003|002004|002014|002030|002035|600109|600252|600353|600446|600478|600499|600516|600518|600527|600570|600577|600617|600703|600988,,600346|600551|600559|600157,
2006-07-03,20,20,600711|600703|600340|002003|600109|600490|600252|600516|600845|600570|600988|600446|002030|000703|600353|002050|600478|002004|002014|600527,000703|002003|002004|002014|002030|002050|600109|600252|600340|600353|600446|600478|600490|600516|600527|600570|600703|600711|600845|600988,,600617|600518|600577|002035|600499,
2006-08-01,20,20,600703|600845|002003|600252|600109|600570|600516|600490|002030|600988|600340|002004|000703|600353|600346|600575|600478|002050|600157|002014,000703|002003|002004|002014|002030|002050|600109|600157|600252|600340|600346|600353|600478|600490|600516|600570|600575|600703|600845|600988,,600446|600527|600711,
2006-09-01,20,20,600703|002003|600252|600516|600988|600340|002030|002004|600490|600157|002050|600575|600346|002014|600353|002042|600577|002038|600527|002035,002003|002004|002014|002030|002035|002038|002042|002050|600157|600252|600340|600346|600353|600490|600516|600527|600575|600577|600703|600988,,600845|600109|600570|000703|600478,
2006-10-09,20,20,600703|600845|600340|002003|002030|600490|600988|002004|600516|600478|600575|002050|600346|600157|002042|002038|600572|000516|600577|600452,000516|002003|002004|002030|002038|002042|002050|600157|600340|600346|600452|600478|600490|600516|600572|600575|600577|600703|600845|600988,,600252|002014|600353|600527|002035,
