variant,ma,q3z,floor,full_ann,full_mdd,full_sharpe,full_calmar,lock_ann,lock_mdd,lock_sharpe,lock_calmar
MA15_off_f0,15,off,f0,0.2032,-0.3801,0.992,0.5347,0.1988,-0.3801,0.9625,0.5231
MA15_off_f10,15,off,f10,0.2105,-0.4285,1.0169,0.4913,0.2072,-0.4285,0.991,0.4834
MA15_off_f18,15,off,f18,0.216,-0.4652,1.0291,0.4644,0.2134,-0.4652,1.006,0.4588
MA15_off_f30,15,off,f30,0.2236,-0.5167,1.0352,0.4328,0.2222,-0.5167,1.0159,0.43
MA20_off_f0,20,off,f0,0.2043,-0.4338,0.9644,0.471,0.1994,-0.4338,0.9327,0.4595
MA20_off_f10,20,off,f10,0.2113,-0.4306,0.9876,0.4907,0.2074,-0.4306,0.9596,0.4816
MA20_off_f18,20,off,f18,0.2166,-0.4653,1.0,0.4655,0.2135,-0.4653,0.9747,0.4589
MA20_off_f30,20,off,f30,0.2239,-0.5167,1.0082,0.4333,0.222,-0.5167,0.9871,0.4296
MA50_off_f0,50,off,f0,0.1871,-0.3913,0.9266,0.4781,0.194,-0.3913,0.9434,0.4959
MA50_off_f10,50,off,f10,0.1959,-0.3872,0.9582,0.506,0.2028,-0.3872,0.9739,0.5239
MA50_off_f18,50,off,f18,0.2026,-0.3847,0.9762,0.5267,0.2095,-0.3847,0.9906,0.5446
MA50_off_f30,50,off,f30,0.2121,-0.451,0.9912,0.4702,0.2188,-0.451,1.0031,0.4851
MA100_off_f0,100,off,f0,0.1837,-0.4324,0.8735,0.4248,0.1889,-0.4324,0.8818,0.4369
MA100_off_f10,100,off,f10,0.1925,-0.4243,0.9043,0.4537,0.1979,-0.4243,0.9121,0.4663
MA100_off_f18,100,off,f18,0.1993,-0.4223,0.9236,0.4719,0.2047,-0.4223,0.9307,0.4846
MA100_off_f30,100,off,f30,0.2089,-0.4511,0.9433,0.4631,0.2143,-0.4511,0.9491,0.4751
MA200_off_f0,200,off,f0,0.2307,-0.4468,1.0003,0.5162,0.2406,-0.4468,1.0196,0.5384
MA200_off_f10,200,off,f10,0.2347,-0.4394,1.0117,0.5341,0.2442,-0.4394,1.0293,0.5558
MA200_off_f18,200,off,f18,0.2376,-0.4336,1.0165,0.5479,0.2468,-0.4336,1.0325,0.5692
MA200_off_f30,200,off,f30,0.2414,-0.4534,1.0167,0.5324,0.2501,-0.4534,1.03,0.5515
MA15_on_f0,15,on,f0,0.1448,-0.2467,1.0453,0.5871,0.1463,-0.2467,1.0412,0.5931
MA15_on_f10,15,on,f10,0.1448,-0.2467,1.0453,0.5871,0.1463,-0.2467,1.0412,0.5931
MA15_on_f18,15,on,f18,0.145,-0.2583,1.0429,0.5613,0.1465,-0.2583,1.0386,0.5672
MA15_on_f30,15,on,f30,0.1479,-0.3119,1.0365,0.4741,0.1497,-0.3119,1.0324,0.48
MA20_on_f0,20,on,f0,0.1447,-0.2467,1.0341,0.5863,0.1458,-0.2467,1.0284,0.5909
MA20_on_f10,20,on,f10,0.1447,-0.2467,1.0341,0.5863,0.1458,-0.2467,1.0284,0.5909
MA20_on_f18,20,on,f18,0.1448,-0.2584,1.0314,0.5606,0.146,-0.2584,1.0255,0.5651
MA20_on_f30,20,on,f30,0.1478,-0.3119,1.0249,0.4738,0.1493,-0.3119,1.0193,0.4786
MA50_on_f0,50,on,f0,0.1366,-0.2712,0.9768,0.5037,0.1399,-0.2712,0.9875,0.516
MA50_on_f10,50,on,f10,0.1366,-0.2712,0.9768,0.5037,0.1399,-0.2712,0.9875,0.516
MA50_on_f18,50,on,f18,0.1369,-0.2712,0.9759,0.5049,0.1403,-0.2712,0.9865,0.5173
MA50_on_f30,50,on,f30,0.1404,-0.2976,0.9759,0.4716,0.1442,-0.2976,0.9868,0.4844
MA100_on_f0,100,on,f0,0.1406,-0.2734,0.9615,0.5142,0.144,-0.2734,0.9697,0.5268
MA100_on_f10,100,on,f10,0.1406,-0.2734,0.9615,0.5142,0.144,-0.2734,0.9697,0.5268
MA100_on_f18,100,on,f18,0.1407,-0.2734,0.9601,0.5148,0.1442,-0.2734,0.9681,0.5274
MA100_on_f30,100,on,f30,0.1434,-0.2977,0.9581,0.4817,0.1472,-0.2977,0.9663,0.4944
MA200_on_f0,200,on,f0,0.1494,-0.2734,0.9889,0.5465,0.1537,-0.2734,1.0011,0.5624
MA200_on_f10,200,on,f10,0.1494,-0.2734,0.9889,0.5465,0.1537,-0.2734,1.0011,0.5624
MA200_on_f18,200,on,f18,0.1496,-0.2734,0.9873,0.5472,0.1539,-0.2734,0.9993,0.5631
MA200_on_f30,200,on,f30,0.1527,-0.298,0.9861,0.5124,0.1574,-0.298,0.9983,0.5283
