date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,4,4,002033|600886|000933|600428,000933|002033|600428|600886,,,
2006-03-01,6,6,002033|000550|600886|000933|600428|600010,000550|000933|002033|600010|600428|600886,,,
2006-04-03,6,6,002033|000550|002040|600886|000933|600428,000550|000933|002033|002040|600428|600886,,600010,
2006-05-08,10,10,001696|000550|002022|000937|000155|002025|000933|600428|000912|600096,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002033|600886|002040,
2006-06-01,20,20,600525|001696|600227|000550|000937|002022|600880|002025|600420|600761|000155|600428|600997|600583|600096|000912|600500|000069|000983|600418,000069|000155|000550|000912|000937|000983|001696|002022|002025|600096|600227|600418|600420|600428|600500|600525|600583|600761|600880|600997,,000933,
2006-07-03,20,20,002050|600348|001696|002028|600525|002010|600227|000937|000550|002022|600436|600123|600880|002025|600997|000066|600428|000155|600420|600761,000066|000155|000550|000937|001696|002010|002022|002025|002028|002050|600123|600227|600348|600420|600428|600436|600525|600761|600880|600997,,600096|000912|600583|600500|000069|000983|600418,
2006-08-01,20,20,002050|600348|600276|600525|002028|000937|001696|002010|002022|600436|600227|000550|000731|600880|002025|600829|600123|600997|600012|000933,000550|000731|000933|000937|001696|002010|002022|002025|002028|002050|600012|600123|600227|600276|600348|600436|600525|600829|600880|600997,,600428|000155|600420|600761|000066,
2006-09-01,20,20,002050|600348|000157|600276|001696|002028|000937|600650|002033|000690|002010|002022|600467|600271|600436|600708|000550|600875|600497|600012,000157|000550|000690|000937|001696|002010|002022|002028|002033|002050|600012|600271|600276|600348|600436|600467|600497|600650|600708|600875,,600525|600227|600880|002025|600123|600997|000731|600829|000933,
2006-10-09,20,20,002050|600348|000157|600276|001696|000937|600650|000690|002028|002033|000006|002010|600436|000550|600708|002022|600497|600123|600997|600271,000006|000157|000550|000690|000937|001696|002010|002022|002028|002033|002050|600123|600271|600276|600348|600436|600497|600650|600708|600997,,600012|600467|600875,
2006-11-01,20,20,600845|002003|002050|600348|600525|600276|600518|000157|600725|002033|002028|000937|600439|002049|002010|600650|000690|600227|600517|600150,000157|000690|000937|002003|002010|002028|002033|002049|002050|600150|600227|600276|600348|600439|600517|600518|600525|600650|600725|600845,,001696|600436|000550|600708|002022|600497|600271|000006|600123|600997,
2006-12-01,20,20,002003|002050|600348|600525|600276|000157|600518|000937|600725|002028|000690|002010|002049|600650|002033|600439|600227|600517|600708|600436,000157|000690|000937|002003|002010|002028|002033|002049|002050|600227|600276|600348|600436|600439|600517|600518|600525|600650|600708|600725,,600845|600150,
2007-01-04,20,20,002003|002050|600348|600518|600276|600725|000937|600650|002028|600525|000157|002033|002049|600227|600497|600517|002010|600436|600708|600880,000157|000937|002003|002010|002028|002033|002049|002050|600227|600276|600348|600436|600497|600517|600518|600525|600650|600708|600725|600880,,000690|600439,
2007-02-01,20,20,002003|002050|600348|600518|600276|000157|000937|600650|002049|600725|600525|002033|600497|600517|600439|002010|002028|600227|002046|600436,000157|000937|002003|002010|002028|002033|002046|002049|002050|600227|600276|600348|600436|600439|600497|600517|600518|600525|600650|600725,,600708|600880,
2007-03-01,20,20,002003|002050|600348|600518|600276|002049|600525|000157|002033|600725|600497|600517|600436|000937|002010|002028|002046|600439|000006|600271,000006|000157|000937|002003|002010|002028|002033|002046|002049|002050|600271|600276|600348|600436|600439|600497|600517|600518|600525|600725,,600650|600227,
2007-04-02,20,20,002003|002050|600348|600276|000157|600525|002049|002033|600725|600497|002028|000937|600436|002010|600271|600439|002046|000006|600227|000987,000006|000157|000937|000987|002003|002010|002028|002033|002046|002049|002050|600227|600271|600276|600348|600436|600439|600497|600525|600725,,600518|600517,
2007-05-08,20,20,002003|002004|600993|600348|600971|600276|600547|002038|600527|002028|002033|002029|600271|000987|600517|600227|600880|600439|600489|000157,000157|000987|002003|002004|002028|002029|002033|002038|600227|600271|600276|600348|600439|600489|600517|600527|600547|600880|600971|600993,,002050|600525|002049|600725|600497|000937|600436|002010|002046|000006,
2007-06-01,20,20,002003|600993|600547|002033|600348|002038|600527|600276|600971|002028|600227|600436|000987|002029|600489|002036|600497|600231|600439|000903,000903|000987|002003|002028|002029|002033|002036|002038|600227|600231|600276|600348|600436|600439|600489|600497|600527|600547|600971|600993,,600271|000157|002004|600517|600880,
2007-07-02,20,20,002003|600993|002033|600971|002051|002038|600527|600547|600227|002029|600436|600231|002036|600276|600880|000987|600517|000937|600439|600123,000937|000987|002003|002029|002033|002036|002038|002051|600123|600227|600231|600276|600436|600439|600517|600527|600547|600880|600971|600993,,600348|002028|600489|600497|000903,
