date,code,action,price
2006-02-06,600340,BUY,0.22445409
2006-02-06,600845,BUY,1.123573
2006-02-06,600518,BUY,0.39345891
2006-02-06,600570,BUY,0.29327004
2006-02-06,600516,BUY,0.28698288
2006-02-06,600252,BUY,0.16351192
2006-02-06,600446,BUY,0.75133123
2006-02-06,600490,BUY,0.44036642
2006-02-06,600039,BUY,0.2689344
2006-02-06,600575,BUY,0.50393434
2006-02-06,600703,BUY,0.1864772
2006-02-06,600499,BUY,0.58284364
2006-02-06,600435,BUY,0.6238552
2006-02-06,600377,BUY,2.45851888
2006-02-06,600166,BUY,0.38055696
2006-02-06,600255,BUY,0.87120852
2006-02-06,600346,BUY,0.51122104
2006-02-06,000516,BUY,0.5649605
2006-02-06,600276,BUY,0.5627715
2006-02-06,600588,BUY,1.3421925
2006-03-01,600340,SELL_REBAL,0.21988505
2006-03-01,600446,SELL_REBAL,0.75540128
2006-03-01,600377,SELL_REBAL,2.41333936
2006-03-01,600166,SELL_REBAL,0.39372088
2006-03-01,600588,SELL_REBAL,0.87413337
2006-03-01,600031,BUY,0.3249909
2006-03-01,600577,BUY,0.60572304
2006-03-01,002030,BUY,0.3917523
2006-03-01,000157,BUY,0.3748794
2006-03-01,600546,BUY,0.86647225
2006-04-03,600499,SELL_REBAL,0.5688965
2006-04-03,600435,SELL_REBAL,0.6099476
2006-04-03,000516,SELL_REBAL,0.42502413
2006-04-03,600031,SELL_REBAL,0.4111587
2006-04-03,600577,SELL_REBAL,0.59863856
2006-04-03,000157,SELL_REBAL,0.50442956
2006-04-03,002003,BUY,0.41652478
2006-04-03,600502,BUY,0.39441145
2006-04-03,600353,BUY,0.5630598
2006-04-03,600568,BUY,0.51366912
2006-04-03,600617,BUY,2.00167748
2006-04-03,002001,BUY,0.4455574
2006-05-08,600845,SELL_REBAL,1.36001184
2006-05-08,600575,SELL_REBAL,0.51091404
2006-05-08,600490,SELL_REBAL,0.49563508
2006-05-08,600255,SELL_REBAL,1.01608143
2006-05-08,600546,SELL_REBAL,1.349138
2006-05-08,600276,SELL_REBAL,0.84930804
2006-05-08,600502,SELL_REBAL,0.56715368
2006-05-08,600617,SELL_REBAL,1.8913488
2006-05-08,600208,BUY,0.7990848
2006-05-08,600446,BUY,0.6105075
2006-05-08,600801,BUY,0.7570922
2006-05-08,600572,BUY,0.51793776
2006-05-08,600109,BUY,0.4937592
2006-05-08,002004,BUY,0.5532533
2006-05-08,002014,BUY,0.70546719
2006-05-08,600577,BUY,0.52336596
2006-06-01,600346,SELL_REBAL,0.66675763
2006-06-01,002030,SELL_REBAL,0.60827764
2006-06-01,600568,SELL_REBAL,0.82494144
2006-06-01,600109,SELL_REBAL,0.7518606
2006-06-01,600499,BUY,0.6092698
2006-06-01,600452,BUY,0.47082384
2006-06-01,600377,BUY,2.06696304
2006-06-01,600527,BUY,0.36842426
2006-07-03,600518,SELL_REBAL,0.54123209
2006-07-03,002001,SELL_REBAL,0.55917612
2006-07-03,600039,SELL_REBAL,0.4842768
2006-07-03,600577,SELL_REBAL,0.6818812
2006-07-03,600499,SELL_REBAL,0.62764974
2006-07-03,600527,SELL_REBAL,0.39567406
2006-07-03,600340,BUY,0.28899178
2006-07-03,600711,BUY,0.907695
2006-07-03,600490,BUY,0.51902558
2006-07-03,000516,BUY,0.52324034
2006-07-03,600568,BUY,0.77189952
2006-07-03,002038,BUY,0.9732754
2006-08-01,600446,SELL_REBAL,1.43428562
2006-08-01,600711,SELL_REBAL,0.8713872
2006-08-01,000516,SELL_REBAL,0.55552827
2006-08-01,600568,SELL_REBAL,0.74258688
2006-08-01,600845,BUY,1.04345736
2006-08-01,600575,BUY,0.4413117
2006-08-01,002030,BUY,0.51783
2006-08-01,600841,BUY,3.97029266
2006-09-01,600570,SELL_REBAL,0.50656983
2006-09-01,002038,SELL_REBAL,1.02371522
2006-09-01,600845,SELL_REBAL,1.09719346
2006-09-01,600841,SELL_REBAL,4.32488688
2006-09-01,600039,BUY,0.4540704
2006-09-01,600157,BUY,0.48048
2006-09-01,600577,BUY,0.64435404
2006-09-01,600346,BUY,0.50857642
2006-10-09,600252,SELL_REBAL,0.2915772
2006-10-09,002014,SELL_REBAL,0.90266056
2006-10-09,600353,SELL_REBAL,0.8172567
2006-10-09,600157,SELL_REBAL,0.55536
2006-10-09,600577,SELL_REBAL,0.64651268
2006-10-09,600845,BUY,1.06885988
2006-10-09,600188,BUY,1.42198455
2006-10-09,600170,BUY,0.47177984
2006-10-09,000516,BUY,0.5670464
2006-10-09,600478,BUY,0.90212417
2006-11-01,600516,SELL_REBAL,0.46645056
2006-11-01,600039,SELL_REBAL,0.448224
2006-11-01,600170,SELL_REBAL,0.5054784
2006-11-01,600157,BUY,0.50466
