date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2015-01-05,20,18,002419|600582|600335|600841|002294|002416|002574|600548|600246|601801|001914|002309|600724|600983|000921|000786|600322|000965|002242|002129,000786|000921|000965|001914|002129|002242|002294|002309|002416|002419|002574|600322|600548|600582|600724|600841|600983|601801,600335|600246,,
2015-02-02,20,20,600724|000932|600997|600183|600096|000786|600548|600743|600582|000759|000531|600206|600020|002309|000965|601003|000029|002416|000543|600569,000029|000531|000543|000759|000786|000932|000965|002309|002416|600020|600096|600183|600206|600548|600569|600582|600724|600743|600997|601003,,002419|600841|002294|002574|601801|001914|600983|000921|600322|002242|002129,
2015-03-02,20,20,600548|600582|600743|000543|600020|000531|601101|600033|000759|600859|000965|601107|600780|000932|600004|600720|000422|600223|000042|600580,000042|000422|000531|000543|000759|000932|000965|600004|600020|600033|600223|600548|600580|600582|600720|600743|600780|600859|601101|601107,,600724|000786|002309|002416|600997|600183|600096|600206|601003|000029|600569,
2015-04-01,20,19,600548|600582|600724|603993|600859|002242|000932|601003|000921|600004|600335|601107|000786|600580|600638|000525|600510|600269|002430|601233,000525|000786|000921|000932|002430|600004|600269|600335|600510|600548|600580|600582|600638|600724|600859|601003|601107|601233|603993,002242,600743|000543|600020|000531|000759|000965|601101|600033|600780|600720|000422|600223|000042,
2015-05-04,20,20,600548|600829|601801|600335|000525|600004|603993|002430|600582|600510|000550|600329|002275|601003|600780|600859|600694|600743|600724|000850,000525|000550|000850|002275|002430|600004|600329|600335|600510|600548|600582|600694|600724|600743|600780|600829|600859|601003|601801|603993,,000932|601107|600580|000921|000786|600638|600269|601233,
2015-06-01,20,18,000550|600004|600780|600299|600188|600510|600012|600007|000828|000028|600612|600398|600623|000596|601107|600594|002430|600578|002128|600864,000028|000550|000596|000828|002430|600004|600007|600012|600299|600398|600510|600578|600594|600612|600623|600780|600864|601107,600188|002128,600548|600335|000525|603993|600582|601003|600859|600724|600829|601801|600329|002275|600694|600743|000850,
2015-07-01,20,20,600012|000600|601801|600299|000028|601107|600829|600780|600007|000550|600998|601965|000860|600004|600510|600657|600754|002267|601567|600188,000028|000550|000600|000860|002267|600004|600007|600012|600188|600299|600510|600657|600754|600780|600829|600998|601107|601567|601801|601965,,002430|000828|600612|600398|600623|000596|600594|600578|600864,
2015-08-03,20,20,601107|600623|600188|000550|601801|600657|600743|600569|000600|600004|601965|002275|600007|600998|601666|600639|600062|600612|601717|000828,000550|000600|000828|002275|600004|600007|600062|600188|600569|600612|600623|600639|600657|600743|600998|601107|601666|601717|601801|601965,,600012|600299|000028|600780|600510|600829|000860|600754|002267|601567,
2015-09-01,20,20,600188|600623|601107|600348|600062|601965|000600|600569|000042|603366|600780|000937|600004|600657|600509|601225|600757|002672|600039|601717,000042|000600|000937|002672|600004|600039|600062|600188|600348|600509|600569|600623|600657|600757|600780|601107|601225|601717|601965|603366,,000550|601801|600007|600998|600743|002275|601666|600639|600612|000828,
2015-10-08,20,19,600062|600012|000937|600780|600033|002275|000012|002128|600578|002508|600859|600004|000860|000828|000685|600059|601515|603001|600329|002267,000012|000685|000828|000860|000937|002128|002267|002275|002508|600004|600012|600033|600059|600062|600578|600780|600859|601515|603001,600329,600188|600623|601107|601965|000600|600569|600657|601717|600348|000042|603366|600509|601225|600757|002672|600039,
2015-11-02,20,20,600299|000550|000600|600578|600657|600004|002128|000828|000860|000042|603001|601515|600012|000963|600020|600269|002475|601126|600748|600998,000042|000550|000600|000828|000860|000963|002128|002475|600004|600012|600020|600269|600299|600578|600657|600748|600998|601126|601515|603001,,600062|000937|600780|600033|002275|000012|002508|600859|000685|600059|002267,
2015-12-01,20,20,000550|600548|000600|600004|600012|000042|603001|600826|600398|000596|601992|000910|600007|000999|002249|002422|600657|600201|600809|002254,000042|000550|000596|000600|000910|000999|002249|002254|002422|600004|600007|600012|600201|600398|600548|600657|600809|600826|601992|603001,,600578|002128|000828|000860|601515|600299|000963|600020|600269|002475|601126|600748|600998,
2016-01-04,20,20,600548|000550|000600|600717|000767|600269|600657|600004|000828|600623|002493|600012|601107|600166|002128|601369|600612|002267|002122|000027,000027|000550|000600|000767|000828|002122|002128|002267|002493|600004|600012|600166|600269|600548|600612|600623|600657|600717|601107|601369,,000042|603001|600826|600398|000596|601992|000910|600007|000999|002249|002422|600201|600809|002254,
2016-02-01,20,20,600548|002032|000828|000550|002493|002557|300408|600757|600269|600246|600188|601107|600033|601801|600998|600743|600748|601233|600004|600639,000550|000828|002032|002493|002557|300408|600004|600033|600188|600246|600269|600548|600639|600743|600748|600757|600998|601107|601233|601801,,000600|600657|600012|600717|000767|600623|600166|002128|601369|600612|002267|002122|000027,
