date,code,action,shares,price,cost
2026-08-14,300824,buy,900,7.74,7.74
2026-08-14,2107,buy,1200,6.41,6.41
2026-08-14,603551,buy,800,9.4,9.4
2026-08-14,848,buy,900,8.32,8.32
2026-08-14,300009,buy,800,8.95,8.95
2026-08-14,600867,buy,900,8.57,8.57
2026-08-14,2027,buy,1500,5.08,5.08
2026-08-14,601600,buy,800,9.26,9.26
2026-09-01,002027,sell,1500,4.96,5.08
2026-09-01,300824,sell,900,8.0,7.74
2026-09-01,600867,sell,900,8.21,8.57
2026-09-01,603551,sell,800,9.51,9.4
2026-09-01,300009,sell,800,8.55,8.95
2026-09-01,002107,sell,1200,7.37,6.41
2026-09-01,000848,sell,900,8.42,8.32
2026-09-01,601600,sell,800,9.79,9.26
2026-09-01,603075,buy,100,19.48,19.48
2026-09-01,301170,buy,100,23.16,23.16
2026-09-01,301386,buy,100,20.59,20.59
2026-09-01,603205,buy,100,23.46,23.46
2026-09-01,301006,buy,100,14.18,14.18
2026-09-01,603073,buy,100,17.26,17.26
2026-09-01,301429,buy,100,17.77,17.77
2026-09-01,300994,buy,200,11.51,11.51
2026-09-01,603190,buy,100,17.03,17.03
2026-09-01,301559,buy,100,13.34,13.34
2026-09-01,603409,buy,100,18.46,18.46
