date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2020-01-02,25,25,603871|300763|002892|300697|603730|603165|603811|002923|300575|603360|300640|603505|603967|002884|300452|603277|603801|603181|300394|300547|600452|002757|603357|002749|002088,002088|002749|002757|002884|002892|002923|300394|300452|300547|300575|300640|300697|300763|600452|603165|603181|603277|603357|603360|603505|603730|603801|603811|603871|603967,,
2020-02-03,25,25,603871|002892|300758|603136|300697|603040|603730|603811|002923|300575|300640|603360|603697|603967|002884|603505|603187|603277|300452|603365|603181|603801|600452|300394|300547,002884|002892|002923|300394|300452|300547|300575|300640|300697|300758|600452|603040|603136|603181|603187|603277|603360|603365|603505|603697|603730|603801|603811|603871|603967,,300763|603165|002757|603357|002749|002088
2020-03-02,25,24,603871|002892|603136|300697|603730|603811|002923|300575|300640|603697|603967|300758|603505|002884|603277|300452|603801|603181|300547|603360|600452|002749|603357|603165|300394,002749|002884|002892|002923|300394|300452|300547|300575|300640|300697|300758|600452|603136|603165|603181|603277|603360|603505|603697|603730|603801|603811|603871|603967,603357,603040|603187|603365
2020-04-01,25,25,603871|002892|603136|603730|300697|002923|300640|603967|300758|603505|300575|603811|002833|603277|002884|603040|603187|603365|603181|603801|300703|603360|300547|600452|300637,002833|002884|002892|002923|300547|300575|300637|300640|300697|300703|300758|600452|603040|603136|603181|603187|603277|603360|603365|603505|603730|603801|603811|603871|603967,,603697|300452|300394|002749|603165
2020-05-06,25,24,603871|300795|603730|603505|603811|002833|603277|603181|002884|603519|600452|603360|002749|300179|603988|002818|002746|002182|603298|600987|603669|002016|603806|002706|600989,002016|002182|002706|002746|002749|002818|002833|002884|300179|300795|600452|600987|600989|603181|603277|603298|603360|603505|603519|603669|603730|603806|603811|603871,603988,002892|603136|300697|002923|300640|603967|300758|300575|603801|300547|603040|603187|603365|300703|300637
2020-06-01,25,25,603871|300795|603730|603277|603327|603181|603505|002860|600452|603360|603519|300179|603165|002749|002818|002746|002677|002182|603298|600987|002016|603669|600989|002706|000848,000848|002016|002182|002677|002706|002746|002749|002818|002860|300179|300795|600452|600987|600989|603165|603181|603277|603298|603327|603360|603505|603519|603669|603730|603871,,603811|002833|002884|603806
2020-07-01,25,25,300795|603871|603277|603327|603811|603360|603519|300179|603165|600452|002749|002677|002818|002746|300821|600987|600989|603669|603298|000848|002035|002440|000717|600273|002233,000717|000848|002035|002233|002440|002677|002746|002749|002818|300179|300795|300821|600273|600452|600987|600989|603165|603277|603298|603327|603360|603519|603669|603811|603871,,603730|603181|603505|002182|002016|002706|002860
2020-08-03,22,22,300795|603871|603811|603505|002884|603519|603360|300179|002749|600452|002746|600052|600987|600989|002035|603298|000848|002440|000717|002110|600273|601225,000717|000848|002035|002110|002440|002746|002749|002884|300179|300795|600052|600273|600452|600987|600989|601225|603298|603360|603505|603519|603811|603871,,603277|603327|603165|002677|002818|603669|300821|002233
2020-09-01,18,18,603871|002909|603811|603505|603360|002003|002749|002381|002746|002014|002443|600846|002035|000848|002489|000717|600273|601225,000717|000848|002003|002014|002035|002381|002443|002489|002746|002749|002909|600273|600846|601225|603360|603505|603811|603871,,300795|603519|300179|600452|600987|600989|603298|002440|002884|600052|002110
2020-10-09,23,23,603871|002909|603327|002960|603811|603505|603360|002749|002003|002381|002746|603326|002014|002443|600846|002458|002035|000848|600989|002489|000717|600273|601225,000717|000848|002003|002014|002035|002381|002443|002458|002489|002746|002749|002909|002960|600273|600846|600989|601225|603326|603327|603360|603505|603811|603871,,
2020-11-02,25,25,603871|603682|603327|002960|603811|300587|603505|603360|002909|002088|002746|002749|603165|002381|603277|002003|002394|002014|002443|603730|000966|002458|002035|000848|002318,000848|000966|002003|002014|002035|002088|002318|002381|002394|002443|002458|002746|002749|002909|002960|300587|603165|603277|603327|603360|603505|603682|603730|603811|603871,,600846|002489|000717|600273|601225|603326|600989
