date,code,action,price
2006-02-06,600886,BUY,1.23
2006-02-06,000933,BUY,1.6616433
2006-02-06,600428,BUY,2.49
2006-03-01,600010,BUY,0.94996753
2006-04-03,600886,SELL_REBAL,1.2
2006-04-03,600010,SELL_REBAL,0.66789526
2006-05-08,000937,BUY,0.92942586
2006-05-08,600096,BUY,6.85913764
2006-05-08,000912,BUY,6.14
2006-06-01,000933,SELL_REBAL,2.0590847
2006-06-01,002022,BUY,3.19001513
2006-06-01,600880,BUY,2.48
2006-06-01,600420,BUY,2.93
2006-06-01,000550,BUY,3.90107523
2006-06-01,600997,BUY,2.54
2006-06-01,600761,BUY,3.56
2006-06-01,000155,BUY,4.82330112
2006-06-01,000983,BUY,1.5761944
2006-06-01,000069,BUY,2.3752288
2006-06-01,600583,BUY,3.97
2006-06-01,600500,BUY,3.5
2006-06-01,600418,BUY,3.78
2006-06-01,600019,BUY,1.98145713
2006-07-03,600096,SELL_REBAL,7.25818736
2006-07-03,002022,SELL_REBAL,3.01039204
2006-07-03,600880,SELL_REBAL,2.72
2006-07-03,600420,SELL_REBAL,2.9
2006-07-03,000550,SELL_REBAL,4.37771906
2006-07-03,600997,SELL_REBAL,2.35
2006-07-03,600761,SELL_REBAL,4.39
2006-07-03,000155,SELL_REBAL,4.55838496
2006-07-03,600348,BUY,1.0382271
2006-07-03,600123,BUY,2.171834
2006-07-03,000933,BUY,2.15962
2006-07-03,600183,BUY,2.35876938
2006-07-03,600309,BUY,4.2494777
2006-07-03,600026,BUY,4.76642232
2006-07-03,600717,BUY,3.8
2006-07-03,000898,BUY,3.02149539
2006-08-01,000937,SELL_REBAL,0.8136388
2006-08-01,600348,SELL_REBAL,0.86847318
2006-08-01,000088,BUY,3.11598342
2006-08-01,600096,BUY,6.99466396
2006-08-01,600362,BUY,7.42465444
2006-08-01,000039,BUY,3.518402
2006-08-01,600320,BUY,5.28098568
2006-09-01,600123,SELL_REBAL,2.06693032
2006-09-01,000933,SELL_REBAL,1.7384941
2006-09-01,000983,SELL_REBAL,1.23229744
2006-09-01,600428,SELL_REBAL,2.27
2006-09-01,000069,SELL_REBAL,2.172272
2006-09-01,600583,SELL_REBAL,3.94
2006-09-01,600500,SELL_REBAL,3.18
2006-09-01,600309,SELL_REBAL,3.94533448
2006-09-01,600019,SELL_REBAL,1.83074227
2006-09-01,000088,SELL_REBAL,3.0995619
2006-09-01,600096,SELL_REBAL,7.14524876
2006-09-01,600362,SELL_REBAL,7.6305005
2006-09-01,600320,SELL_REBAL,4.9857407
2006-09-01,000157,BUY,0.54319176
2006-09-01,600497,BUY,2.01
2006-09-01,000006,BUY,1.2404472
2006-09-01,000060,BUY,2.168144
2006-09-01,600642,BUY,1.93
2006-09-01,000002,BUY,1.69025913
2006-10-09,000912,SELL_REBAL,7.53
2006-10-09,000006,SELL_REBAL,1.16181776
2006-10-09,600467,BUY,2.08
2006-10-09,000528,BUY,2.37706272
2006-10-09,000983,BUY,1.19110145
2006-10-09,600428,BUY,2.58
2006-10-09,600500,BUY,3.44
2006-10-09,600362,BUY,7.23300466
2006-11-01,600026,SELL_REBAL,6.43614125
2006-11-01,000002,SELL_REBAL,2.02980897
