year,return
2005,-0.010945164670461471
2006,0.4905649918787618
2007,1.6727994696361943
2008,-0.4717938907537934
2009,1.6441126807083193
2010,0.3013473975875567
2011,-0.2700989891622161
2012,0.005221438924114974
2013,0.5334632798126946
2014,0.3721822944979185
2015,1.3750494948363774
2016,-0.005804740933201158
2017,-0.1040033011774073
2018,-0.12395950810122802
2019,0.5050245752338245
2020,0.1854156971980514
2021,0.42913397729233616
2022,0.12782943382908285
2023,0.13818700257286665
2024,0.23392912667153043
2025,0.31994603731687654
2026,0.013600991852821709
