date,nav
2013-08-31,1.056951
2013-09-30,1.106404
2013-10-31,1.130484
2013-11-30,1.275763
2013-12-31,1.297158
2014-01-31,1.363572
2014-02-28,1.41968
2014-03-31,1.380436
2014-04-30,1.377176
2014-05-31,1.412133
2014-06-30,1.46661
2014-07-31,1.5129
2014-08-31,1.591129
2014-09-30,1.797839
2014-10-31,1.85277
2014-11-30,1.983767
2014-12-31,1.848109
2015-01-31,1.990301
2015-02-28,2.127967
2015-03-31,2.54514
2015-04-30,2.866573
2015-05-31,3.727416
2015-06-30,3.379075
2015-07-31,3.262006
2015-08-31,3.099477
2015-09-30,3.134857
2015-10-31,3.325183
2015-11-30,3.52498
2015-12-31,3.630568
2016-01-31,3.121077
2016-02-29,3.095471
2016-03-31,3.246707
2016-04-30,3.259824
2016-05-31,3.281205
2016-06-30,3.396855
2016-07-31,3.402875
2016-08-31,3.573085
2016-09-30,3.593555
2016-10-31,3.731669
2016-11-30,3.903801
2016-12-31,3.777202
2017-01-31,3.626385
2017-02-28,3.771522
2017-03-31,3.920425
2017-04-30,3.663624
2017-05-31,3.539215
2017-06-30,3.601883
2017-07-31,3.56675
2017-08-31,3.705144
2017-09-30,3.801972
2017-10-31,3.875302
2017-11-30,3.570165
2017-12-31,3.559896
2018-01-31,3.502582
2018-02-28,3.484889
2018-03-31,3.647449
2018-04-30,3.621818
2018-05-31,3.620294
2018-06-30,3.53011
2018-07-31,3.53452
2018-08-31,3.478311
2018-09-30,3.458341
2018-10-31,3.428183
2018-11-30,3.459959
2018-12-31,3.456427
2019-01-31,3.434773
2019-02-28,3.571689
2019-03-31,3.799791
2019-04-30,3.863313
2019-05-31,3.870333
2019-06-30,3.933459
2019-07-31,3.960519
2019-08-31,3.898334
2019-09-30,3.994232
2019-10-31,4.025982
2019-11-30,3.943742
2019-12-31,4.090398
2020-01-31,4.098901
2020-02-29,3.933805
2020-03-31,4.100254
2020-04-30,4.190411
2020-05-31,4.315402
2020-06-30,4.517144
2020-07-31,4.952075
2020-08-31,5.280519
2020-09-30,5.01612
2020-10-31,5.035263
2020-11-30,5.179123
2020-12-31,4.930175
2021-01-31,4.679225
2021-02-28,4.730219
2021-03-31,4.80076
2021-04-30,4.805539
2021-05-31,4.863527
2021-06-30,4.990149
2021-07-31,4.912696
2021-08-31,5.175155
2021-09-30,5.182426
2021-10-31,5.13051
2021-11-30,5.500622
2021-12-31,5.639608
2022-01-31,5.427973
2022-02-28,5.592646
2022-03-31,5.388072
2022-04-30,5.140892
2022-05-31,5.254425
2022-06-30,5.351885
2022-07-31,5.481224
2022-08-31,5.453593
2022-09-30,5.35016
2022-10-31,5.431615
2022-11-30,5.533023
2022-12-31,5.428692
2023-01-31,5.626419
2023-02-28,5.85422
2023-03-31,5.825374
2023-04-30,5.650032
2023-05-31,6.018438
2023-06-30,6.147923
2023-07-31,6.255241
2023-08-31,6.180956
2023-09-30,6.203742
2023-10-31,6.1721
2023-11-30,6.228981
2023-12-31,6.190765
2024-01-31,5.929765
2024-02-29,5.973472
2024-03-31,6.047398
2024-04-30,6.114693
2024-05-31,6.23437
2024-06-30,6.005006
2024-07-31,5.950636
2024-08-31,5.933097
2024-09-30,6.348678
2024-10-31,6.480159
2024-11-30,6.733163
2024-12-31,6.529294
2025-01-31,6.580748
2025-02-28,6.855361
2025-03-31,7.473812
2025-04-30,7.503675
2025-05-31,7.798026
2025-06-30,8.024032
2025-07-31,8.470378
2025-08-31,8.707973
2025-09-30,8.949226
2025-10-31,9.252194
2025-11-30,9.423981
2025-12-31,9.31326
2026-01-31,10.061599
2026-02-28,10.78855
2026-03-31,10.29826
2026-04-30,10.745441
2026-05-31,10.198882
2026-06-30,9.557711
2026-07-31,9.526328
