date,nav
2013-08-31,1.05695
2013-09-30,1.106405
2013-10-31,1.13048
2013-11-30,1.275758
2013-12-31,1.297153
2014-01-31,1.363567
2014-02-28,1.419677
2014-03-31,1.380438
2014-04-30,1.37718
2014-05-31,1.412133
2014-06-30,1.466613
2014-07-31,1.512899
2014-08-31,1.591131
2014-09-30,1.797835
2014-10-31,1.852759
2014-11-30,1.983749
2014-12-31,1.8481
2015-01-31,1.990293
2015-02-28,2.127961
2015-03-31,2.545127
2015-04-30,2.866551
2015-05-31,3.727376
2015-06-30,3.322807
2015-07-31,3.27662
2015-08-31,3.200012
2015-09-30,3.219436
2015-10-31,3.316116
2015-11-30,3.4156
2015-12-31,3.466731
2016-01-31,3.218895
2016-02-29,3.206116
2016-03-31,3.283864
2016-04-30,3.290596
2016-05-31,3.301817
2016-06-30,3.359896
2016-07-31,3.363323
2016-08-31,3.446834
2016-09-30,3.45745
2016-10-31,3.523591
2016-11-30,3.60474
2016-12-31,3.547641
2017-01-31,3.476865
2017-02-28,3.546055
2017-03-31,3.615912
2017-04-30,3.496008
2017-05-31,3.436436
2017-06-30,3.466986
2017-07-31,3.450345
2017-08-31,3.516867
2017-09-30,3.562938
2017-10-31,3.598069
2017-11-30,3.454758
2017-12-31,3.450232
2018-01-31,3.422527
2018-02-28,3.414586
2018-03-31,3.493839
2018-04-30,3.48168
2018-05-31,3.481089
2018-06-30,3.437714
2018-07-31,3.439949
2018-08-31,3.412567
2018-09-30,3.402807
2018-10-31,3.388107
2018-11-30,3.403895
2018-12-31,3.402193
2019-01-31,3.391578
2019-02-28,3.45863
2019-03-31,3.568269
2019-04-30,3.598563
2019-05-31,3.603817
2019-06-30,3.633693
2019-07-31,3.646738
2019-08-31,3.618694
2019-09-30,3.663457
2019-10-31,3.678258
2019-11-30,3.640629
2019-12-31,3.707799
2020-01-31,3.712026
2020-02-29,3.640606
2020-03-31,3.717933
2020-04-30,3.758756
2020-05-31,3.814611
2020-06-30,3.906238
2020-07-31,4.28233
2020-08-31,4.566335
2020-09-30,4.337698
2020-10-31,4.354268
2020-11-30,4.47867
2020-12-31,4.26338
2021-01-31,4.046374
2021-02-28,4.090479
2021-03-31,4.151468
2021-04-30,4.15562
2021-05-31,4.205778
2021-06-30,4.315255
2021-07-31,4.248282
2021-08-31,4.475225
2021-09-30,4.48149
2021-10-31,4.436586
2021-11-30,4.756641
2021-12-31,4.876842
2022-01-31,4.693814
2022-02-28,4.836224
2022-03-31,4.659315
2022-04-30,4.445546
2022-05-31,4.543703
2022-06-30,4.627989
2022-07-31,4.739847
2022-08-31,4.715959
2022-09-30,4.626497
2022-10-31,4.696912
2022-11-30,4.784603
2022-12-31,4.694366
2023-01-31,4.865335
2023-02-28,5.062332
2023-03-31,5.037375
2023-04-30,4.88575
2023-05-31,5.204301
2023-06-30,5.316245
2023-07-31,5.409067
2023-08-31,5.344807
2023-09-30,5.364529
2023-10-31,5.33717
2023-11-30,5.386379
2023-12-31,5.353307
2024-01-31,5.127611
2024-02-29,5.165402
2024-03-31,5.229349
2024-04-30,5.287552
2024-05-31,5.391029
2024-06-30,5.192694
2024-07-31,5.1457
2024-08-31,5.13052
2024-09-30,5.489861
2024-10-31,5.603556
2024-11-30,5.822319
2024-12-31,5.646019
2025-01-31,5.69051
2025-02-28,5.927975
2025-03-31,6.462738
2025-04-30,6.488589
2025-05-31,6.743136
2025-06-30,6.938552
2025-07-31,7.324544
2025-08-31,7.529997
2025-09-30,7.738578
2025-10-31,8.000529
2025-11-30,8.149099
2025-12-31,8.053347
2026-01-31,8.700433
2026-02-28,9.32904
2026-03-31,8.905035
2026-04-30,9.291691
2026-05-31,8.819116
2026-06-30,8.264658
2026-07-31,8.23755
