date,nav
2013-08-31,1.05695
2013-09-30,1.106405
2013-10-31,1.13048
2013-11-30,1.275758
2013-12-31,1.297153
2014-01-31,1.363567
2014-02-28,1.419677
2014-03-31,1.380438
2014-04-30,1.37718
2014-05-31,1.412133
2014-06-30,1.466613
2014-07-31,1.512899
2014-08-31,1.591131
2014-09-30,1.797835
2014-10-31,1.852759
2014-11-30,1.983749
2014-12-31,1.8481
2015-01-31,1.990293
2015-02-28,2.127961
2015-03-31,2.545127
2015-04-30,2.866551
2015-05-31,3.727376
2015-06-30,3.322956
2015-07-31,3.279392
2015-08-31,3.207147
2015-09-30,3.230719
2015-10-31,3.331809
2015-11-30,3.435561
2015-12-31,3.490977
2016-01-31,3.245352
2016-02-29,3.23581
2016-03-31,3.297388
2016-04-30,3.348959
2016-05-31,3.362522
2016-06-30,3.537407
2016-07-31,3.557181
2016-08-31,3.647676
2016-09-30,3.666461
2016-10-31,3.702833
2016-11-30,3.715422
2016-12-31,3.659059
2017-01-31,3.591403
2017-02-28,3.667792
2017-03-31,3.729045
2017-04-30,3.639846
2017-05-31,3.581572
2017-06-30,3.571723
2017-07-31,3.558329
2017-08-31,3.633694
2017-09-30,3.672066
2017-10-31,3.711871
2017-11-30,3.569892
2017-12-31,3.57132
2018-01-31,3.548749
2018-02-28,3.545946
2018-03-31,3.634417
2018-04-30,3.627693
2018-05-31,3.632808
2018-06-30,3.593065
2018-07-31,3.600683
2018-08-31,3.576954
2018-09-30,3.571016
2018-10-31,3.559589
2018-11-30,3.57906
2018-12-31,3.63883
2019-01-31,3.629115
2019-02-28,3.695963
2019-03-31,3.783742
2019-04-30,3.816963
2019-05-31,3.889486
2019-06-30,4.077815
2019-07-31,4.093718
2019-08-31,4.212477
2019-09-30,4.266607
2019-10-31,4.273135
2019-11-30,4.197586
2019-12-31,4.277718
2020-01-31,4.30732
2020-02-29,4.225868
2020-03-31,4.319471
2020-04-30,4.405731
2020-05-31,4.501556
2020-06-30,4.609953
2020-07-31,5.051587
2020-08-31,5.386608
2020-09-30,5.116901
2020-10-31,5.136447
2020-11-30,5.283196
2020-12-31,5.029232
2021-01-31,4.773244
2021-02-28,4.825273
2021-03-31,4.897218
2021-04-30,4.902115
2021-05-31,4.961283
2021-06-30,5.090426
2021-07-31,5.011422
2021-08-31,5.279132
2021-09-30,5.286523
2021-10-31,5.233552
2021-11-30,5.611101
2021-12-31,5.752893
2022-01-31,5.536987
2022-02-28,5.704979
2022-03-31,5.496291
2022-04-30,5.244121
2022-05-31,5.359911
2022-06-30,5.459338
2022-07-31,5.59129
2022-08-31,5.56311
2022-09-30,5.457578
2022-10-31,5.540642
2022-11-30,5.644086
2022-12-31,5.537638
2023-01-31,5.739319
2023-02-28,5.971704
2023-03-31,5.942264
2023-04-30,5.763402
2023-05-31,6.139175
2023-06-30,6.271229
2023-07-31,6.380725
2023-08-31,6.304922
2023-09-30,6.328187
2023-10-31,6.295913
2023-11-30,6.353961
2023-12-31,6.314948
2024-01-31,6.04871
2024-02-29,6.093289
2024-03-31,6.168724
2024-04-30,6.237382
2024-05-31,6.359447
2024-06-30,6.125483
2024-07-31,6.070047
2024-08-31,6.052141
2024-09-30,6.476033
2024-10-31,6.610151
2024-11-30,6.868212
2024-12-31,6.660242
2025-01-31,6.712725
2025-02-28,6.992847
2025-03-31,7.623672
2025-04-30,7.654166
2025-05-31,7.954439
2025-06-30,8.184959
2025-07-31,8.640288
2025-08-31,8.882648
2025-09-30,9.128698
2025-10-31,9.437704
2025-11-30,9.612962
2025-12-31,9.50001
2026-01-31,10.263336
2026-02-28,11.004862
2026-03-31,10.504691
2026-04-30,10.960805
2026-05-31,10.403338
2026-06-30,9.74928
2026-07-31,9.717303
