date,nav
2013-08-31,1.029074
2013-09-30,1.055179
2013-10-31,1.068798
2013-11-30,1.139635
2013-12-31,1.151893
2014-01-31,1.184482
2014-02-28,1.211571
2014-03-31,1.197622
2014-04-30,1.198718
2014-05-31,1.216354
2014-06-30,1.242041
2014-07-31,1.25017
2014-08-31,1.277031
2014-09-30,1.361321
2014-10-31,1.384465
2014-11-30,1.435701
2014-12-31,1.389224
2015-01-31,1.445231
2015-02-28,1.497615
2015-03-31,1.647213
2015-04-30,1.754153
2015-05-31,2.020601
2015-06-30,1.929296
2015-07-31,1.915425
2015-08-31,1.895458
2015-09-30,1.904506
2015-10-31,1.937015
2015-11-30,1.969439
2015-12-31,1.987591
2016-01-31,1.921218
2016-02-29,1.920249
2016-03-31,1.928674
2016-04-30,1.969922
2016-05-31,1.97502
2016-06-30,2.094374
2016-07-31,2.109652
2016-08-31,2.137961
2016-09-30,2.147673
2016-10-31,2.138668
2016-11-30,2.100355
2016-12-31,2.085443
2017-01-31,2.06919
2017-02-28,2.094149
2017-03-31,2.105417
2017-04-30,2.100107
2017-05-31,2.085524
2017-06-30,2.05834
2017-07-31,2.05658
2017-08-31,2.082399
2017-09-30,2.088071
2017-10-31,2.101206
2017-11-30,2.064827
2017-12-31,2.068637
2018-01-31,2.065631
2018-02-28,2.067768
2018-03-31,2.097265
2018-04-30,2.098712
2018-05-31,2.103468
2018-06-30,2.095151
2018-07-31,2.100431
2018-08-31,2.096401
2018-09-30,2.09718
2018-10-31,2.096158
2018-11-30,2.103589
2018-12-31,2.157336
2019-01-31,2.155426
2019-02-28,2.172525
2019-03-31,2.18133
2019-04-30,2.19141
2019-05-31,2.250045
2019-06-30,2.394668
2019-07-31,2.399896
2019-08-31,2.522614
2019-09-30,2.539958
2019-10-31,2.535412
2019-11-30,2.494147
2019-12-31,2.519742
2020-01-31,2.542907
2020-02-29,2.518538
2020-03-31,2.548612
2020-04-30,2.596993
2020-05-31,2.643179
2020-06-30,2.675284
2020-07-31,2.87519
2020-08-31,2.946136
2020-09-30,2.845875
2020-10-31,2.839342
2020-11-30,2.881292
2020-12-31,2.81472
2021-01-31,2.745763
2021-02-28,2.763082
2021-03-31,2.786225
2021-04-30,2.790099
2021-05-31,2.809386
2021-06-30,2.848349
2021-07-31,2.828719
2021-08-31,2.906714
2021-09-30,2.911186
2021-10-31,2.899117
2021-11-30,3.006114
2021-12-31,3.046696
2022-01-31,2.992216
2022-02-28,3.039883
2022-03-31,2.998539
2022-04-30,2.95658
2022-05-31,2.990218
2022-06-30,3.002009
2022-07-31,3.012257
2022-08-31,3.004595
2022-09-30,2.977798
2022-10-31,3.007976
2022-11-30,3.090178
2022-12-31,3.077498
2023-01-31,3.133889
2023-02-28,3.174499
2023-03-31,3.271836
2023-04-30,3.228452
2023-05-31,3.334194
2023-06-30,3.364333
2023-07-31,3.415136
2023-08-31,3.427629
2023-09-30,3.411828
2023-10-31,3.403629
2023-11-30,3.405681
2023-12-31,3.417127
2024-01-31,3.345929
2024-02-29,3.353928
2024-03-31,3.547539
2024-04-30,3.567465
2024-05-31,3.615027
2024-06-30,3.540044
2024-07-31,3.524824
2024-08-31,3.536122
2024-09-30,3.660568
2024-10-31,3.794083
2024-11-30,3.819376
2024-12-31,3.761433
2025-01-31,3.836327
2025-02-28,3.916597
2025-03-31,4.226871
2025-04-30,4.344578
2025-05-31,4.416564
2025-06-30,4.481386
2025-07-31,4.610667
2025-08-31,4.703868
2025-09-30,4.769005
2025-10-31,4.959563
2025-11-30,5.039021
2025-12-31,5.01017
2026-01-31,5.395478
2026-02-28,5.591124
2026-03-31,5.466444
2026-04-30,5.584898
2026-05-31,5.427108
2026-06-30,5.25765
2026-07-31,5.250906
