date,nav
2013-08-31,1.003798
2013-09-30,1.007759
2013-10-31,1.01184
2013-11-30,1.015931
2013-12-31,1.020748
2014-01-31,1.026244
2014-02-28,1.030957
2014-03-31,1.035716
2014-04-30,1.040058
2014-05-31,1.044261
2014-06-30,1.048082
2014-07-31,1.02872
2014-08-31,1.019734
2014-09-30,1.02187
2014-10-31,1.025393
2014-11-30,1.028789
2014-12-31,1.032535
2015-01-31,1.036346
2015-02-28,1.03979
2015-03-31,1.043678
2015-04-30,1.047383
2015-05-31,1.051036
2015-06-30,1.054273
2015-07-31,1.057255
2015-08-31,1.06012
2015-09-30,1.062833
2015-10-31,1.065513
2015-11-30,1.067954
2015-12-31,1.070414
2016-01-31,1.072826
2016-02-29,1.075038
2016-03-31,1.06382
2016-04-30,1.092723
2016-05-31,1.094104
2016-06-30,1.169408
2016-07-31,1.180091
2016-08-31,1.181529
2016-09-30,1.186429
2016-10-31,1.164597
2016-11-30,1.118873
2016-12-31,1.120376
2017-01-31,1.123646
2017-02-28,1.126727
2017-03-31,1.119982
2017-04-30,1.14067
2017-05-31,1.143021
2017-06-30,1.116409
2017-07-31,1.118766
2017-08-31,1.123024
2017-09-30,1.117319
2017-10-31,1.119507
2017-11-30,1.123047
2017-12-31,1.126887
2018-01-31,1.13075
2018-02-28,1.134214
2018-03-31,1.138152
2018-04-30,1.141865
2018-05-31,1.145475
2018-06-30,1.148948
2018-07-31,1.15233
2018-08-31,1.15549
2018-09-30,1.158274
2018-10-31,1.160888
2018-11-30,1.162789
2018-12-31,1.202797
2019-01-31,1.203889
2019-02-28,1.200626
2019-03-31,1.181555
2019-04-30,1.182251
2019-05-31,1.223713
2019-06-30,1.321933
2019-07-31,1.32275
2019-08-31,1.419858
2019-09-30,1.421231
2019-10-31,1.414073
2019-11-30,1.393015
2019-12-31,1.394809
2020-01-31,1.410939
2020-02-29,1.411854
2020-03-31,1.41442
2020-04-30,1.439853
2020-05-31,1.459681
2020-06-30,1.460573
2020-07-31,1.54012
2020-08-31,1.513978
2020-09-30,1.486738
2020-10-31,1.474239
2020-11-30,1.475681
2020-12-31,1.478422
2021-01-31,1.481237
2021-02-28,1.48378
2021-03-31,1.486509
2021-04-30,1.489162
2021-05-31,1.491781
2021-06-30,1.494321
2021-07-31,1.496918
2021-08-31,1.499493
2021-09-30,1.502
2021-10-31,1.504593
2021-11-30,1.507112
2021-12-31,1.509723
2022-01-31,1.512385
2022-02-28,1.514687
2022-03-31,1.528893
2022-04-30,1.556243
2022-05-31,1.557286
2022-06-30,1.540683
2022-07-31,1.513969
2022-08-31,1.513899
2022-09-30,1.515607
2022-10-31,1.523251
2022-11-30,1.578068
2022-12-31,1.594873
2023-01-31,1.595231
2023-02-28,1.571987
2023-03-31,1.676134
2023-04-30,1.682134
2023-05-31,1.682643
2023-06-30,1.676861
2023-07-31,1.698233
2023-08-31,1.730825
2023-09-30,1.708486
2023-10-31,1.708989
2023-11-30,1.6953
2023-12-31,1.717096
2024-01-31,1.717935
2024-02-29,1.713486
2024-03-31,1.890108
2024-04-30,1.890308
2024-05-31,1.903715
2024-06-30,1.894779
2024-07-31,1.895641
2024-08-31,1.913382
2024-09-30,1.914034
2024-10-31,2.014018
2024-11-30,1.962238
2024-12-31,1.962114
2025-01-31,2.024786
2025-02-28,2.025025
2025-03-31,2.163185
2025-04-30,2.275019
2025-05-31,2.261166
2025-06-30,2.262006
2025-07-31,2.26669
2025-08-31,2.294748
2025-09-30,2.294726
2025-10-31,2.400424
2025-11-30,2.43277
2025-12-31,2.433495
2026-01-31,2.612254
2026-02-28,2.612966
2026-03-31,2.615176
2026-04-30,2.614956
2026-05-31,2.600204
2026-06-30,2.60129
2026-07-31,2.603158
