year,return
2006,0.19375549072276366
2007,0.4725773422224999
2008,-0.1537110765283829
2009,0.4401648809288661
2010,0.12536365920762238
2011,-0.15841334724670308
2012,0.004850637806324443
2013,0.2997239882418734
2014,0.24686294170656953
2015,0.7666183480868478
2016,-0.005555594001658948
2017,-0.07210300567952999
2018,-0.032957846059651796
2019,0.20524162330524587
2020,0.10888190889516869
2021,0.21593876846266147
2022,0.03535512376874883
2023,0.04595809638072934
2024,0.08042091669444251
2025,0.15217769484842547
2026,-0.004788234602580044
