year,return
2006,0.2708298550615944
2007,0.7362896372251202
2008,-0.18026171183860895
2009,0.619247927058312
2010,0.164280387816371
2011,-0.17318940961563134
2012,0.004386286250759985
2013,0.30120504981094065
2014,0.24613108375067827
2015,0.7757238124780512
2016,-0.018671669126723578
2017,-0.09204823273169116
2018,-0.03185672641740356
2019,0.211042615303197
2020,0.10931583715834692
2021,0.2355223957757242
2022,0.03479070820417518
2023,0.04657269527711949
2024,0.0853487507425379
2025,0.1786975211979076
2026,-0.005245211550772844
