year,return
2006,0.2708298550615944
2007,0.8778930028745875
2008,-0.202739973294079
2009,0.6201932877875804
2010,0.16428226063222184
2011,-0.17318944999241503
2012,0.004386286171662812
2013,0.30120504982004603
2014,0.2464264021211544
2015,0.8191599954066986
2016,-0.01917385726799925
2017,-0.09341465037257068
2018,-0.03166144565473383
2019,0.21113831379802916
2020,0.10415498641599497
2021,0.24839983725837667
2022,0.03460301736341864
2023,0.04658131241810026
2024,0.0866295087508997
2025,0.2038629357939823
2026,-0.005419651976963147
