date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2006-01-04,0,0,,,,
2006-02-06,2,2,000933|600428,000933|600428,,
2006-03-01,2,2,000933|600428,000933|600428,,
2006-04-03,2,2,000933|600428,000933|600428,,
2006-05-08,10,10,000933|001696|000937|002022|002025|600428|000550|000155|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,
2006-06-01,20,20,002050|000937|000983|600428|002022|600096|002025|600997|600436|001696|600880|600227|000550|600583|000069|000912|600761|000155|600418|600019,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600019|600096|600227|600418|600428|600436|600583|600761|600880|600997,,000933
2006-07-03,20,20,000933|600348|002050|600428|000937|600123|000983|002025|001696|002022|600436|600096|002028|600997|600309|600227|000066|600880|600583|002010,000066|000933|000937|000983|001696|002010|002022|002025|002028|002050|600096|600123|600227|600309|600348|600428|600436|600583|600880|600997,,000550|000912|000155|000069|600761|600418|600019
2006-08-01,20,20,000933|600348|600428|002050|000937|000983|002025|600123|600276|000731|002022|600596|001696|600436|000088|000066|600997|000538|600309|002028,000066|000088|000538|000731|000933|000937|000983|001696|002022|002025|002028|002050|600123|600276|600309|600348|600428|600436|600596|600997,,600096|600227|600880|600583|002010
2006-09-01,3,3,600497|600809|600362,600362|600497|600809,,000933|600348|600428|002050|000937|000983|002025|600123|002022|001696|600436|000066|600997|600309|002028|600276|000731|600596|000088|000538
2006-10-09,3,3,600497|600809|600362,600362|600497|600809,,
2006-11-01,4,4,600497|000088|600809|600362,000088|600362|600497|600809,,
2006-12-01,4,4,600497|000088|600809|600362,000088|600362|600497|600809,,
2007-01-04,4,4,600497|000088|600809|600362,000088|600362|600497|600809,,
2007-02-01,2,2,600497|000088,000088|600497,,600809|600362
2007-03-01,3,3,600497|000088|600809,000088|600497|600809,,
2007-04-02,4,4,600497|002109|000088|600809,000088|002109|600497|600809,,
2007-05-08,20,18,600497|002108|600348|600547|002003|600971|600276|002091|002090|002096|002109|600527|600123|000731|002101|000937|002028|600517|600227|000852,000731|000937|002003|002028|002090|002091|002096|002101|002108|002109|600123|600227|600348|600497|600517|600527|600547|600971,600276|000852,000088|600809
2007-06-01,20,20,600497|002108|002003|002106|600348|600547|000060|600123|002091|002065|600276|002090|600971|601699|002056|002096|002084|600527|002109|002061,000060|002003|002056|002061|002065|002084|002090|002091|002096|002106|002108|002109|600123|600276|600348|600497|600527|600547|600971|601699,,000731|002101|000937|002028|600517|600227
2007-07-02,20,20,600497|002108|002003|000060|002091|002065|002090|600971|002117|002107|600276|601699|002056|600547|002084|000731|600123|002109|002099|002061,000060|000731|002003|002056|002061|002065|002084|002090|002091|002099|002107|002108|002109|002117|600123|600276|600497|600547|600971|601699,,600348|002096|600527|002106
2007-08-01,20,20,600497|002108|600348|002003|002063|002090|002117|002091|600971|000060|002107|002056|002084|002096|002109|601699|600547|002099|002061|002101,000060|002003|002056|002061|002063|002084|002090|002091|002096|002099|002101|002107|002108|002109|002117|600348|600497|600547|600971|601699,,002065|600276|600123|000731
2007-09-03,5,4,600497|600031|600517|600012|600028,600028|600031|600497|600517,600012,002108|002003|002090|002117|002091|600971|000060|002107|002056|002084|002109|601699|600547|002099|002061|600348|002063|002096|002101
2007-10-08,6,6,600497|600031|002138|600517|600012|600028,002138|600012|600028|600031|600497|600517,,
2007-11-01,6,6,002138|600517|600809|600012|001696|600031,001696|002138|600012|600031|600517|600809,,600497|600028
2007-12-03,9,9,600497|600031|002064|002138|600517|600809|001696|600012|600028,001696|002064|002138|600012|600028|600031|600497|600517|600809,,
2008-01-02,7,7,600497|600031|002138|600517|600809|600012|600028,002138|600012|600028|600031|600497|600517|600809,,001696|002064
2008-02-01,7,7,002138|600012|600031|600809|600517|001696|600028,001696|002138|600012|600028|600031|600517|600809,,600497
2008-03-03,7,7,002138|600012|600809|600031|600517|001696|600028,001696|002138|600012|600028|600031|600517|600809,,
2008-04-01,10,10,002153|002138|600809|600012|600031|002019|002064|001696|600517|600028,001696|002019|002064|002138|002153|600012|600028|600031|600517|600809,,
2008-05-05,20,19,600588|600497|000895|002153|002063|002177|002019|002003|000060|600809|002064|600479|000541|002138|000338|002161|002165|600033|600641|002154,000060|000338|000541|000895|002003|002019|002063|002064|002138|002153|002154|002161|002165|600033|600479|600497|600588|600641|600809,002177,600012|600031|001696|600517|600028
2008-06-02,20,20,002063|600497|000900|000895|002153|600588|002195|002177|002180|002197|002152|002206|002003|600809|002138|002064|000338|002130|002161|002222,000338|000895|000900|002003|002063|002064|002130|002138|002152|002153|002161|002177|002180|002195|002197|002206|002222|600497|600588|600809,,002019|000060|600479|000541|002165|600033|600641|002154
2008-07-01,20,20,600497|002063|000900|002153|600588|002177|002180|002195|000541|600033|600177|002206|002152|002197|000513|600641|002165|000338|002064|000088,000088|000338|000513|000541|000900|002063|002064|002152|002153|002165|002177|002180|002195|002197|002206|600033|600177|600497|600588|600641,,000895|002003|600809|002138|002161|002130|002222
2008-08-01,20,20,600497|000900|600588|002153|002063|002195|002177|002180|000783|600177|002206|000541|002130|002152|002197|000513|002165|002150|000338|002223,000338|000513|000541|000783|000900|002063|002130|002150|002152|002153|002165|002177|002180|002195|002197|002206|002223|600177|600497|600588,,002064|600033|600641|000088
2008-09-01,12,12,600547|002124|002223|600596|002001|600428|000612|000983|600188|600309|601919|601857,000612|000983|002001|002124|002223|600188|600309|600428|600547|600596|601857|601919,,600497|000900|600588|002153|002063|002195|002177|002180|600177|002206|000541|002152|002197|000513|002165|000338|000783|002130|002150
2008-10-06,14,14,002124|600547|600596|002223|002001|600428|000612|000718|000983|600309|600188|600026|601919|601857,000612|000718|000983|002001|002124|002223|600026|600188|600309|600428|600547|600596|601857|601919,,
2008-11-03,0,0,,,,002124|600547|600596|002223|002001|600428|000612|000983|600309|600188|601919|601857|000718|600026
2008-12-01,0,0,,,,
2009-01-05,0,0,,,,
2009-02-02,0,0,,,,
2009-03-02,0,0,,,,
2009-04-01,0,0,,,,
2009-05-04,0,0,,,,
2009-06-01,0,0,,,,
2009-07-01,0,0,,,,
2009-08-03,0,0,,,,
2009-09-01,6,6,002001|002215|600366|600588|600276|600809,002001|002215|600276|600366|600588|600809,,
2009-10-09,6,6,002001|002215|600588|600366|600276|600809,002001|002215|600276|600366|600588|600809,,
2009-11-02,0,0,,,,002001|002215|600588|600366|600276|600809
2009-12-01,0,0,,,,
2010-01-04,0,0,,,,
2010-02-01,0,0,,,,
2010-03-01,0,0,,,,
2010-04-01,0,0,,,,
2010-05-04,18,18,300015|300012|300033|300039|300008|300018|300037|300031|300046|300005|000848|300027|300001|300025|600188|300013|300024|601088,000848|300001|300005|300008|300012|300013|300015|300018|300024|300025|300027|300031|300033|300037|300039|300046|600188|601088,,
2010-06-01,20,20,300026|300015|300012|300043|300033|300009|300039|300058|300008|300054|300037|300018|300035|300047|300031|300048|300046|300017|300019|300002,300002|300008|300009|300012|300015|300017|300018|300019|300026|300031|300033|300035|300037|300039|300043|300046|300047|300048|300054|300058,,300005|000848|300027|300001|300025|600188|300013|300024|601088
