date,code,action,price
2006-02-06,000933,BUY,1.66
2006-02-06,600428,BUY,2.49
2006-05-08,001696,BUY,0.62
2006-05-08,002022,BUY,2.71
2006-05-08,000937,BUY,0.93
2006-05-08,000550,BUY,3.19
2006-05-08,002025,BUY,9.25
2006-05-08,000155,BUY,3.93
2006-05-08,600096,BUY,6.86
2006-05-08,000912,BUY,6.14
2006-06-01,000933,SELL_REBAL,
2006-06-01,600428,SELL_REBAL,2.55
2006-06-01,000155,SELL_REBAL,4.82
2006-06-01,600096,SELL_REBAL,7.63
2006-06-01,000912,SELL_REBAL,7.07
2006-06-01,002050,BUY,0.69
2006-06-01,600880,BUY,2.48
2006-06-01,600436,BUY,3.92
2006-06-01,600227,BUY,2.31
2006-06-01,600997,BUY,2.54
2006-07-03,000937,SELL_REBAL,0.99
2006-07-03,000550,SELL_REBAL,4.38
2006-07-03,002025,SELL_REBAL,8.65
2006-07-03,600997,SELL_REBAL,2.35
2006-07-03,002028,BUY,2.92
2006-07-03,002010,BUY,2.33
2006-07-03,600348,BUY,1.04
2006-07-03,002041,BUY,3.59
2006-08-01,600227,SELL_REBAL,2.19
2006-08-01,600276,BUY,0.92
2006-09-01,002050,SELL_REBAL,0.65
2006-09-01,002010,SELL_REBAL,2.03
2006-09-01,002028,SELL_REBAL,2.94
2006-09-01,001696,SELL_REBAL,1.06
2006-09-01,002041,SELL_REBAL,2.1
2006-09-01,002022,SELL_REBAL,2.75
2006-09-01,600436,SELL_REBAL,3.52
2006-09-01,600348,SELL_REBAL,0.85
2006-09-01,600880,SELL_REBAL,2.52
2006-09-01,600276,SELL_REBAL,0.92
2006-09-01,600497,BUY,2.01
2006-09-01,600809,BUY,4.18
2006-09-01,600362,BUY,7.63
2006-11-01,000088,BUY,3.42
2007-02-01,600809,SELL_REBAL,10.25
2007-02-01,600362,SELL_REBAL,10.15
2007-03-01,600809,BUY,8.91
2007-04-02,002109,BUY,4.58
2007-05-08,600497,SELL_REBAL,7.98
2007-05-08,600809,SELL_REBAL,8.87
2007-05-08,000088,SELL_REBAL,6.79
2007-05-08,002108,BUY,1.06
2007-05-08,002003,BUY,1.44
2007-05-08,002100,BUY,2.35
2007-05-08,002096,BUY,4.73
2007-05-08,002101,BUY,5.01
2007-05-08,002091,BUY,2.17
2007-05-08,002090,BUY,6.21
2007-05-08,600527,BUY,2.14
2007-05-08,600547,BUY,3.23
2007-06-01,002109,SELL_REBAL,4.76
2007-06-01,600527,SELL_REBAL,2.05
2007-06-01,600547,SELL_REBAL,2.98
2007-06-01,002065,BUY,1.15
2007-06-01,002115,BUY,3.19
2007-06-01,002099,BUY,3.02
2007-07-02,002100,SELL_REBAL,
2007-07-02,002096,SELL_REBAL,
2007-07-02,002107,BUY,2.94
2007-07-02,002117,BUY,2.48
2007-08-01,002065,SELL_REBAL,
2007-08-01,002090,SELL_REBAL,4.81
2007-08-01,002063,BUY,1.31
2007-08-01,002096,BUY,5.42
2007-09-03,600012,BUY_SKIP_LIMIT_UP,4.85
2007-09-03,002108,SELL_REBAL,1.13
2007-09-03,002107,SELL_REBAL,3.02
2007-09-03,002117,SELL_REBAL,2.89
2007-09-03,002101,SELL_REBAL,5.36
2007-09-03,002003,SELL_REBAL,2.03
2007-09-03,002115,SELL_REBAL,4.04
2007-09-03,002091,SELL_REBAL,2.2
2007-09-03,002099,SELL_REBAL,3.14
2007-09-03,002063,SELL_REBAL,1.2
2007-09-03,002096,SELL_REBAL,5.97
2007-09-03,600517,BUY,7.64
2007-09-03,600497,BUY,9.63
2007-09-03,600031,BUY,5.67
2007-09-03,600028,BUY,5.06
2007-10-08,002138,BUY,4.01
2007-10-08,600012,BUY,4.39
2007-11-01,600497,SELL_REBAL,10.99
2007-11-01,600028,SELL_REBAL,8.74
2007-11-01,600809,BUY,8.74
2007-11-01,001696,BUY,5.87
2007-12-03,002064,BUY,4.39
2007-12-03,600497,BUY,7.8
2007-12-03,600028,BUY,6.62
2008-01-02,001696,SELL_REBAL,7.15
2008-01-02,002064,SELL_REBAL,5.73
2008-02-01,600497,SELL_REBAL,
2008-02-01,001696,BUY,5.62
2008-04-01,002153,BUY,3.02
2008-04-01,002064,BUY,3.56
2008-04-01,002019,BUY,6.34
2008-05-05,002177,BUY_SKIP_LIMIT_UP,4.74
2008-05-05,600809,SELL_REBAL,5.29
2008-05-05,001696,SELL_REBAL,4.46
2008-05-05,600517,SELL_REBAL,7.82
2008-05-05,600012,SELL_REBAL,3.26
2008-05-05,600031,SELL_REBAL,4.38
