date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,20,20,600271|002038|600993|002033|002022|002041|002004|600227|600276|600406|000987|002047|600420|600575|002030|002046|600975|002044|002040|600436,000987|002004|002022|002030|002033|002038|002040|002041|002044|002046|002047|600227|600271|600276|600406|600420|600436|600575|600975|600993,,,
2006-03-01,20,20,600271|002038|002033|600993|002022|002004|002041|000550|600227|600276|600406|000987|002047|600575|002030|002044|600975|002046|002025|600971,000550|000987|002004|002022|002025|002030|002033|002038|002041|002044|002046|002047|600227|600271|600276|600406|600575|600971|600975|600993,,600420|002040|600436,
2006-04-03,20,20,002038|002033|600993|002022|002004|002041|600227|000550|600276|600188|600406|000987|002047|002030|600575|002040|600971|002046|002025|600975,000550|000987|002004|002022|002025|002030|002033|002038|002040|002041|002046|002047|600188|600227|600276|600406|600575|600971|600975|600993,,600271|002044,
2006-05-08,20,20,600227|002033|000987|000550|002041|600993|600406|600588|600975|600188|002038|002040|000541|002030|600583|000088|600348|600026|002046|002004,000088|000541|000550|000987|002004|002030|002033|002038|002040|002041|002046|600026|600188|600227|600348|600406|600583|600588|600975|600993,,002022|600276|002047|600575|600971|002025,
2006-06-01,20,19,600271|000987|600227|000550|002033|002041|600406|600993|600188|002038|600588|600975|002040|000541|600436|600971|000088|600026|002030|600348,000088|000541|000550|000987|002030|002033|002038|002040|002041|600026|600188|600227|600348|600406|600436|600588|600971|600975|600993,600271,002046|002004|600583,
2006-07-03,20,20,600271|000987|600227|002033|000550|600276|600406|600188|600588|002038|002041|000541|600436|000088|600971|600026|600348|002030|002004|002044,000088|000541|000550|000987|002004|002030|002033|002038|002041|002044|600026|600188|600227|600271|600276|600348|600406|600436|600588|600971,,600993|600975|002040,
2006-08-01,20,20,600271|000987|600227|002033|000550|600276|600406|002041|600188|600993|600588|002038|000541|000088|600436|600348|002030|600971|600026|600231,000088|000541|000550|000987|002030|002033|002038|002041|600026|600188|600227|600231|600271|600276|600348|600406|600436|600588|600971|600993,,002004|002044,
2006-09-01,20,20,600271|002063|000987|000550|600479|600276|600588|600993|600227|002038|002033|600436|600971|600188|002022|002044|000088|002030|002025|002065,000088|000550|000987|002022|002025|002030|002033|002038|002044|002063|002065|600188|600227|600271|600276|600436|600479|600588|600971|600993,,600406|002041|000541|600348|600026|600231,
2006-10-09,20,20,600271|002063|000550|000987|600479|600276|600588|600227|002033|600993|002038|600975|600971|600436|000088|600188|002044|600583|002022|002030,000088|000550|000987|002022|002030|002033|002038|002044|002063|600188|600227|600271|600276|600436|600479|600583|600588|600971|600975|600993,,002025|002065,
2006-11-01,20,20,002063|600271|000987|600479|600993|000550|002038|600276|600227|002033|600150|600588|600436|002065|002069|000088|600875|002044|600971|601699,000088|000550|000987|002033|002038|002044|002063|002065|002069|600150|600227|600271|600276|600436|600479|600588|600875|600971|600993|601699,,600188|002022|002030|600975|600583,
2006-12-01,20,20,002063|600271|600479|000987|600993|000550|600276|600227|002038|600588|002033|600436|000088|002069|002065|600362|600971|601699|600188|002044,000088|000550|000987|002033|002038|002044|002063|002065|002069|600188|600227|600271|600276|600362|600436|600479|600588|600971|600993|601699,,600150|600875,
2007-01-04,20,20,002063|600271|000987|600479|600993|000550|600276|002038|002093|600227|002033|600588|000088|600436|600971|002065|600362|002044|600188|601699,000088|000550|000987|002033|002038|002044|002063|002065|002093|600188|600227|600271|600276|600362|600436|600479|600588|600971|600993|601699,,002069,
2007-02-01,20,20,002063|600271|000550|600276|600479|600993|000987|002093|002038|600227|002033|600971|600588|002065|000088|002090|601699|600436|600188|002044,000088|000550|000987|002033|002038|002044|002063|002065|002090|002093|600188|600227|600271|600276|600436|600479|600588|600971|600993|601699,,600362,
2007-03-01,20,20,002063|600271|600276|600993|002093|000987|600479|000550|002038|600227|002033|600971|002065|600436|600588|000088|002090|002116|600188|601699,000088|000550|000987|002033|002038|002063|002065|002090|002093|002116|600188|600227|600271|600276|600436|600479|600588|600971|600993|601699,,002044,
2007-04-02,20,20,002063|600271|600276|000987|600993|000550|600479|002093|002038|600227|002033|600971|600588|002065|000088|600436|600188|601699|600497|002116,000088|000550|000987|002033|002038|002063|002065|002093|002116|600188|600227|600271|600276|600436|600479|600497|600588|600971|600993|601699,,002090,
