date,code,action,price
2006-02-06,002033,BUY,1.7774517
2006-02-06,002044,BUY,0.5614839
2006-02-06,002040,BUY,3.31407468
2006-02-06,600428,BUY,2.48531535
2006-02-06,000933,BUY,1.6616433
2006-02-06,600886,BUY,1.2315457
2006-03-01,000550,BUY,2.44337808
2006-03-01,600010,BUY,0.94996753
2006-05-08,002033,SELL_REBAL,2.11942836
2006-05-08,002040,SELL_REBAL,3.31407468
2006-05-08,002044,SELL_REBAL,0.55732476
2006-05-08,600010,SELL_REBAL,0.62574653
2006-05-08,600886,SELL_REBAL,1.2302696
2006-05-08,002022,BUY,2.71935716
2006-05-08,000937,BUY,0.92942586
2006-05-08,002025,BUY,9.25790448
2006-05-08,001696,BUY,0.61866142
2006-05-08,600096,BUY,6.85913764
2006-05-08,000155,BUY,3.9280672
2006-05-08,000912,BUY,6.1421316
2006-06-01,000933,SELL_REBAL,2.0590847
2006-06-01,000912,SELL_REBAL,7.0727576
2006-06-01,600227,BUY,2.31550452
2006-06-01,600436,BUY,3.9169878
2006-06-01,600583,BUY,3.96352845
2006-06-01,002050,BUY,0.6964461
2006-06-01,600525,BUY,1.73196569
2006-06-01,600997,BUY,2.54810045
2006-06-01,600500,BUY,3.4986545
2006-06-01,000983,BUY,1.5761944
2006-06-01,600420,BUY,2.92979792
2006-06-01,600880,BUY,2.48699424
2006-06-01,600019,BUY,1.98145713
2006-06-01,600761,BUY,3.56972275
2006-07-03,001696,SELL_REBAL,0.81669448
2006-07-03,600096,SELL_REBAL,7.25818736
2006-07-03,000155,SELL_REBAL,4.55838496
2006-07-03,000983,SELL_REBAL,1.46156208
2006-07-03,600420,SELL_REBAL,2.90291904
2006-07-03,600880,SELL_REBAL,2.72003616
2006-07-03,600019,SELL_REBAL,1.95486039
2006-07-03,600761,SELL_REBAL,4.4003755
2006-07-03,600026,BUY,4.76642232
2006-07-03,600348,BUY,1.0382271
2006-07-03,002010,BUY,2.3273328
2006-07-03,600123,BUY,2.171834
2006-07-03,000066,BUY,2.60981424
2006-07-03,002028,BUY,2.91897276
2006-07-03,600362,BUY,8.67392708
2006-07-03,000933,BUY,2.15962
2006-08-01,600525,SELL_REBAL,2.01492809
2006-08-01,600500,SELL_REBAL,3.0996344
2006-08-01,600997,SELL_REBAL,2.0147771
2006-08-01,000933,SELL_REBAL,1.7924846
2006-08-01,600276,BUY,0.92337234
2006-08-01,000088,BUY,3.11598342
2006-08-01,000039,BUY,3.518402
2006-08-01,000731,BUY,5.08330254
2006-09-01,600227,SELL_REBAL,2.21770353
2006-09-01,000066,SELL_REBAL,2.10430968
2006-09-01,000937,SELL_REBAL,0.79486252
2006-09-01,002010,SELL_REBAL,2.0281716
2006-09-01,002050,SELL_REBAL,0.65001636
2006-09-01,000039,SELL_REBAL,3.76621988
2006-09-01,600271,BUY,3.39458652
2006-09-01,002033,BUY,2.652048
2006-09-01,600875,BUY,7.12864672
2006-09-01,000006,BUY,1.2404472
2006-09-01,600761,BUY,3.953788
2006-09-01,600650,BUY,4.62635008
2006-11-01,600497,BUY_SKIP_LIMIT_UP,2.2601643
2006-11-01,002022,SELL_REBAL,3.3650908
2006-11-01,000006,SELL_REBAL,1.1997768
2006-11-01,000731,SELL_REBAL,5.71580862
2006-11-01,600026,SELL_REBAL,6.43614125
2006-11-01,600650,SELL_REBAL,5.1915008
2006-11-01,600428,SELL_REBAL,2.99257848
2006-11-01,002028,SELL_REBAL,3.43148402
2006-11-01,000987,BUY,2.083315
2006-11-01,600227,BUY,2.45031129
2006-11-01,600150,BUY,9.88091118
2006-11-01,002046,BUY,3.91024104
2006-11-01,600809,BUY,4.90579764
2006-11-01,600518,BUY,0.7062196
2006-12-01,600875,SELL_REBAL,10.20509324
2006-12-01,600150,SELL_REBAL,11.98044078
2006-12-01,600026,BUY,7.39236795
2006-12-01,600497,BUY,3.3534735
2006-12-01,002010,BUY,2.072928
2007-01-04,600761,SELL_REBAL,6.847675
2007-01-04,600650,BUY,5.57264896
2007-02-01,600362,SELL_REBAL,10.1503402
2007-02-01,600809,SELL_REBAL,10.25017569
2007-02-01,002050,BUY,0.7910252
2007-02-01,000060,BUY,3.75584
2007-03-01,600650,SELL_REBAL,7.53753344
