config,kind,ann,mdd,sharpe,calmar,whipsaw,whipsaw_yr,is_ann,is_mdd,is_sharpe,oos_ann,oos_mdd,oos_sharpe,ov_riskoff_days,ov_dd20_days_covered,ov_coverage_of_dd20,ov_precision_dd20,ov_jaccard_dd20,ov_rvhigh_days_covered,ov_coverage_of_rvhigh,ov_jaccard_rvhigh,seg2015crash,seg2015long,seg2024q1,seg2026,seg2014_12,seg2020style
RAW,BASE,0.2331,-0.3355,1.437,0.695,0,0.0,0.3133,-0.3355,1.714,0.1293,-0.1613,1.01,,,,,,,,,-0.3243,-0.1579,-0.0881,-0.1395,-0.0998,-0.1315
MA20_c0_full,MA,0.1917,-0.1551,1.696,1.236,514,25.86,0.2767,-0.1551,2.118,0.0824,-0.1303,1.005,2212.0,135.0,0.685,0.061,0.059,445.0,0.519,0.17,-0.036,-0.0861,0.0024,-0.062,-0.0998,-0.0866
MA20_c0_half,MA,0.2143,-0.2043,1.686,1.049,514,25.86,0.2975,-0.2043,2.047,0.107,-0.1335,1.12,2212.0,135.0,0.685,0.061,0.059,445.0,0.519,0.17,-0.1909,-0.1161,-0.0438,-0.1013,-0.0998,-0.1087
MA20_c2_full,MA,0.1891,-0.1691,1.557,1.118,386,19.42,0.2715,-0.1691,1.949,0.0829,-0.1147,0.916,1955.0,126.0,0.64,0.064,0.062,413.0,0.481,0.172,-0.087,-0.0689,0.0021,-0.0834,-0.0998,-0.0649
MA20_c2_half,MA,0.2127,-0.226,1.602,0.941,386,19.42,0.2945,-0.226,1.947,0.107,-0.1341,1.058,1955.0,126.0,0.64,0.064,0.062,413.0,0.481,0.172,-0.2129,-0.1087,-0.0439,-0.1116,-0.0998,-0.0982
MA60_c0_full,MA,0.1854,-0.1749,1.458,1.06,257,12.93,0.2778,-0.1749,1.933,0.0675,-0.1528,0.681,2235.0,171.0,0.868,0.077,0.076,527.0,0.614,0.205,-0.1485,-0.145,0.0,-0.1141,-0.0998,-0.0975
MA60_c0_half,MA,0.2105,-0.2529,1.54,0.832,257,12.93,0.2975,-0.2529,1.927,0.0989,-0.1489,0.924,2235.0,171.0,0.868,0.077,0.076,527.0,0.614,0.205,-0.2403,-0.1446,-0.0449,-0.1268,-0.0998,-0.114
MA60_c2_full,MA,0.1827,-0.2141,1.397,0.853,187,9.41,0.2648,-0.2141,1.791,0.0769,-0.1616,0.754,2106.0,163.0,0.827,0.077,0.076,509.0,0.593,0.207,-0.1891,-0.191,0.0,-0.1062,-0.0998,-0.1341
MA60_c2_half,MA,0.209,-0.2712,1.501,0.771,187,9.41,0.2907,-0.2712,1.849,0.1036,-0.1461,0.95,2106.0,163.0,0.827,0.077,0.076,509.0,0.593,0.207,-0.2589,-0.1683,-0.0449,-0.1229,-0.0998,-0.1323
MOM_L20,MOM,0.1442,-0.2896,1.216,0.498,408,20.53,0.1906,-0.2896,1.395,0.0824,-0.1104,0.946,2337.0,128.0,0.65,0.055,0.053,423.0,0.493,0.153,-0.1891,-0.2136,0.0,-0.0685,0.0,0.0
MOM_L60,MOM,0.1321,-0.3728,1.029,0.354,253,12.73,0.1698,-0.3728,1.178,0.0815,-0.1413,0.797,2320.0,149.0,0.756,0.064,0.063,361.0,0.421,0.128,-0.2801,-0.3343,-0.0079,-0.0368,0.0,0.0
MOM_L120,MOM,0.0914,-0.3355,0.722,0.272,187,9.41,0.1,-0.3355,0.706,0.0794,-0.1441,0.782,2422.0,134.0,0.68,0.055,0.054,346.0,0.403,0.118,-0.3243,-0.2494,-0.0079,-0.1047,0.0107,-0.0081
DDC15_sim,DDC,0.2225,-0.2529,1.463,0.88,52,2.62,0.2994,-0.2529,1.78,0.1228,-0.1581,0.974,864.0,192.0,0.975,0.222,0.221,335.0,0.39,0.242,-0.2403,-0.1209,-0.0881,-0.1362,-0.0998,-0.1315
COMBO_MA20_c0_full+MOM_L20,COMBO,0.1285,-0.1366,1.351,0.941,482,24.25,0.1792,-0.1366,1.64,0.0613,-0.1279,0.869,3136.0,149.0,0.756,0.048,0.047,550.0,0.641,0.16,-0.036,-0.0792,0.0,-0.0435,0.0,0.0
