year,return
2006,0.23042137310869815
2007,0.8358496742839554
2008,-0.17665866738278646
2009,0.2500893286318855
2010,0.14340213126847945
2011,-0.15148739118621213
2012,0.00015976912495330176
2013,0.11982145383972309
2014,0.13828478945925538
2015,0.7046489889968879
2016,-0.0127284039953669
2017,-0.04417865990516312
2018,-0.02067017403670801
2019,0.08493517086416702
2020,0.03852501181031154
2021,0.10708932395597226
2022,0.035651469582633544
2023,0.041511431956889444
2024,0.07846004469701762
2025,0.17788909117413
2026,-0.013012703563821448
