date,pos_ratio
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,0.3
2006-05-31,0.3
2006-06-30,0.3
2006-07-31,0.3266146722472542
2006-08-31,0.3769155197503501
2006-09-30,0.38995230607402703
2006-10-31,0.4366852752121071
2006-11-30,0.3931711923653864
2006-12-31,0.3640444661946812
2007-01-31,0.3442726206365547
2007-02-28,0.33072291244185603
2007-03-31,0.3213766747491456
2007-04-30,0.31490092946921994
2007-05-31,0.3104001251349955
2007-06-30,0.307265204365314
2007-07-31,0.30507837558281015
2007-08-31,0.30355131048858947
2007-09-30,0.30248417961158175
2007-10-31,0.30173807525156754
2007-11-30,0.3012162362889626
2007-12-31,0.30085116149125546
2008-01-31,0.30059571316815575
2008-02-29,0.3004169502925493
2008-03-31,0.3002918412362374
2008-04-30,0.3002042771224177
2008-05-31,0.30014298823220986
2008-06-30,0.3001000889435333
2008-07-31,0.3000700608792228
2008-08-31,0.30004904193866583
2008-09-30,0.30003432902544674
2008-10-31,0.3000240301553219
2008-11-30,0.30001682102910576
2008-12-31,0.30001177468136075
2009-01-31,0.30032733375476034
2009-02-28,0.3482407723830067
2009-03-31,0.35670199421205995
2009-04-30,0.3396913643731137
2009-05-31,0.3277839395892897
2009-06-30,0.3194487501312839
2009-07-31,0.31361412137710387
2009-08-31,0.3095298831437241
2009-09-30,0.3066709173086853
2009-10-31,0.30466964167903826
2009-11-30,0.3032687489611765
2009-12-31,0.3022881241678899
2010-01-31,0.3016016868661055
2010-02-28,0.3011211807810793
2010-03-31,0.3007848265344102
2010-04-30,0.30054937856803793
2010-05-31,0.30038456499466243
2010-06-30,0.3002691954948113
2010-07-31,0.3001884368456562
2010-08-31,0.34978659440707793
2010-09-30,0.49110141669516816
2010-10-31,0.5600112918949102
2010-11-30,0.595403556146378
2010-12-31,0.6151600348959267
2011-01-31,0.5206120243291232
2011-02-28,0.5821662512257597
2011-03-31,0.649976675892481
2011-04-30,0.5449836730873996
2011-05-31,0.4714885711428845
2011-06-30,0.42004199979105455
2011-07-31,0.3840293998493455
2011-08-31,0.35882057989238947
2011-09-30,0.341174405923618
2011-10-31,0.32882208414601577
2011-11-30,0.3201754589019578
2011-12-31,0.31412282123124635
2012-01-31,0.30988597486181163
2012-02-29,0.36263409714959566
2012-03-31,0.34384386800458483
2012-04-30,0.5261122556041066
2012-05-31,0.65828325092333
2012-06-30,0.5507982756460718
2012-07-31,0.4755587929521232
2012-08-31,0.422891155066424
2012-09-30,0.38602380854646634
2012-10-31,0.3602166659825115
2012-11-30,0.3421516661877507
2012-12-31,0.5336549783314798
2013-01-31,0.6605036848320611
2013-02-28,0.7515319513824554
2013-03-31,0.8248735659677259
2013-04-30,0.7724114961774045
2013-05-31,0.8400883473241864
2013-06-30,0.678061843126925
2013-07-31,0.5646432901888448
2013-08-31,0.5705782044567624
2013-09-30,0.6994047431197352
2013-10-31,0.6845833201838145
2013-11-30,0.7792083241286708
2013-12-31,0.7404458268900694
