variant,code,buy_date,sell_date,days,ret,ann_ret,exit_action,status,group,buy_price,sell_price,mv_pct,dy_pct,roe,roa,vol20_pct,turnover20_pct,amount20_pct,amt_cv60_pct,ret120,ret120_pct,dist250h,is_delisted_code,st_snapshot
full,000006,2006-09-01,2006-11-01,61.0,-0.032787,-0.180837,SELL_REBAL,CLOSED,normal,1.240447,1.199777,0.384899,0.940611,0.26532,0.142158,0.325203,0.435897,0.829268,0.156522,0.234594,0.486957,-0.117828,0,0
full,000006,2007-03-01,2007-05-08,68.0,0.543097,9.261909,SELL_REBAL,CLOSED,normal,1.777296,2.742541,0.37489,0.949917,0.251546,0.111208,0.157534,0.37037,0.856164,0.149254,0.675294,0.349593,-0.108328,0,0
full,000014,2024-07-01,2024-09-02,63.0,-0.2,-0.725503,SELL_REBAL,CLOSED,normal,9.8,7.84,0.305092,0.777755,0.287504,0.21212,0.608964,0.655332,0.296754,0.883178,-0.340299,0.060278,-0.436388,0,0
full,000066,2006-07-03,2006-08-01,29.0,-0.178679,-0.916045,SELL_REBAL,CLOSED,normal,2.609814,2.143496,0.727528,0.923691,0.157943,0.103974,0.275862,0.125,0.577586,0.852174,-0.333121,0.017391,-0.422483,0,0
full,000069,2006-06-01,2006-07-03,32.0,-0.191589,-0.911604,SELL_REBAL,CLOSED,normal,2.375229,1.920162,0.860878,0.921239,0.206605,0.107744,0.556522,0.031579,0.947826,0.234783,-0.092307,0.034783,-0.231642,0,0
full,000155,2006-05-08,2006-08-01,85.0,0.165116,0.927514,SELL_REBAL,CLOSED,normal,3.928067,4.576655,0.852913,0.878843,0.173659,0.115865,0.747826,0.661972,0.730435,0.521739,-0.012339,0.156522,-0.142336,0,0
full,000157,2006-09-01,2007-05-08,249.0,2.948694,6.487199,SELL_REBAL,CLOSED,winner,0.543192,2.144898,0.220994,0.8131,0.247943,0.100938,0.96748,0.615385,0.943089,0.765217,0.039658,0.173913,-0.204366,0,0
full,000429,2024-06-03,2024-07-01,28.0,0.026445,0.405293,SELL_REBAL,CLOSED,normal,8.96147,9.198453,0.836952,0.916208,0.174165,0.104986,0.030912,0.170015,0.587326,0.205047,0.224706,0.927357,-0.028918,0,0
full,000529,2023-05-04,2023-11-01,181.0,-0.11408,-0.21672,SELL_REBAL,CLOSED,normal,6.669043,5.908237,0.441152,0.830734,0.326842,0.167866,0.165379,0.48913,0.338509,0.608215,-0.086713,0.310078,-0.347,0,0
full,000550,2006-03-01,2006-08-01,153.0,0.76307,2.868174,SELL_REBAL,CLOSED,normal,2.443378,4.307847,0.699531,0.992945,0.211656,0.137386,0.608696,0.785714,0.756522,0.782609,-0.014664,0.556522,-0.177238,0,0
full,000552,2010-02-01,2010-04-01,59.0,0.083443,0.641819,SELL_REBAL,CLOSED,normal,2.765854,2.996645,0.124083,0.781877,0.201244,0.139905,0.672199,0.211454,0.128631,0.524664,-0.026252,0.133971,-0.236842,0,0
full,000554,2025-11-03,2026-02-02,91.0,0.123188,0.593547,SELL_REBAL,CLOSED,normal,6.804897,7.643182,0.137739,0.838658,0.15961,0.102885,0.429675,0.832817,0.356037,0.196899,0.096233,0.434312,-0.172854,0,0
full,000554,2026-06-01,2026-07-01,30.0,-0.17316,-0.901078,SELL_REBAL,CLOSED,normal,6.834484,5.651023,0.112964,0.693837,0.155321,0.112949,0.156105,0.721793,0.31221,0.610845,-0.134259,0.514683,-0.517212,0,0
full,000567,2024-05-06,2024-07-01,56.0,-0.142142,-0.631862,SELL_REBAL,CLOSED,normal,6.492918,5.57,0.758441,0.98898,0.17342,0.103428,0.032457,0.044822,0.352396,0.290221,-0.124666,0.517774,-0.278267,0,0
full,000639,2013-05-02,2013-06-03,32.0,0.069121,1.143333,SELL_REBAL,CLOSED,normal,3.684379,3.939049,0.153488,0.903025,0.155331,0.109043,0.304878,0.68262,0.563415,0.260976,0.324409,0.487805,-0.177506,0,0
full,000639,2013-09-02,2014-01-02,122.0,0.167328,0.588649,SELL_REBAL,CLOSED,normal,3.663334,4.276313,0.104229,0.907865,0.159281,0.103883,0.226829,0.699482,0.497561,0.343902,-0.190145,0.07561,-0.267765,0,0
full,000639,2014-02-07,2014-05-05,87.0,-0.127326,-0.435256,SELL_REBAL,CLOSED,normal,4.167285,3.636683,0.099452,0.908507,0.173916,0.122924,0.420428,0.653061,0.417453,0.02445,-0.020073,0.278049,-0.198075,0,0
full,000639,2014-06-03,2014-08-01,59.0,0.045517,0.317015,SELL_REBAL,CLOSED,normal,3.45497,3.61223,0.06424,0.954018,0.157545,0.130259,0.132558,0.482143,0.265116,0.668224,-0.209026,0.063415,-0.234542,0,0
full,000639,2014-10-08,2014-11-03,26.0,-0.02611,-0.310239,SELL_REBAL,CLOSED,normal,4.737959,4.614252,0.133728,0.952381,0.134737,0.098857,0.722477,0.164948,0.201835,0.267442,0.208259,0.223256,-0.087827,0,0
full,000672,2014-10-08,2014-11-03,26.0,0.09417,2.53747,SELL_REBAL,CLOSED,normal,3.877002,4.242101,0.140923,0.791005,0.367414,0.197302,0.529817,0.621134,0.194954,0.151163,0.506893,0.713953,-0.002778,0,0
full,000672,2014-12-01,2015-01-05,35.0,0.065243,0.933087,SELL_REBAL,CLOSED,normal,4.88537,5.204108,0.210046,0.750216,0.367414,0.197302,0.340909,0.823232,0.545455,0.509217,0.739452,0.934884,-0.069001,0,0
