date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2015-01-05,30,30,000040|000043|000622|000638|000416|000502|000511|000611|000613|000606|000585|002709|300382|002706|300383|300376|300375|002712|300381|300377|002713|002677|300357|300259|603077|002651|300303|300360|002649|300145,000040|000043|000416|000502|000511|000585|000606|000611|000613|000622|000638|002649|002651|002677|002706|002709|002712|002713|300145|300259|300303|300357|300360|300375|300376|300377|300381|300382|300383|603077,,,
2015-02-02,30,30,000511|000040|000043|000416|000606|000613|000585|000627|000622|000638|300382|002706|002709|300376|300375|300383|300381|002677|002713|300296|603077|300259|300303|300145|300360|002324|300015|600105|300182|002588,000040|000043|000416|000511|000585|000606|000613|000622|000627|000638|002324|002588|002677|002706|002709|002713|300015|300145|300182|300259|300296|300303|300360|300375|300376|300381|300382|300383|600105|603077,,000502|000611|002712|300377|300357|002651|002649,
2015-03-02,30,30,000606|000585|000413|000638|000622|000613|000627|000040|000043|300382|002706|002709|300376|300375|002677|300381|300383|300296|603077|300259|300303|300145|002324|002651|002271|002372|300015|600105|002035|300182,000040|000043|000413|000585|000606|000613|000622|000627|000638|002035|002271|002324|002372|002651|002677|002706|002709|300015|300145|300182|300259|300296|300303|300375|300376|300381|300382|300383|600105|603077,,000511|000416|002713|300360|002588,
2015-04-01,30,30,000040|000622|000638|000606|000585|300382|002706|002709|300376|300375|300370|002677|300259|300296|300009|300145|300303|002271|002035|300015|002372|600105|300182|002293|600816|603766|002701|000789|002158|002085,000040|000585|000606|000622|000638|000789|002035|002085|002158|002271|002293|002372|002677|002701|002706|002709|300009|300015|300145|300182|300259|300296|300303|300370|300375|300376|300382|600105|600816|603766,,000613|000627|000043|300381|300383|603077|002324|000413|002651,
2015-05-04,25,25,000040|000585|300382|300375|300395|300412|300403|300009|002035|300015|600742|002372|600816|000789|300303|002085|002662|000848|600987|002701|600548|600177|600398|000876|601006,000040|000585|000789|000848|000876|002035|002085|002372|002662|002701|300009|300015|300303|300375|300382|300395|300403|300412|600177|600398|600548|600742|600816|600987|601006,,000622|000638|000606|002706|002709|300376|002677|300259|300296|300145|002271|600105|300182|300370|002293|603766|002158,
2015-06-01,15,15,000585|300394|603889|300432|600452|600742|300009|002372|600816|603766|000789|600987|600252|600398|601006,000585|000789|002372|300009|300394|300432|600252|600398|600452|600742|600816|600987|601006|603766|603889,,000040|300382|300375|002035|300015|300303|002085|002701|300395|300412|300403|002662|000848|600548|600177|000876,
2015-07-01,30,30,000005|000594|000585|000616|000611|000413|300394|300390|002749|603889|603601|300432|300412|300415|300395|300403|600452|300375|603806|002035|600742|300303|002372|300015|603766|600816|000789|002271|002085|600987,000005|000413|000585|000594|000611|000616|000789|002035|002085|002271|002372|002749|300015|300303|300375|300390|300394|300395|300403|300412|300415|300432|600452|600742|600816|600987|603601|603766|603806|603889,,300009|600398|601006|600252,
2015-08-03,30,30,000005|000413|000511|000606|000627|000611|000613|000616|000585|300394|002749|603601|603889|300432|300390|300382|300403|300395|300415|603806|600452|600742|002035|300009|300303|002372|000789|002158|002271|300015,000005|000413|000511|000585|000606|000611|000613|000616|000627|000789|002035|002158|002271|002372|002749|300009|300015|300303|300382|300390|300394|300395|300403|300415|300432|600452|600742|603601|603806|603889,,603766|600816|600987|300412|300375|002085,
2015-09-01,30,30,000662|000616|000611|000606|000585|000413|000627|000043|300394|002749|300425|603889|300393|002706|300390|300432|300403|300395|300415|300409|002742|603806|603558|600452|300389|603025|300357|300009|002035|300303,000043|000413|000585|000606|000611|000616|000627|000662|002035|002706|002742|002749|300009|300303|300357|300389|300390|300393|300394|300395|300403|300409|300415|300425|300432|600452|603025|603558|603806|603889,,000005|603601|600742|002372|000789|002271|300015|000511|000613|300382|002158,
2015-10-08,30,30,000585|000616|000638|000613|000611|000627|000043|000005|000416|000413|300394|002749|300416|603889|603601|002706|300425|603828|300390|300393|300403|300450|002742|600452|603806|300432|300415|300395|300444|601689,000005|000043|000413|000416|000585|000611|000613|000616|000627|000638|002706|002742|002749|300390|300393|300394|300395|300403|300415|300416|300425|300432|300444|300450|600452|601689|603601|603806|603828|603889,,000606|300009|002035|300303|000662|300409|603558|300389|603025|300357,
2015-11-02,30,30,000611|000585|000616|000622|000627|000043|000413|000416|000005|300394|002749|603889|603601|002706|300390|300382|300393|300403|600452|603806|300415|300432|300009|002662|002158|002372|603369|601222|300015|002271,000005|000043|000413|000416|000585|000611|000616|000622|000627|002158|002271|002372|002662|002706|002749|300009|300015|300382|300390|300393|300394|300403|300415|300432|600452|601222|603369|603601|603806|603889,,300425|002742|300395|000638|000613|300416|603828|300450|300444|601689,
2015-12-01,30,30,000005|000616|000611|300394|002706|603601|300382|600452|603806|300403|300432|002677|002372|002662|300015|002271|601222|600987|600438|600236|000848|600885|002440|603766|002701|002293|600816|600572|601515|000828,000005|000611|000616|000828|000848|002271|002293|002372|002440|002662|002677|002701|002706|300015|300382|300394|300403|300432|600236|600438|600452|600572|600816|600885|600987|601222|601515|603601|603766|603806,,000585|000627|000043|000413|000416|002749|603889|300390|300393|300415|000622|300009|002158|603369,
2016-01-04,30,30,000005|000616|000416|000413|000627|300394|002749|002706|603601|300382|300390|300403|300432|300415|603806|002372|002158|300015|601222|002271|002677|600987|600438|600236|600885|002440|002662|603766|002701|000848,000005|000413|000416|000616|000627|000848|002158|002271|002372|002440|002662|002677|002701|002706|002749|300015|300382|300390|300394|300403|300415|300432|600236|600438|600885|600987|601222|603601|603766|603806,,000611|600452|002293|600816|600572|601515|000828,
2016-02-01,30,30,000005|000416|000511|000616|000627|000606|000611|000584|000046|000040|000043|300394|002749|002706|300382|300393|300416|300390|300450|300412|603601|300432|300403|603806|603969|603939|300444|300395|601689|300415,000005|000040|000043|000046|000416|000511|000584|000606|000611|000616|000627|002706|002749|300382|300390|300393|300394|300395|300403|300412|300415|300416|300432|300444|300450|601689|603601|603806|603939|603969,,002372|300015|601222|002271|002677|600987|600438|600236|600885|002440|002662|603766|002701|000848|000413|002158,
2016-03-01,30,29,000043|000413|000416|000511|000611|000616|000005|002749|300394|002706|300382|300393|300390|300416|300412|603601|300421|300403|603806|603025|300444|300357|603969|300395|300415|603939|300009|002195|002158|002372,000005|000043|000413|000416|000511|000611|000616|002158|002195|002706|002749|300009|300357|300382|300390|300393|300394|300395|300403|300412|300415|300416|300421|300444|603025|603601|603806|603939|603969,002372,000627|300432|000606|000584|000046|000040|300450|601689,
2016-04-01,30,30,000511|000413|000416|000043|000627|000606|000611|000616|000005|002749|300394|002706|300382|300390|300412|603601|300393|300403|603806|600452|603969|300395|300415|603939|002158|002372|002677|300015|600750|002271,000005|000043|000413|000416|000511|000606|000611|000616|000627|002158|002271|002372|002677|002706|002749|300015|300382|300390|300393|300394|300395|300403|300412|300415|600452|600750|603601|603806|603939|603969,,300416|300444|300421|603025|300357|300009|002195,
2016-05-03,30,30,000416|000413|000043|000627|000616|000611|000005|002749|300394|603601|603806|603010|600483|002372|002677|002271|300015|600236|600987|600658|603766|600885|000848|002419|600816|601515|000828|000685|002152|000600,000005|000043|000413|000416|000600|000611|000616|000627|000685|000828|000848|002152|002271|002372|002419|002677|002749|300015|300394|600236|600483|600658|600816|600885|600987|601515|603010|603601|603766|603806,,000511|002706|300382|300390|300412|300393|300403|603969|300395|300415|603939|002158|000606|600452|600750,
2016-06-01,30,30,000416|000622|000627|000413|000584|000585|000606|000611|000616|000043|000046|000005|002749|002706|300394|603806|603010|600483|002677|300015|600750|600273|600658|600987|600236|603766|002317|002293|600885|002419,000005|000043|000046|000413|000416|000584|000585|000606|000611|000616|000622|000627|002293|002317|002419|002677|002706|002749|300015|300394|600236|600273|600483|600658|600750|600885|600987|603010|603766|603806,,603601|002372|002271|000848|600816|601515|000828|000685|002152|000600,
2016-07-01,30,30,000043|000413|000416|000584|000585|000616|000622|000627|000611|000005|002749|002706|300394|603806|603669|603568|002324|600483|002677|600273|002372|002027|600987|000899|600658|600236|002382|603766|002419|002293,000005|000043|000413|000416|000584|000585|000611|000616|000622|000627|000899|002027|002293|002324|002372|002382|002419|002677|002706|002749|300394|600236|600273|600483|600658|600987|603568|603669|603766|603806,,603010|300015|600885|000606|000046|600750|002317,
