date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2011-01-04,30,30,300059|300066|300071|300043|300058|300026|300054|002364|300045|002323|300014|300012|300015|002340|002404|002327|002397|002348|002356|002377|300053|002331|300041|300051|002335|002224|002367|300009|002351|300047,002224|002323|002327|002331|002335|002340|002348|002351|002356|002364|002367|002377|002397|002404|300009|300012|300014|300015|300026|300041|300043|300045|300047|300051|300053|300054|300058|300059|300066|300071,,,
2011-02-01,30,30,300059|300066|300071|300058|300054|300026|300043|002364|002349|300045|300015|300014|300012|002323|002404|002327|002397|002348|002356|300053|002377|300051|300009|002351|002224|002367|002335|002236|002252|300019,002224|002236|002252|002323|002327|002335|002348|002349|002351|002356|002364|002367|002377|002397|002404|300009|300012|300014|300015|300019|300026|300043|300045|300051|300053|300054|300058|300059|300066|300071,,002340|002331|300041|300047,
2011-03-01,30,30,300059|300066|300071|300026|002364|300043|300012|300015|002323|300014|300045|300058|002404|002397|002327|002348|002356|300054|002377|300009|002367|002236|002351|002252|300019|002337|002352|300035|002335|300044,002236|002252|002323|002327|002335|002337|002348|002351|002352|002356|002364|002367|002377|002397|002404|300009|300012|300014|300015|300019|300026|300035|300043|300044|300045|300054|300058|300059|300066|300071,,300053|300051|002224|002349,
2011-04-01,30,30,300071|300059|300066|300026|300012|300015|002323|300014|300045|300058|002481|002397|002327|002523|002364|002404|002356|002348|300054|300009|002352|300019|300043|002236|002252|300044|002351|300099|002317|002337,002236|002252|002317|002323|002327|002337|002348|002351|002352|002356|002364|002397|002404|002481|002523|300009|300012|300014|300015|300019|300026|300043|300044|300045|300054|300058|300059|300066|300071|300099,,002377|002367|002335|300035,
2011-05-03,30,29,300131|002195|300163|002559|300159|002481|300133|002548|002523|300136|002519|300170|002224|002252|300099|002469|002489|002474|300132|002236|300115|300120|300122|002050|002543|002510|002285|300129|300153|002310,002050|002195|002224|002236|002252|002285|002310|002469|002474|002481|002489|002510|002519|002523|002543|002548|002559|300099|300115|300120|300122|300129|300132|300133|300136|300153|300159|300163|300170,300131,300071|300059|300066|300026|300012|300015|002323|300014|300045|300058|002397|002327|002364|002404|002356|002348|300054|300009|002352|300019|300043|300044|002351|002337|002317,
2011-06-01,30,29,300166|002542|300190|300182|300131|300145|002546|002517|300172|300187|300179|300173|300168|300146|002515|002481|300133|300159|002475|002523|002496|002195|002550|002519|002495|300136|002548|002445|300135|002448,002195|002445|002448|002475|002481|002495|002496|002515|002517|002519|002523|002546|002548|002550|300131|300133|300135|300136|300145|300146|300159|300166|300168|300172|300173|300179|300182|300187|300190,002542,002252|300099|002236|300163|002559|300170|002224|002469|002489|002474|300132|300115|300120|300122|002050|002543|002510|002285|300129|300153|002310,
2011-07-01,30,30,300166|300177|002542|300190|300145|300131|002555|300182|002517|300163|300172|002546|300173|300148|002514|300168|300151|300159|002515|300133|002523|002559|002481|300187|300146|002195|002496|300136|300160|002507,002195|002481|002496|002507|002514|002515|002517|002523|002542|002546|002555|002559|300131|300133|300136|300145|300146|300148|300151|300159|300160|300163|300166|300168|300172|300173|300177|300182|300187|300190,,002519|002548|300179|002475|002550|002495|002445|300135|002448,
2011-08-01,30,29,300166|300177|002542|300190|300131|300145|300182|300179|002555|300163|002514|300172|300148|300173|002481|300159|300168|002515|002517|300151|002523|002546|002496|300133|002195|300160|300135|002559|002507|300167,002195|002481|002496|002507|002514|002515|002517|002523|002542|002546|002555|002559|300131|300133|300135|300145|300148|300151|300159|300160|300163|300166|300167|300168|300172|300173|300177|300182|300190,300179,300187|300146|300136,
2011-09-01,30,30,300166|300177|002568|002542|300145|300190|002555|300131|300163|002517|002514|300172|300182|300151|002515|300179|002523|300168|002481|300173|300159|300148|002507|300187|300160|002195|002559|002572|002537|002548,002195|002481|002507|002514|002515|002517|002523|002537|002542|002548|002555|002559|002568|002572|300131|300145|300148|300151|300159|300160|300163|300166|300168|300172|300173|300177|300179|300182|300187|300190,,002546|002496|300133|300135|300167,
2011-10-10,30,30,300166|300177|002542|300235|002568|300145|300190|002517|002555|300172|300151|300179|300182|300163|002515|300173|300159|002523|002507|300187|300148|002579|300135|002195|002559|300160|002572|300206|002519|002548,002195|002507|002515|002517|002519|002523|002542|002548|002555|002559|002568|002572|002579|300135|300145|300148|300151|300159|300160|300163|300166|300172|300173|300177|300179|300182|300187|300190|300206|300235,,300131|002514|300168|002481|002537,
2011-11-01,30,30,300166|002542|300225|300235|300190|300145|002555|300179|002568|002517|300182|002515|300151|002523|300163|300159|300173|002579|002507|300187|300206|300172|300167|002559|300177|002572|300168|002536|300160|300215,002507|002515|002517|002523|002536|002542|002555|002559|002568|002572|002579|300145|300151|300159|300160|300163|300166|300167|300168|300172|300173|300177|300179|300182|300187|300190|300206|300215|300225|300235,,300148|002195|002548|300135|002519,
2011-12-01,30,30,300166|002542|300225|300235|002568|300190|300145|002517|002555|002514|300151|300182|300163|300179|002515|002523|300167|300172|002579|300173|300159|300187|002572|300206|002559|002536|002537|300160|300168|300215,002514|002515|002517|002523|002536|002537|002542|002555|002559|002568|002572|002579|300145|300151|300159|300160|300163|300166|300167|300168|300172|300173|300179|300182|300187|300190|300206|300215|300225|300235,,002507|300177,
