ym,ic_sue_std,n_sue_std,ic_sue_pct,n_sue_pct
2006-01,,0.0,,0.0
2006-02,,0.0,,0.0
2006-03,,0.0,,0.0
2006-04,0.06512,710.0,0.03443,858.0
2006-05,0.02752,710.0,0.00735,858.0
2006-06,0.06206,710.0,0.0816,862.0
2006-07,0.05765,710.0,0.02675,866.0
2006-08,0.09311,738.0,0.04628,879.0
2006-09,0.25724,738.0,0.17792,883.0
2006-10,0.16649,751.0,0.10895,889.0
2006-11,-0.04442,751.0,0.0122,901.0
2006-12,-0.20648,751.0,-0.12104,915.0
2007-01,-0.2014,751.0,-0.14239,922.0
2007-02,-0.23303,751.0,-0.15528,929.0
2007-03,0.09916,751.0,0.0669,932.0
2007-04,0.36281,815.0,0.22591,991.0
2007-05,-0.13675,815.0,-0.03161,995.0
2007-06,-0.01317,815.0,0.01397,997.0
2007-07,-0.10544,815.0,-0.05278,1002.0
2007-08,0.21717,824.0,0.14197,1022.0
2007-09,-0.1936,824.0,-0.22824,1035.0
2007-10,0.11419,834.0,0.11802,1038.0
2007-11,-0.00953,834.0,-0.04674,1050.0
2007-12,-0.16507,834.0,-0.09468,1068.0
2008-01,-0.04812,834.0,-0.12199,1076.0
2008-02,0.12892,834.0,0.07543,1084.0
2008-03,-0.08487,834.0,-0.10108,1088.0
2008-04,0.13677,874.0,0.01959,1214.0
2008-05,-0.09713,874.0,-0.06932,1232.0
2008-06,0.07,874.0,0.0097,1244.0
2008-07,0.04983,874.0,0.03018,1250.0
2008-08,0.02405,919.0,-0.00571,1255.0
2008-09,-0.15182,919.0,-0.13067,1260.0
2008-10,0.10159,947.0,0.09898,1260.0
2008-11,0.02571,947.0,0.04645,1260.0
2008-12,-0.16239,947.0,-0.10256,1261.0
2009-01,-0.07548,947.0,-0.05076,1261.0
2009-02,0.0045,947.0,0.02265,1261.0
2009-03,-0.16843,947.0,-0.15173,1261.0
2009-04,-0.00808,1042.0,-0.02109,1317.0
2009-05,-0.15844,1042.0,-0.12586,1317.0
2009-06,0.1149,1042.0,0.06494,1317.0
2009-07,0.16987,1042.0,0.13652,1322.0
2009-08,-0.05099,1094.0,-0.0121,1332.0
2009-09,-0.00486,1094.0,-0.02065,1342.0
2009-10,0.10396,1165.0,0.04525,1372.0
2009-11,0.14823,1165.0,0.08406,1382.0
2009-12,-0.02924,1165.0,-0.00742,1406.0
2010-01,-0.10239,1165.0,0.00366,1439.0
2010-02,0.07291,1165.0,0.02167,1460.0
2010-03,0.1728,1165.0,0.12964,1484.0
2010-04,0.07072,1227.0,0.01857,1546.0
2010-05,-0.07228,1227.0,0.00225,1571.0
2010-06,-0.01467,1227.0,-0.04638,1594.0
2010-07,0.04677,1227.0,-0.03554,1616.0
2010-08,-0.02573,1241.0,0.09153,1644.0
2010-09,0.08066,1241.0,0.01961,1669.0
2010-10,0.08323,1250.0,0.07403,1689.0
2010-11,-0.07334,1250.0,-0.0195,1712.0
2010-12,-0.10878,1250.0,-0.04145,1749.0
2011-01,-0.1446,1250.0,-0.09477,1778.0
2011-02,-0.03361,1250.0,-0.05902,1805.0
2011-03,0.07056,1250.0,-0.00268,1832.0
2011-04,0.05144,1283.0,0.08853,1883.0
2011-05,0.05056,1283.0,0.09832,1908.0
2011-06,0.06819,1283.0,0.04832,1936.0
2011-07,-0.02834,1283.0,-0.07941,1955.0
2011-08,0.11781,1386.0,0.05166,1979.0
2011-09,0.06498,1386.0,0.01282,1996.0
2011-10,0.20174,1523.0,0.10134,2005.0
2011-11,-0.04839,1523.0,-0.02907,2024.0
2011-12,-0.06241,1523.0,0.02779,2040.0
2012-01,0.1376,1523.0,0.02194,2050.0
2012-02,-0.04463,1523.0,-0.0501,2063.0
2012-03,-0.00456,1523.0,-0.00895,2088.0
2012-04,0.16166,1581.0,0.12623,2116.0
2012-05,0.19562,1581.0,0.16801,2134.0
2012-06,-0.08079,1581.0,-0.04335,2152.0
2012-07,0.03671,1581.0,-0.01185,2169.0
2012-08,-0.04083,1720.0,-0.04878,2182.0
2012-09,0.01682,1720.0,-0.05233,2193.0
2012-10,0.02908,1863.0,0.10145,2196.0
2012-11,0.07658,1863.0,0.03128,2197.0
2012-12,0.1015,1863.0,0.10543,2197.0
2013-01,0.09221,1863.0,0.06343,2197.0
2013-02,0.08353,1863.0,0.06589,2197.0
2013-03,0.04355,1863.0,0.07623,2197.0
2013-04,0.20753,1921.0,0.15541,2211.0
2013-05,0.02397,1921.0,0.05278,2211.0
2013-06,-0.10707,1921.0,-0.09147,2211.0
2013-07,0.01734,1921.0,0.02098,2211.0
2013-08,0.01039,1990.0,0.02117,2211.0
2013-09,-0.01647,1990.0,0.01136,2211.0
2013-10,0.11033,2082.0,0.11917,2211.0
2013-11,0.04902,2082.0,0.06365,2211.0
2013-12,-0.13228,2082.0,-0.10536,2212.0
2014-01,-0.09254,2083.0,-0.07868,2249.0
2014-02,0.0191,2083.0,-0.00345,2254.0
2014-03,-0.0895,2083.0,-0.08311,2254.0
2014-04,0.01098,2127.0,0.01388,2264.0
2014-05,-0.07013,2127.0,-0.06198,2264.0
2014-06,-0.06679,2127.0,-0.02917,2268.0
2014-07,-0.14195,2127.0,-0.11526,2277.0
2014-08,0.05921,2151.0,0.04488,2285.0
2014-09,-0.05235,2151.0,-0.04861,2295.0
2014-10,0.07946,2154.0,0.01999,2310.0
2014-11,0.07161,2154.0,0.07948,2318.0
2014-12,0.0445,2154.0,0.06984,2339.0
2015-01,-0.03849,2155.0,-0.02389,2360.0
2015-02,-0.07513,2155.0,-0.07423,2381.0
2015-03,0.01858,2155.0,0.0444,2406.0
2015-04,-0.10121,2165.0,-0.09243,2443.0
2015-05,0.17051,2165.0,0.12758,2487.0
2015-06,-0.05326,2167.0,-0.08024,2528.0
2015-07,0.09769,2167.0,0.08276,2533.0
2015-08,-0.02617,2195.0,0.00285,2533.0
2015-09,-0.06232,2195.0,-0.01839,2533.0
2015-10,-0.03987,2229.0,-0.05119,2533.0
2015-11,0.05759,2229.0,0.03293,2533.0
2015-12,-0.0823,2230.0,-0.09042,2558.0
2016-01,0.02364,2230.0,0.03994,2559.0
2016-02,-0.09157,2230.0,-0.09913,2566.0
2016-03,0.14108,2230.0,0.12611,2582.0
2016-04,0.08231,2255.0,0.07913,2600.0
2016-05,-0.00289,2255.0,-0.01877,2613.0
2016-06,-0.08072,2256.0,-0.09226,2626.0
2016-07,-0.09188,2256.0,-0.11045,2639.0
2016-08,-0.0701,2309.0,-0.0429,2667.0
2016-09,-0.0949,2310.0,-0.07671,2689.0
2016-10,-0.12368,2450.0,-0.10885,2711.0
2016-11,0.01457,2451.0,0.00086,2745.0
2016-12,0.01686,2451.0,0.03817,2790.0
2017-01,0.11922,2451.0,0.07659,2844.0
2017-02,0.18019,2452.0,0.1035,2876.0
2017-03,0.06157,2454.0,0.003,2920.0
2017-04,0.12189,2503.0,0.10358,2965.0
2017-05,-0.05015,2503.0,0.00588,3003.0
2017-06,-0.03671,2503.0,-0.00861,3039.0
2017-07,0.05414,2503.0,0.0526,3069.0
2017-08,0.1728,2525.0,0.09658,3106.0
2017-09,0.02914,2526.0,0.01607,3140.0
2017-10,0.11264,2602.0,0.08278,3167.0
2017-11,0.1079,2602.0,0.07649,3203.0
2017-12,0.15215,2603.0,0.11336,3226.0
2018-01,-0.03044,2604.0,-0.0245,3240.0
2018-02,0.05761,2604.0,0.03034,3252.0
2018-03,0.06002,2604.0,0.01524,3262.0
2018-04,0.10016,2658.0,0.09986,3275.0
2018-05,-0.10154,2658.0,-0.03618,3282.0
2018-06,-0.01057,2658.0,-0.00805,3291.0
2018-07,-0.03732,2658.0,-0.05751,3298.0
2018-08,-0.04999,2809.0,-0.05293,3304.0
2018-09,-0.08336,2810.0,-0.10866,3315.0
2018-10,0.06484,3027.0,0.04122,3320.0
2018-11,0.16597,3027.0,0.17325,3328.0
2018-12,-0.21344,3027.0,-0.19239,3333.0
2019-01,-0.01987,3029.0,-0.02036,3348.0
2019-02,0.04255,3029.0,0.00219,3354.0
2019-03,-0.06559,3030.0,-0.05449,3365.0
2019-04,0.10799,3116.0,0.06793,3379.0
2019-05,0.12925,3117.0,0.11752,3392.0
2019-06,0.04838,3118.0,0.05457,3402.0
2019-07,0.05809,3123.0,0.0297,3438.0
2019-08,0.10882,3221.0,0.05578,3453.0
2019-09,-0.0221,3222.0,-0.0299,3463.0
2019-10,0.00932,3270.0,0.03239,3478.0
2019-11,0.08925,3275.0,0.11539,3509.0
2019-12,0.05959,3278.0,0.02707,3536.0
2020-01,-0.01384,3278.0,-0.04062,3551.0
2020-02,0.16966,3278.0,0.15398,3571.0
2020-03,-0.00459,3278.0,0.02226,3584.0
2020-04,0.16161,3308.0,0.15287,3610.0
2020-05,0.04411,3309.0,0.043,3628.0
2020-06,-0.03053,3313.0,-0.04968,3652.0
2020-07,-0.03886,3316.0,-0.05136,3696.0
2020-08,0.02835,3352.0,0.01883,3752.0
2020-09,-0.10508,3353.0,-0.09725,3818.0
2020-10,0.12543,3436.0,0.09428,3842.0
2020-11,0.18754,3438.0,0.15023,3863.0
2020-12,-0.10227,3440.0,-0.11324,3915.0
2021-01,-0.07133,3442.0,-0.06983,3948.0
2021-02,-0.03053,3444.0,-0.0424,3975.0
2021-03,-0.07162,3445.0,-0.0373,4013.0
2021-04,-0.02645,3504.0,0.00195,4070.0
2021-05,0.01866,3507.0,0.05649,4110.0
2021-06,-0.02392,3508.0,-0.01036,4158.0
2021-07,-0.01319,3509.0,-0.0565,4206.0
2021-08,0.0459,3598.0,0.01877,4244.0
2021-09,-0.04563,3598.0,-0.01131,4282.0
2021-10,-0.09755,3733.0,-0.12121,4312.0
2021-11,-0.0542,3737.0,-0.0613,4344.0
2021-12,0.01832,3738.0,0.05443,4385.0
2022-01,-0.13667,3739.0,-0.11829,4409.0
2022-02,0.12825,3739.0,0.04805,4424.0
2022-03,-0.0961,3740.0,-0.03887,4452.0
2022-04,0.05949,3939.0,0.06091,4496.0
2022-05,-0.10039,3940.0,-0.06619,4508.0
2022-06,-0.02627,3941.0,-0.0479,4532.0
2022-07,0.04301,3941.0,0.01511,4558.0
2022-08,-0.03774,4111.0,-0.01911,4601.0
2022-09,-0.12146,4112.0,-0.12393,4640.0
2022-10,0.01463,4302.0,-0.01266,4663.0
2022-11,0.06311,4303.0,0.08125,4687.0
2022-12,-0.09697,4304.0,-0.09442,4714.0
2023-01,-0.0503,4304.0,-0.05852,4720.0
2023-02,0.02661,4304.0,0.00503,4734.0
2023-03,-0.08514,4305.0,-0.05713,4759.0
2023-04,0.02902,4389.0,0.02355,4796.0
2023-05,-0.12105,4390.0,-0.13057,4818.0
2023-06,-0.00869,4390.0,0.00915,4850.0
2023-07,0.00256,4390.0,-0.013,4881.0
2023-08,-0.13018,4477.0,-0.12471,4908.0
2023-09,-0.0544,4477.0,-0.0394,4922.0
2023-10,0.05518,4586.0,0.05525,4930.0
2023-11,0.16811,4588.0,0.13752,4939.0
2023-12,0.1988,4588.0,0.19732,4954.0
2024-01,-0.02603,4588.0,-0.0341,4964.0
2024-02,0.17761,4589.0,0.15843,4969.0
2024-03,0.03067,4589.0,0.01985,4976.0
2024-04,0.14456,4681.0,0.14564,4984.0
2024-05,-0.12117,4681.0,-0.10689,4986.0
2024-06,-0.05268,4681.0,-0.05176,4992.0
2024-07,-0.09729,4681.0,-0.09837,4998.0
2024-08,-0.17727,4771.0,-0.17428,5005.0
2024-09,-0.04178,4771.0,-0.03068,5005.0
2024-10,0.20261,4843.0,0.22118,5005.0
2024-11,0.16288,4843.0,0.17777,5005.0
2024-12,-0.16108,4843.0,-0.16593,5005.0
2025-01,0.12773,4843.0,0.15095,5005.0
2025-02,-0.08366,4843.0,-0.08878,5005.0
2025-03,-0.12113,4843.0,-0.12,5005.0
2025-04,-0.01563,4877.0,-0.04822,5005.0
2025-05,-0.0108,4877.0,0.00801,5005.0
2025-06,0.09747,4877.0,0.09606,5005.0
2025-07,0.03452,4877.0,0.00177,5005.0
2025-08,-0.04011,4891.0,-0.04759,5005.0
2025-09,-0.12171,4891.0,-0.1238,5005.0
2025-10,0.18819,4897.0,0.1748,5005.0
2025-11,0.02934,4897.0,0.03327,5005.0
2025-12,-0.03625,4897.0,-0.0531,5005.0
2026-01,-0.02073,4897.0,-0.00482,5005.0
2026-02,-0.0056,4897.0,-0.02099,5005.0
2026-03,0.07472,4897.0,0.05701,5005.0
2026-04,0.11969,4902.0,0.11157,5005.0
2026-05,-0.00632,4902.0,-0.01199,5005.0
2026-06,,0.0,,0.0
