date,code,action,price
2006-02-06,600459,BUY_SKIP_LIMIT_UP,1.6227558
2006-02-06,600563,BUY,6.38921844
2006-02-06,600000,BUY,1.36811316
2006-02-06,600331,BUY,4.761658
2006-02-06,600967,BUY,1.39873152
2006-02-06,600383,BUY,1.00323558
2006-02-06,000012,BUY,1.5760434
2006-02-06,600332,BUY,5.33510208
2006-02-06,000888,BUY,2.54193345
2006-02-06,000554,BUY,3.0269248
2006-02-06,600990,BUY,2.76794518
2006-02-06,000525,BUY,2.93934459
2006-02-06,600033,BUY,1.54749393
2006-02-06,000157,BUY,0.37028904
2006-02-06,000612,BUY,1.7207151
2006-02-06,600422,BUY,2.10730611
2006-02-06,600318,BUY,1.2885439
2006-02-06,600458,BUY,1.711269
2006-02-06,000920,BUY,4.0480002
2006-02-06,600096,BUY,6.72962262
2006-03-01,600563,SELL_REBAL,5.71217163
2006-03-01,600000,SELL_REBAL,1.44517326
2006-03-01,600331,SELL_REBAL,4.00443824
2006-03-01,600967,SELL_REBAL,1.22596096
2006-03-01,600383,SELL_REBAL,1.04730536
2006-03-01,000012,SELL_REBAL,1.42645284
2006-03-01,600332,SELL_REBAL,5.20627149
2006-03-01,000888,SELL_REBAL,2.34608625
2006-03-01,000554,SELL_REBAL,3.4140896
2006-03-01,600990,SELL_REBAL,2.61032992
2006-03-01,000525,SELL_REBAL,3.26680473
2006-03-01,600033,SELL_REBAL,1.48706181
2006-03-01,000157,SELL_REBAL,0.3748794
2006-03-01,600422,SELL_REBAL,1.93334463
2006-03-01,600318,SELL_REBAL,1.5199233
2006-03-01,600458,SELL_REBAL,1.52377344
2006-03-01,000920,SELL_REBAL,4.1460795
2006-03-01,600096,SELL_REBAL,7.17280952
2006-03-01,000933,BUY,1.6405028
2006-03-01,600775,BUY,5.1659985
2006-03-01,000831,BUY,2.13238592
2006-03-01,600345,BUY,6.31744864
2006-03-01,000657,BUY,2.63447856
2006-03-01,000833,BUY,3.81005166
2006-03-01,600489,BUY,1.1084625
2006-03-01,600655,BUY,1.5499512
2006-03-01,600658,BUY,1.99916385
2006-03-01,600459,BUY,1.3483768
2006-03-01,000937,BUY,0.82133694
2006-03-01,600157,BUY,0.39624
2006-03-01,600552,BUY,0.70658787
2006-03-01,000783,BUY,0.99615245
2006-03-01,600720,BUY,1.12786996
2006-03-01,600674,BUY,0.6847821
2006-03-01,600192,BUY,3.64410028
2006-03-01,000758,BUY,1.89782241
2006-03-01,600495,BUY,1.42365426
2006-04-03,000612,SELL_REBAL,2.56783638
2006-04-03,000933,SELL_REBAL,1.68066975
2006-04-03,600775,SELL_REBAL,5.36007
2006-04-03,000831,SELL_REBAL,2.67647408
2006-04-03,600345,SELL_REBAL,6.05994394
2006-04-03,000657,SELL_REBAL,3.07878546
2006-04-03,000833,SELL_REBAL,4.49277768
2006-04-03,600655,SELL_REBAL,1.562976
2006-04-03,600658,SELL_REBAL,1.79980125
2006-04-03,600459,SELL_REBAL,1.66783235
2006-04-03,000937,SELL_REBAL,0.8452739
2006-04-03,600157,SELL_REBAL,0.41028
2006-04-03,600552,SELL_REBAL,0.64197364
2006-04-03,000783,SELL_REBAL,1.01217635
2006-04-03,600720,SELL_REBAL,1.05618331
2006-04-03,600674,SELL_REBAL,0.6743388
2006-04-03,600192,SELL_REBAL,3.40554744
2006-04-03,600495,SELL_REBAL,1.5088605
2006-04-03,600639,BUY,4.1004423
