date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,30,29,600563|600000|600331|600967|600383|000012|600332|000888|000554|600990|000525|600033|000157|000612|600422|600318|600458|000920|600459|600096|600158|600515|000983|600969|600392|600015|000039|000155|000723|600862,000012|000039|000155|000157|000525|000554|000612|000723|000888|000920|000983|600000|600015|600033|600096|600158|600318|600331|600332|600383|600392|600422|600458|600515|600563|600862|600967|600969|600990,600459,,
2006-03-01,30,30,000933|600775|000831|600345|000657|000833|000612|600489|600655|600658|600459|000937|600157|600552|000783|600720|600674|600192|000758|600495|600727|600103|000911|600859|000968|600333|000983|600780|000630|600763,000612|000630|000657|000758|000783|000831|000833|000911|000933|000937|000968|000983|600103|600157|600192|600333|600345|600459|600489|600495|600552|600655|600658|600674|600720|600727|600763|600775|600780|600859,,600563|600000|600331|600967|600383|000012|600332|000888|000554|600990|000525|600033|000157|600422|600318|600458|000920|600096|600158|600515|600969|600392|600015|000039|000155|000723|600862,
2006-04-03,30,30,600639|600489|600331|600663|000758|000031|600348|600531|000009|000923|600330|000029|600693|600675|600121|000573|600523|600648|600807|600644|600176|000733|000525|600131|600674|000960|600615|600221|000049|600088,000009|000029|000031|000049|000525|000573|000733|000758|000923|000960|600088|600121|600131|600176|600221|600330|600331|600348|600489|600523|600531|600615|600639|600644|600648|600663|600674|600675|600693|600807,,000612|000983|000933|600775|000831|600345|000657|000833|600655|600658|600459|000937|600157|600552|000783|600720|600192|600495|600727|600103|000911|600859|000968|600333|600780|000630|600763,
2006-05-08,30,29,600531|600594|600586|600791|600331|600547|600871|600031|000554|000929|000548|600639|000668|000520|002010|000881|600603|600725|000920|000997|000677|600458|600265|600889|600158|000795|600860|600620|600802|600487,000520|000548|000554|000668|000677|000795|000881|000920|000929|000997|002010|600031|600158|600265|600331|600458|600487|600531|600586|600594|600603|600620|600639|600725|600791|600802|600860|600871|600889,600547,600489|000758|600674|600663|000031|600348|000009|000923|600330|000029|600693|600675|600121|000573|600523|600648|600807|600644|600176|000733|000525|600131|000960|600615|600221|000049|600088,
2006-06-01,30,26,000701|600331|000582|600100|600812|000975|600975|600243|600667|002011|600678|000937|002028|600458|600395|000703|600770|600518|000404|000553|600882|000032|600229|600775|600106|600853|600239|600699|600022|000912,000032|000582|000701|000703|000912|000937|000975|002011|002028|600022|600100|600106|600229|600239|600243|600331|600395|600458|600518|600678|600770|600775|600812|600853|600882|600975,600667|000404|000553|600699,600531|600639|600594|600586|600791|600871|600031|000554|000929|000548|000668|000520|002010|000881|600603|600725|000920|000997|000677|600265|600889|600158|000795|600860|600620|600802|600487,
2006-07-03,30,29,600547|600331|002042|002020|002014|600353|002043|002034|000711|000751|600111|002015|600303|600233|002006|000665|000065|000937|600172|000833|002030|002049|000659|600339|000582|600789|000153|002012|600287|600158,000065|000153|000582|000659|000665|000711|000751|000833|000937|002006|002012|002014|002015|002020|002030|002034|002042|002043|002049|600111|600158|600172|600233|600287|600303|600331|600339|600353|600789,600547,600458|000701|600100|600812|000975|600975|600243|002011|600678|002028|600395|000703|600770|600518|600882|000032|600229|600775|600106|600853|600239|600022|000912,
2006-08-01,30,30,000665|000917|002015|600980|000831|002046|600367|002026|600547|600586|600160|000422|000922|000768|600416|600639|600482|000060|002044|600563|600111|600783|000519|600673|000755|600966|600105|000404|600378|600219,000060|000404|000422|000519|000665|000755|000768|000831|000917|000922|002015|002026|002044|002046|600105|600111|600160|600219|600367|600378|600416|600482|600547|600563|600586|600639|600673|600783|600966|600980,,600331|000937|000582|002042|002020|002014|600353|002043|002034|000711|000751|600303|600233|002006|000065|600172|000833|002030|002049|000659|600339|600789|000153|002012|600287|600158,
2006-09-01,30,30,600356|600279|600420|600159|600710|000962|000608|600488|000695|600822|600531|000069|600330|600463|000521|000582|000713|600482|600967|600648|600331|600595|002040|000665|600577|600783|000679|600300|600359|600961,000069|000521|000582|000608|000665|000679|000695|000713|000962|002040|600159|600279|600300|600330|600331|600356|600359|600420|600463|600482|600488|600531|600577|600595|600648|600710|600783|600822|600961|600967,,002015|600111|000917|600980|000831|002046|600367|002026|600547|600586|600160|000422|000922|000768|600416|600639|000060|002044|600563|000519|600673|000755|600966|600105|000404|600378|600219,
2006-10-09,30,30,000558|600159|600067|000031|600745|600791|600862|000878|000060|000608|600266|000002|600590|600325|600288|600681|600648|600675|002019|600894|600796|000610|000554|600895|600331|002033|600104|000831|600761|600595,000002|000031|000060|000554|000558|000608|000610|000831|000878|002019|002033|600067|600104|600159|600266|600288|600325|600331|600590|600595|600648|600675|600681|600745|600761|600791|600796|600862|600894|600895,,600482|000665|600783|600356|600279|600420|600710|000962|600488|000695|600822|600531|000069|600330|600463|000521|000582|000713|600967|002040|600577|000679|600300|600359|600961,
