config,mode,ann,mdd,calmar,sharpe,switches_yr,turnover_yr,cost_pp_yr,n_fallback,OOS1_2016_2021,OOS2_2022_202608,seg_E2015,seg_E201412,seg_E2020style,seg_E2024Q1,seg_E2026
RAW,none,0.2239,-0.3355,0.667,1.405,0.0,0.0,0.0,0,"{'ann': 0.0845, 'mdd': -0.1826, 'calmar': 0.463}","{'ann': 0.1231, 'mdd': -0.1613, 'calmar': 0.763}",-0.316,,-0.1261,-0.0903,-0.1266
RAW,v2,0.2239,-0.3355,0.667,1.405,0.0,0.0,0.0,0,"{'ann': 0.0845, 'mdd': -0.1826, 'calmar': 0.463}","{'ann': 0.1231, 'mdd': -0.1613, 'calmar': 0.763}",-0.316,,-0.1261,-0.0903,-0.1266
RAW,flat15,0.2239,-0.3355,0.667,1.405,0.0,0.0,0.0,0,"{'ann': 0.0845, 'mdd': -0.1826, 'calmar': 0.463}","{'ann': 0.1231, 'mdd': -0.1613, 'calmar': 0.763}",-0.316,,-0.1261,-0.0903,-0.1266
RAW,flat30,0.2239,-0.3355,0.667,1.405,0.0,0.0,0.0,0,"{'ann': 0.0845, 'mdd': -0.1826, 'calmar': 0.463}","{'ann': 0.1231, 'mdd': -0.1613, 'calmar': 0.763}",-0.316,,-0.1261,-0.0903,-0.1266
DDC15,none,0.2022,-0.2289,0.883,1.484,0.44,0.2,0.0,0,"{'ann': 0.0672, 'mdd': -0.1453, 'calmar': 0.463}","{'ann': 0.1179, 'mdd': -0.1556, 'calmar': 0.757}",-0.2063,,-0.1261,-0.0903,-0.1207
DDC15,v2,0.2018,-0.2296,0.879,1.48,0.44,0.2,0.038,0,"{'ann': 0.0671, 'mdd': -0.1453, 'calmar': 0.462}","{'ann': 0.1175, 'mdd': -0.1568, 'calmar': 0.75}",-0.207,,-0.1261,-0.0903,-0.1219
DDC15,flat15,0.2018,-0.2295,0.879,1.481,0.44,0.2,0.033,0,"{'ann': 0.0671, 'mdd': -0.1453, 'calmar': 0.462}","{'ann': 0.1177, 'mdd': -0.1562, 'calmar': 0.753}",-0.2069,,-0.1261,-0.0903,-0.1213
DDC15,flat30,0.2014,-0.2301,0.875,1.478,0.44,0.2,0.066,0,"{'ann': 0.067, 'mdd': -0.1453, 'calmar': 0.461}","{'ann': 0.1175, 'mdd': -0.1569, 'calmar': 0.749}",-0.2075,,-0.1261,-0.0903,-0.122
GATE_FULL,none,0.1843,-0.1551,1.188,1.66,24.94,24.9,0.0,0,"{'ann': 0.0755, 'mdd': -0.1044, 'calmar': 0.723}","{'ann': 0.0573, 'mdd': -0.1303, 'calmar': 0.44}",-0.1506,,-0.1044,-0.0152,-0.0769
GATE_FULL,v2,0.1507,-0.2117,0.712,1.355,24.94,24.9,2.871,0,"{'ann': 0.0366, 'mdd': -0.1216, 'calmar': 0.301}","{'ann': 0.0203, 'mdd': -0.1726, 'calmar': 0.118}",-0.1528,,-0.1216,-0.0152,-0.0791
