variant,2015股灾段,2008熊市,2018熊市
i3_base,-0.3907041052763691,-0.3595748372860821,-0.13128227670960657
i3_abs_v2,-0.367972159995132,-0.30732282329950267,-0.12481735848303521
i3_abs_v2_p2,-0.34689636613582675,-0.2867990727990094,-0.11868818293504213
i3_abs_s1,-0.3685164058334025,-0.3040565606717587,-0.12370557364338497
i3_abs_s2,-0.35247997538087505,-0.2918277891626734,-0.11862474604505546
i3_abs_s3,-0.3275081830730766,-0.28665019725983354,-0.11607969346693015
i3_abs_s4,-0.3536311403082064,-0.2871688250244475,-0.12101356718296785
i3_abs_s4_p2,-0.3206407361515089,-0.28632803644750027,-0.11624840614539322
i3_abs_s4_mom,-0.3526713300082164,-0.2865535557134973,-0.10373769681779565
i3_abs_s4_breadth,-0.35164405563184553,-0.2871200208048321,-0.1161438691321578
i3_abs_s4_stack,-0.35068675254519754,-0.2865535557134973,-0.10350063486423944
i3_abs_s4_q5r,-0.3536311403082064,-0.2871688250244475,-0.12101356718296785
