annual_return,max_drawdown,sharpe,calmar,monthly_win_rate,cumulative_return,avg_holdings,monthly_turnover_est,variant,type_key,family
0.1619,-0.3907,0.9052,0.4144,0.583,20.9648,27.4,0.2516,i4_base,base,base
0.1297,-0.3275,0.8676,0.3961,0.583,11.3195,27.4,0.2516,i4_abs_s3,abs_s3,abs
0.134,-0.3536,0.8599,0.3789,0.583,12.3126,27.4,0.2516,i4_abs_s4,abs_s4,abs
0.124,-0.3206,0.8439,0.3869,0.583,10.1062,27.4,0.2516,i4_abs_s4_p2,abs_s4_p2,abs
0.1442,-0.3206,0.9304,0.4497,0.583,15.0108,27.4,0.2516,i4_q3r60,q3r60,q
0.1449,-0.3235,0.926,0.4479,0.583,15.2072,27.4,0.2516,i4_q3r70,q3r70,q
0.1611,-0.3461,0.9683,0.4655,0.583,20.6714,27.4,0.2516,i4_q5r60,q5r60,q
0.1631,-0.3486,0.9668,0.468,0.583,21.4509,27.4,0.2516,i4_q5r70,q5r70,q
0.1445,-0.3204,0.9141,0.4509,0.583,15.0894,27.4,0.2516,i4_q3m60,q3m60,q
0.162,-0.3462,0.9458,0.468,0.583,21.0122,27.4,0.2516,i4_q5m60,q5m60,q
0.1501,-0.3495,0.9146,0.4296,0.583,16.8084,27.4,0.2516,i4_q3z,q3z,q
0.1617,-0.358,0.9239,0.4515,0.583,20.8714,27.4,0.2516,i4_q5z,q5z,q
0.1233,-0.2867,0.8875,0.43,0.583,9.9512,27.4,0.2516,i4_mix_s4_q3r60_mult,mix_s4_q3r60_mult,mix
0.1373,-0.311,0.8972,0.4414,0.583,13.132,27.4,0.2516,i4_mix_s4_q3r60_geo,mix_s4_q3r60_geo,mix
0.1253,-0.2872,0.8802,0.4362,0.583,10.3569,27.4,0.2516,i4_mix_s4_q3r60_min,mix_s4_q3r60_min,mix
0.1324,-0.2868,0.9167,0.4619,0.583,11.9454,27.4,0.2516,i4_mix_s4_q5r60_mult,mix_s4_q5r60_mult,mix
0.1449,-0.3283,0.9181,0.4415,0.583,15.2301,27.4,0.2516,i4_mix_s4_q5r60_geo,mix_s4_q5r60_geo,mix
0.1348,-0.2991,0.9,0.4506,0.583,12.5084,27.4,0.2516,i4_mix_s3_q3r60_geo,mix_s3_q3r60_geo,mix
0.1145,-0.2863,0.8649,0.4,0.583,8.3238,27.4,0.2516,i4_mix_s4p2_q3r60_mult,mix_s4p2_q3r60_mult,mix
