variant,type_key,2015股灾段,2008熊市,2018熊市
i4_base,base,-0.3907041052763691,-0.3595748372860821,-0.13128227670960657
i4_abs_s3,abs_s3,-0.3275081830730766,-0.28665019725983354,-0.11607969346693015
i4_abs_s4,abs_s4,-0.3536311403082064,-0.2871688250244475,-0.12101356718296785
i4_abs_s4_p2,abs_s4_p2,-0.3206407361515089,-0.28632803644750027,-0.11624840614539322
i4_q3r60,q3r60,-0.27372093353999216,-0.3206331675361258,-0.112655530498884
i4_q3r70,q3r70,-0.27581923045550305,-0.32347048241352827,-0.11415383674737856
i4_q5r60,q5r60,-0.3054545102454792,-0.3461329210557097,-0.11082948155347394
i4_q5r70,q5r70,-0.31624276391326434,-0.3485545955040802,-0.11174367739730395
i4_q3m60,q3m60,-0.2749443181929043,-0.320367507475841,-0.12497921893226593
i4_q5m60,q5m60,-0.3190230237617677,-0.3461773103057322,-0.117626815876127
i4_q3z,q3z,-0.2828865821730472,-0.3494688132197481,-0.12872408750236786
i4_q5z,q5z,-0.35498242456367,-0.3580471073767145,-0.12504350557428257
i4_mix_s4_q3r60_mult,mix_s4_q3r60_mult,-0.24766276099267215,-0.28667039260108185,-0.11054477791721329
i4_mix_s4_q3r60_geo,mix_s4_q3r60_geo,-0.3110300001036441,-0.29840747812951784,-0.11559206586206172
i4_mix_s4_q3r60_min,mix_s4_q3r60_min,-0.273720608462776,-0.2871688250244475,-0.11265553049842392
i4_mix_s4_q5r60_mult,mix_s4_q5r60_mult,-0.27902050221310537,-0.2867610463670306,-0.10886327175006916
i4_mix_s4_q5r60_geo,mix_s4_q5r60_geo,-0.3282957506987,-0.30643902066188944,-0.11456208605315854
i4_mix_s3_q3r60_geo,mix_s3_q3r60_geo,-0.2991474669303418,-0.29508931060344745,-0.11430611501767407
i4_mix_s4p2_q3r60_mult,mix_s4p2_q3r60_mult,-0.22756355851862176,-0.28632803644750027,-0.10861492442481213
