signal,start,end,n_days,fwd15,hit
SPREAD5_top,2024-10-09,2024-10-17,7,0.081,False
SPREAD5_top,2024-10-29,2024-11-04,5,0.0399,False
REB_bottom,2006-05-09,2006-05-09,1,0.2255,True
REB_bottom,2006-05-15,2006-05-15,1,0.1809,True
REB_bottom,2007-01-08,2007-01-08,1,0.2374,True
REB_bottom,2007-07-20,2007-07-23,2,0.1612,True
REB_bottom,2007-12-10,2007-12-10,1,0.1528,True
REB_bottom,2007-12-24,2007-12-24,1,0.1423,True
REB_bottom,2008-02-18,2008-02-18,1,-0.014,False
REB_bottom,2008-03-03,2008-03-03,1,-0.1784,False
REB_bottom,2008-04-24,2008-04-24,1,0.1049,True
REB_bottom,2008-06-18,2008-06-18,1,0.0643,True
REB_bottom,2008-07-03,2008-07-03,1,0.1063,True
REB_bottom,2008-07-07,2008-07-07,1,0.0616,True
REB_bottom,2008-07-09,2008-07-09,1,-0.0092,False
REB_bottom,2008-08-20,2008-08-20,1,-0.1689,False
REB_bottom,2008-09-19,2008-09-22,2,-0.1732,False
REB_bottom,2008-11-05,2008-11-05,1,0.1827,True
REB_bottom,2008-11-10,2008-11-10,1,0.152,True
REB_bottom,2008-11-13,2008-11-14,2,0.1495,True
REB_bottom,2008-12-02,2008-12-03,2,0.0696,True
REB_bottom,2008-12-22,2008-12-22,1,-0.0032,False
REB_bottom,2009-01-06,2009-01-06,1,0.138,True
REB_bottom,2009-02-03,2009-02-03,1,0.1641,True
REB_bottom,2009-03-17,2009-03-17,1,0.0843,True
REB_bottom,2009-11-03,2009-11-03,1,0.0843,True
REB_bottom,2009-11-16,2009-11-16,1,0.0572,True
REB_bottom,2010-02-24,2010-02-25,2,0.0251,True
REB_bottom,2010-05-24,2010-05-24,1,0.0068,True
REB_bottom,2010-07-09,2010-07-09,1,0.1048,True
REB_bottom,2010-07-20,2010-07-20,1,0.0759,True
REB_bottom,2010-12-13,2010-12-13,1,-0.0255,False
REB_bottom,2011-02-10,2011-02-10,1,0.0558,True
REB_bottom,2011-02-14,2011-02-14,1,0.0519,True
REB_bottom,2011-06-23,2011-06-24,2,0.1196,True
REB_bottom,2011-09-21,2011-09-21,1,-0.089,False
REB_bottom,2011-10-12,2011-10-13,2,0.0358,True
REB_bottom,2011-10-25,2011-10-25,1,0.1015,True
REB_bottom,2012-01-10,2012-01-10,1,-0.0033,False
REB_bottom,2012-02-03,2012-02-06,2,0.1187,True
REB_bottom,2012-02-22,2012-02-22,1,0.0119,True
REB_bottom,2012-08-06,2012-08-06,1,-0.0235,False
REB_bottom,2012-08-21,2012-08-21,1,0.0244,True
REB_bottom,2012-09-07,2012-09-07,1,-0.0521,False
REB_bottom,2012-10-09,2012-10-09,1,-0.0258,False
REB_bottom,2012-12-05,2012-12-05,1,0.1371,True
REB_bottom,2012-12-07,2012-12-07,1,0.112,True
REB_bottom,2012-12-14,2012-12-14,1,0.1029,True
REB_bottom,2012-12-25,2012-12-26,2,0.0964,True
REB_bottom,2013-04-19,2013-04-19,1,0.0372,True
REB_bottom,2013-05-20,2013-05-20,1,-0.0568,False
REB_bottom,2013-07-11,2013-07-11,1,0.0393,True
REB_bottom,2013-11-15,2013-11-18,2,0.0403,True
REB_bottom,2014-02-10,2014-02-10,1,0.0138,True
REB_bottom,2014-06-26,2014-06-26,1,0.0455,True
REB_bottom,2014-09-02,2014-09-02,1,0.0829,True
REB_bottom,2015-01-20,2015-01-21,2,0.035,True
REB_bottom,2015-02-13,2015-02-13,1,0.1263,True
REB_bottom,2015-03-02,2015-03-02,1,0.1795,True
REB_bottom,2015-03-16,2015-03-16,1,0.249,True
REB_bottom,2015-05-11,2015-05-11,1,0.3405,True
REB_bottom,2015-07-14,2015-07-14,1,0.0284,True
REB_bottom,2015-09-09,2015-09-09,1,-0.0476,False
REB_bottom,2015-10-12,2015-10-12,1,0.0763,True
REB_bottom,2015-12-17,2015-12-17,1,-0.1481,False
REB_bottom,2016-03-14,2016-03-14,1,0.1492,True
REB_bottom,2016-03-17,2016-03-18,2,0.1065,True
REB_bottom,2016-05-31,2016-05-31,1,0.038,True
REB_bottom,2016-08-15,2016-08-15,1,0.0149,True
REB_bottom,2016-10-10,2016-10-10,1,0.0293,True
REB_bottom,2017-04-27,2017-04-27,1,-0.0226,False
REB_bottom,2017-06-07,2017-06-07,1,0.0139,True
REB_bottom,2017-06-15,2017-06-15,1,0.0267,True
REB_bottom,2017-07-27,2017-07-27,1,0.0316,True
REB_bottom,2017-08-16,2017-08-16,1,0.0601,True
REB_bottom,2017-08-28,2017-08-28,1,0.042,True
REB_bottom,2018-02-26,2018-02-26,1,0.0536,True
REB_bottom,2018-03-09,2018-03-09,1,0.0027,True
REB_bottom,2018-10-22,2018-10-22,1,0.0661,True
REB_bottom,2018-11-02,2018-11-02,1,0.0222,True
REB_bottom,2018-11-13,2018-11-13,1,0.0127,True
REB_bottom,2018-11-15,2018-11-15,1,-0.0321,False
REB_bottom,2018-12-03,2018-12-03,1,-0.0429,False
REB_bottom,2019-02-13,2019-02-13,1,0.2053,True
REB_bottom,2019-02-18,2019-02-18,1,0.1749,True
REB_bottom,2019-02-25,2019-02-25,1,0.104,True
REB_bottom,2019-03-06,2019-03-06,1,0.0193,True
REB_bottom,2019-04-01,2019-04-01,1,-0.0014,False
REB_bottom,2019-06-11,2019-06-11,1,0.0439,True
REB_bottom,2019-06-21,2019-06-21,1,-0.0286,False
REB_bottom,2019-08-19,2019-08-19,1,0.0758,True
REB_bottom,2020-07-06,2020-07-06,1,0.011,True
REB_bottom,2020-10-12,2020-10-12,1,-0.0517,False
REB_bottom,2023-01-30,2023-01-30,1,0.0358,True
REB_bottom,2023-08-29,2023-08-29,1,-0.009,False
REB_bottom,2024-07-31,2024-07-31,1,-0.0519,False
REB_bottom,2024-08-30,2024-08-30,1,0.0076,True
REB_bottom,2024-09-24,2024-09-25,2,0.2644,True
REB_bottom,2024-09-27,2024-10-08,3,0.1786,True
FLOW_pos_cross,2006-01-18,2006-01-18,1,0.0119,True
FLOW_pos_cross,2006-02-06,2006-02-06,1,0.0033,True
FLOW_pos_cross,2006-02-22,2006-02-22,1,-0.0188,False
FLOW_pos_cross,2006-03-10,2006-03-10,1,0.0738,True
FLOW_pos_cross,2006-04-14,2006-04-14,1,0.1598,True
FLOW_pos_cross,2006-04-21,2006-04-21,1,0.261,True
FLOW_pos_cross,2006-04-27,2006-04-27,1,0.2349,True
FLOW_pos_cross,2006-05-26,2006-05-26,1,0.0514,True
FLOW_pos_cross,2006-06-14,2006-06-14,1,0.1269,True
FLOW_pos_cross,2006-06-23,2006-06-23,1,0.0436,True
FLOW_pos_cross,2006-07-17,2006-07-17,1,-0.1197,False
FLOW_pos_cross,2006-08-03,2006-08-03,1,0.0098,True
FLOW_pos_cross,2006-08-08,2006-08-08,1,0.0706,True
FLOW_pos_cross,2006-08-22,2006-08-22,1,0.0655,True
FLOW_pos_cross,2006-09-18,2006-09-18,1,0.0514,True
FLOW_pos_cross,2006-09-27,2006-09-27,1,0.0334,True
FLOW_pos_cross,2006-10-17,2006-10-17,1,-0.0264,False
FLOW_pos_cross,2006-10-24,2006-10-24,1,-0.0672,False
FLOW_pos_cross,2006-11-01,2006-11-01,1,-0.0236,False
FLOW_pos_cross,2006-11-09,2006-11-09,1,0.0477,True
FLOW_pos_cross,2006-11-15,2006-11-15,1,0.1017,True
FLOW_pos_cross,2006-11-21,2006-11-21,1,0.0884,True
FLOW_pos_cross,2006-12-12,2006-12-12,1,0.0874,True
FLOW_pos_cross,2007-01-05,2007-01-05,1,0.2448,True
