ym,ic,n
2006-07,-0.006598,1138
2006-08,0.131627,1126
2006-09,0.142984,1136
2006-10,-0.104195,1138
2006-11,-0.059395,1138
2006-12,-0.034703,1142
2007-01,0.025834,1134
2007-02,0.095993,1139
2007-03,-0.098378,1155
2007-04,0.01381,1173
2007-05,0.195118,1156
2007-06,0.112474,1177
2007-07,0.036769,1189
2007-08,-0.030872,1199
2007-09,0.101583,1197
2007-10,0.252701,1209
2007-11,0.091104,1214
2007-12,0.181831,1215
2008-01,0.05904,1232
2008-02,0.143289,1241
2008-03,-0.066369,1252
2008-04,0.130272,1259
2008-05,0.071561,1268
2008-06,0.214882,1298
2008-07,0.18407,1322
2008-08,-0.09756,1327
2008-09,0.191687,1332
2008-10,0.107149,1341
2008-11,0.370559,1358
2008-12,-0.001062,1378
2009-01,0.019081,1378
2009-02,0.1021,1392
2009-03,0.22802,1397
2009-04,0.03571,1401
2009-05,0.003142,1393
2009-06,-0.082376,1401
2009-07,0.241297,1399
2009-08,0.166791,1398
2009-09,0.086981,1402
2009-10,0.190784,1401
2009-11,0.240251,1402
2009-12,0.210499,1403
2010-01,0.068304,1405
2010-02,0.193526,1415
2010-03,0.106746,1428
2010-04,0.1043,1457
2010-05,0.172537,1461
2010-06,0.020379,1481
2010-07,0.068763,1512
2010-08,-0.097093,1535
2010-09,-0.079738,1569
2010-10,0.282714,1586
2010-11,0.125166,1621
2010-12,-0.044835,1647
2011-01,-0.117535,1665
2011-02,-0.063063,1685
2011-03,-0.061302,1712
2011-04,0.018084,1737
2011-05,0.04819,1752
2011-06,0.174471,1789
2011-07,0.266386,1831
2011-08,0.083011,1870
2011-09,0.115007,1897
2011-10,0.227456,1914
2011-11,0.119472,1936
2011-12,-0.301026,1966
2012-01,0.155308,1978
2012-02,0.109306,1998
2012-03,-0.158962,2023
2012-04,0.177953,2026
2012-05,0.322162,2048
2012-06,-0.004052,2067
2012-07,0.245855,2082
2012-08,-0.090018,2099
2012-09,0.091237,2122
2012-10,0.000514,2138
2012-11,0.094046,2162
2012-12,0.036057,2172
2013-01,0.268861,2180
2013-02,0.097188,2199
2013-03,0.11035,2205
2013-04,0.196055,2210
2013-05,0.152587,2209
2013-06,0.140359,2195
2013-07,0.072181,2202
2013-08,0.089752,2206
2013-09,0.177446,2192
2013-10,0.244855,2200
2013-11,0.249882,2193
2013-12,0.186092,2197
2014-01,0.079614,2194
2014-02,0.149762,2178
2014-03,0.125324,2176
2014-04,0.115371,2151
2014-05,0.153843,2122
2014-06,0.035143,2136
2014-07,0.13611,2172
2014-08,0.135997,2178
2014-09,0.122692,2197
2014-10,0.07317,2160
2014-11,-0.198598,2163
2014-12,0.22676,2189
2015-01,0.055552,2184
2015-02,0.148062,2152
2015-03,0.039516,2178
2015-04,0.278428,2196
2015-05,0.075937,2168
2015-06,0.105824,2161
2015-07,0.116074,2123
2015-08,0.230861,2105
2015-09,0.055105,2137
2015-10,0.292546,2205
2015-11,0.145066,2308
2015-12,0.190093,2405
2016-01,0.022552,2414
2016-02,0.132698,2402
2016-03,0.211779,2406
2016-04,0.108739,2379
2016-05,0.139555,2363
2016-06,0.191932,2399
2016-07,0.202848,2428
2016-08,0.221656,2454
2016-09,0.128324,2478
2016-10,0.151133,2482
2016-11,0.044935,2521
2016-12,-0.064826,2540
2017-01,0.088534,2540
2017-02,0.087286,2547
2017-03,0.002614,2579
2017-04,-0.031574,2598
2017-05,-0.009189,2609
2017-06,-0.105754,2651
2017-07,0.145777,2719
2017-08,0.049554,2751
2017-09,0.14531,2835
2017-10,-0.12693,2868
2017-11,-0.047981,2919
2017-12,-0.023889,2937
2018-01,-0.050008,2975
2018-02,0.251906,2974
2018-03,0.078645,2994
2018-04,0.179672,3015
2018-05,0.031103,3090
2018-06,0.022303,3117
2018-07,-0.018087,3146
2018-08,-0.089082,3198
2018-09,0.209499,3227
2018-10,0.088064,3254
2018-11,0.1686,3275
2018-12,-0.030672,3294
2019-01,-0.135253,3302
2019-02,0.039997,3306
2019-03,0.068918,3318
2019-04,0.14936,3323
2019-05,0.083465,3328
2019-06,0.117818,3332
2019-07,-0.084532,3350
2019-08,0.149114,3358
2019-09,0.037543,3368
2019-10,0.010014,3378
2019-11,0.027593,3391
2019-12,-0.027626,3403
2020-01,-0.160577,3438
2020-02,0.345352,3452
2020-03,-0.100283,3464
2020-04,0.112724,3484
2020-05,-0.088389,3505
2020-06,0.056752,3531
2020-07,0.198415,3556
2020-08,0.109848,3574
2020-09,0.080205,3591
2020-10,0.105667,3611
2020-11,-0.174397,3633
2020-12,-0.053094,3666
2021-01,0.226387,3712
