ym,pcroi_pct,active
2006-01,,0
2006-02,,0
2006-03,,0
2006-04,,0
2006-05,,0
2006-06,,0
2006-07,,0
2006-08,,0
2006-09,,0
2006-10,,0
2006-11,,0
2006-12,,0
2007-01,,0
2007-02,,0
2007-03,,0
2007-04,,0
2007-05,,0
2007-06,,0
2007-07,,0
2007-08,,0
2007-09,,0
2007-10,,0
2007-11,,0
2007-12,,0
2008-01,,0
2008-02,,0
2008-03,,0
2008-04,,0
2008-05,,0
2008-06,,0
2008-07,,0
2008-08,,0
2008-09,,0
2008-10,,0
2008-11,,0
2008-12,,0
2009-01,,0
2009-02,,0
2009-03,,0
2009-04,,0
2009-05,,0
2009-06,,0
2009-07,,0
2009-08,,0
2009-09,,0
2009-10,,0
2009-11,,0
2009-12,,0
2010-01,,0
2010-02,,0
2010-03,,0
2010-04,,0
2010-05,,0
2010-06,,0
2010-07,,0
2010-08,,0
2010-09,,0
2010-10,,0
2010-11,,0
2010-12,,0
2011-01,,0
2011-02,,0
2011-03,,0
2011-04,,0
2011-05,,0
2011-06,,0
2011-07,,0
2011-08,,0
2011-09,,0
2011-10,,0
2011-11,,0
2011-12,,0
2012-01,,0
2012-02,,0
2012-03,,0
2012-04,,0
2012-05,,0
2012-06,,0
2012-07,,0
2012-08,,0
2012-09,,0
2012-10,,0
2012-11,,0
2012-12,,0
2013-01,,0
2013-02,,0
2013-03,,0
2013-04,,0
2013-05,,0
2013-06,,0
2013-07,,0
2013-08,,0
2013-09,,0
2013-10,,0
2013-11,,0
2013-12,,0
2014-01,,0
2014-02,,0
2014-03,,0
2014-04,,0
2014-05,,0
2014-06,,0
2014-07,,0
2014-08,,0
2014-09,,0
2014-10,,0
2014-11,,0
2014-12,,0
2015-01,,0
2015-02,,0
2015-03,,0
2015-04,,0
2015-05,,0
2015-06,,0
2015-07,,0
2015-08,,0
2015-09,,0
2015-10,,0
2015-11,,0
2015-12,,0
2016-01,,0
2016-02,,0
2016-03,,0
2016-04,,0
2016-05,,0
2016-06,,0
2016-07,,0
2016-08,,0
2016-09,,0
2016-10,,0
2016-11,,0
2016-12,,0
2017-01,0.7083333333333334,0
2017-02,0.44,0
2017-03,0.4230769230769231,0
2017-04,0.4074074074074074,0
2017-05,0.9642857142857144,0
2017-06,0.9310344827586208,0
2017-07,0.8333333333333334,0
2017-08,0.935483870967742,0
2017-09,0.40625,0
2017-10,0.9393939393939394,0
2017-11,0.7058823529411765,0
2017-12,0.3714285714285714,0
2018-01,0.8055555555555556,0
2018-02,0.3611111111111111,0
2018-03,0.1666666666666666,1
2018-04,0.1666666666666666,1
2018-05,0.2222222222222222,1
2018-06,0.2222222222222222,1
2018-07,0.5,0
2018-08,0.4444444444444444,0
2018-09,0.8888888888888888,0
2018-10,0.2777777777777778,1
2018-11,0.5555555555555556,0
2018-12,0.2222222222222222,1
2019-01,1.0,0
2019-02,1.0,0
2019-03,0.9722222222222222,0
2019-04,0.6388888888888888,0
2019-05,0.4722222222222222,0
2019-06,0.4722222222222222,0
2019-07,0.5833333333333334,0
2019-08,0.75,0
2019-09,0.2777777777777778,1
2019-10,0.5833333333333334,0
2019-11,0.4722222222222222,0
2019-12,0.6944444444444444,0
2020-01,0.1666666666666666,1
2020-02,0.4166666666666667,0
2020-03,0.2222222222222222,1
2020-04,0.8055555555555556,0
2020-05,0.7777777777777778,0
2020-06,1.0,0
2020-07,0.6944444444444444,0
2020-08,0.8611111111111112,0
2020-09,0.3333333333333333,0
2020-10,0.6111111111111112,0
2020-11,0.6944444444444444,0
2020-12,0.6944444444444444,0
2021-01,0.6666666666666666,0
2021-02,0.6944444444444444,0
2021-03,0.5555555555555556,0
2021-04,0.5833333333333334,0
2021-05,0.3888888888888889,0
2021-06,0.1666666666666666,1
2021-07,0.0277777777777777,1
2021-08,0.0833333333333333,1
2021-09,0.6111111111111112,0
2021-10,0.3055555555555556,0
2021-11,0.2777777777777778,1
2021-12,0.25,1
2022-01,0.3055555555555556,0
2022-02,0.5833333333333334,0
2022-03,0.6111111111111112,0
2022-04,0.4722222222222222,0
2022-05,0.9166666666666666,0
2022-06,1.0,0
2022-07,0.1944444444444444,1
2022-08,0.4722222222222222,0
2022-09,0.1666666666666666,1
2022-10,0.0277777777777777,1
2022-11,0.8333333333333334,0
2022-12,0.8055555555555556,0
2023-01,0.8888888888888888,0
2023-02,0.6944444444444444,0
2023-03,0.9166666666666666,0
2023-04,0.8055555555555556,0
2023-05,0.1111111111111111,1
2023-06,0.3055555555555556,0
2023-07,0.7222222222222222,0
2023-08,0.1111111111111111,1
2023-09,0.1388888888888889,1
2023-10,0.0833333333333333,1
2023-11,0.0277777777777777,1
2023-12,0.2777777777777778,1
2024-01,0.0555555555555555,1
2024-02,0.5277777777777778,0
2024-03,0.4444444444444444,0
2024-04,0.75,0
2024-05,0.5277777777777778,0
2024-06,0.2777777777777778,1
2024-07,0.6388888888888888,0
2024-08,0.3333333333333333,0
2024-09,0.9722222222222222,0
2024-10,0.5833333333333334,0
2024-11,0.5277777777777778,0
2024-12,0.3611111111111111,0
2025-01,0.4722222222222222,0
2025-02,0.4166666666666667,0
2025-03,0.2222222222222222,1
2025-04,0.6944444444444444,0
2025-05,0.6111111111111112,0
2025-06,0.5833333333333334,0
2025-07,0.5277777777777778,0
2025-08,0.9722222222222222,0
2025-09,0.8888888888888888,0
2025-10,0.8611111111111112,0
2025-11,0.9444444444444444,0
2025-12,0.6944444444444444,0
2026-01,0.7222222222222222,0
2026-02,0.8055555555555556,0
2026-03,0.1944444444444444,1
2026-04,0.8055555555555556,0
2026-05,0.8055555555555556,0
2026-06,0.9722222222222222,0
2026-07,0.3888888888888889,0
2026-08,,0
