variant,month,gross_ret,ew_ret,turnover,holdings
V0,2006-01-25,0.11533,0.086357,0.0,社会服务|有色金属|基础化工|农林牧渔|房地产
V0,2006-02-28,0.039548,0.026997,0.4,有色金属|综合|房地产|食品饮料|基础化工
V0,2006-03-31,0.016947,0.015939,0.6,食品饮料|房地产|家用电器|农林牧渔|钢铁
V0,2006-04-28,0.178426,0.10042,0.6,有色金属|商贸零售|房地产|食品饮料|社会服务
V0,2006-05-31,0.181102,0.19498,0.2,有色金属|食品饮料|商贸零售|社会服务|农林牧渔
V0,2006-06-30,0.03937,0.035109,0.6,综合|纺织服饰|农林牧渔|商贸零售|钢铁
V0,2006-07-31,-0.055309,-0.050405,0.6,食品饮料|商贸零售|交通运输|轻工制造|农林牧渔
V0,2006-08-31,0.075509,0.041143,0.6,房地产|社会服务|家用电器|轻工制造|商贸零售
V0,2006-09-29,0.040923,0.036657,0.4,房地产|社会服务|综合|纺织服饰|轻工制造
V0,2006-10-31,-0.00519,0.012773,0.4,农林牧渔|综合|交通运输|房地产|社会服务
V0,2006-11-30,0.112599,0.098671,0.8,钢铁|交通运输|有色金属|公用事业|基础化工
V0,2006-12-29,0.141867,0.099453,0.8,房地产|钢铁|家用电器|食品饮料|社会服务
V0,2007-01-31,0.190399,0.208836,0.4,食品饮料|钢铁|房地产|纺织服饰|商贸零售
V0,2007-02-28,0.17222,0.133527,0.6,商贸零售|纺织服饰|医药生物|有色金属|综合
V0,2007-03-30,0.154555,0.13928,0.4,综合|纺织服饰|有色金属|电子|公用事业
V0,2007-04-30,0.367004,0.333374,0.6,综合|纺织服饰|房地产|轻工制造|基础化工
V0,2007-05-31,0.087163,0.109195,0.6,纺织服饰|综合|公用事业|商贸零售|医药生物
V0,2007-06-29,-0.141507,-0.117807,0.6,房地产|社会服务|医药生物|农林牧渔|商贸零售
V0,2007-07-31,0.211265,0.195266,0.8,有色金属|家用电器|食品饮料|综合|房地产
V0,2007-08-31,0.134768,0.132389,0.4,房地产|有色金属|农林牧渔|纺织服饰|综合
V0,2007-09-28,0.0413,0.033278,0.6,有色金属|钢铁|轻工制造|房地产|社会服务
V0,2007-10-31,-0.043724,-0.06932,0.6,有色金属|交通运输|基础化工|钢铁|家用电器
V0,2007-11-30,-0.171421,-0.114885,0.4,房地产|食品饮料|基础化工|有色金属|交通运输
V0,2007-12-28,0.195735,0.189529,1.0,电子|农林牧渔|医药生物|轻工制造|社会服务
V0,2008-01-31,-0.065034,-0.079631,0.6,食品饮料|农林牧渔|医药生物|钢铁|商贸零售
V0,2008-02-29,0.0412,0.056986,0.8,农林牧渔|家用电器|房地产|社会服务|电子
V0,2008-03-31,-0.198721,-0.184355,0.8,农林牧渔|综合|纺织服饰|钢铁|医药生物
V0,2008-04-30,-0.051926,-0.025629,0.8,房地产|社会服务|食品饮料|纺织服饰|商贸零售
V0,2008-05-30,-0.085129,-0.068977,0.8,农林牧渔|钢铁|食品饮料|家用电器|交通运输
V0,2008-06-30,-0.203073,-0.236483,0.8,医药生物|基础化工|公用事业|商贸零售|农林牧渔
V0,2008-07-31,0.054493,0.059954,0.4,医药生物|食品饮料|公用事业|社会服务|商贸零售
V0,2008-08-29,-0.208114,-0.210099,0.8,食品饮料|轻工制造|纺织服饰|电子|农林牧渔
V0,2008-09-26,-0.047827,-0.055454,0.8,食品饮料|交通运输|公用事业|房地产|商贸零售
V0,2008-10-31,-0.230416,-0.265348,0.6,钢铁|公用事业|交通运输|家用电器|医药生物
V0,2008-11-28,0.155917,0.147426,0.4,医药生物|房地产|公用事业|家用电器|食品饮料
V0,2008-12-31,0.007915,0.027211,0.6,农林牧渔|有色金属|房地产|综合|公用事业
V0,2009-01-23,0.107125,0.118297,1.0,医药生物|社会服务|商贸零售|电子|轻工制造
V0,2009-02-27,0.087414,0.079836,0.8,有色金属|综合|纺织服饰|钢铁|电子
V0,2009-03-31,0.184402,0.192026,0.6,有色金属|家用电器|食品饮料|综合|农林牧渔
V0,2009-04-30,0.045084,0.049539,0.6,有色金属|房地产|综合|电子|社会服务
V0,2009-05-27,0.037969,0.047297,0.6,家用电器|商贸零售|医药生物|综合|房地产
V0,2009-06-30,0.13308,0.085488,0.6,社会服务|有色金属|房地产|综合|钢铁
V0,2009-07-31,0.1821,0.14965,0.4,房地产|食品饮料|钢铁|有色金属|医药生物
V0,2009-08-31,-0.213184,-0.162698,0.6,钢铁|有色金属|基础化工|公用事业|轻工制造
V0,2009-09-30,0.055626,0.029664,1.0,医药生物|食品饮料|农林牧渔|家用电器|商贸零售
V0,2009-10-30,0.114547,0.101486,0.2,家用电器|房地产|医药生物|商贸零售|食品饮料
V0,2009-11-30,0.10725,0.130447,0.4,家用电器|综合|房地产|医药生物|轻工制造
V0,2009-12-31,0.03516,0.021764,1.0,社会服务|农林牧渔|食品饮料|钢铁|商贸零售
V0,2010-01-29,-0.082202,-0.05056,0.8,基础化工|钢铁|电子|家用电器|轻工制造
V0,2010-02-26,0.070675,0.05213,0.8,社会服务|医药生物|电子|农林牧渔|综合
V0,2010-03-31,0.021209,0.018883,0.4,综合|社会服务|家用电器|纺织服饰|医药生物
V0,2010-04-30,-0.103128,-0.073505,0.6,电子|房地产|纺织服饰|综合|基础化工
V0,2010-05-31,-0.041853,-0.081718,0.8,医药生物|有色金属|电子|农林牧渔|食品饮料
V0,2010-06-30,-0.091649,-0.085198,0.2,医药生物|食品饮料|电子|农林牧渔|家用电器
V0,2010-07-30,0.156996,0.142658,0.6,食品饮料|商贸零售|房地产|社会服务|家用电器
V0,2010-08-31,0.057289,0.069516,0.4,房地产|综合|家用电器|社会服务|轻工制造
V0,2010-09-30,0.026428,0.022934,0.8,农林牧渔|医药生物|社会服务|商贸零售|电子
V0,2010-10-29,0.094648,0.091167,0.6,有色金属|食品饮料|农林牧渔|医药生物|轻工制造
V0,2010-11-30,-0.05626,-0.020704,0.8,有色金属|交通运输|家用电器|综合|电子
V0,2010-12-31,-0.044253,-0.017302,0.8,食品饮料|医药生物|电子|社会服务|纺织服饰
V0,2011-01-31,-0.025125,-0.047718,1.0,有色金属|家用电器|钢铁|房地产|交通运输
V0,2011-02-28,0.067355,0.09223,0.4,钢铁|交通运输|房地产|公用事业|综合
V0,2011-03-31,-0.011476,-0.011637,0.8,家用电器|综合|有色金属|电子|基础化工
V0,2011-04-29,-0.028254,-0.018597,0.6,钢铁|房地产|有色金属|纺织服饰|综合
V0,2011-05-31,-0.082146,-0.070248,0.8,公用事业|钢铁|商贸零售|轻工制造|交通运输
V0,2011-06-30,0.031573,0.027078,1.0,食品饮料|农林牧渔|家用电器|综合|医药生物
V0,2011-07-29,-0.007838,0.015299,0.6,房地产|家用电器|基础化工|电子|综合
V0,2011-08-31,-0.000241,-0.033505,1.0,食品饮料|医药生物|社会服务|农林牧渔|纺织服饰
V0,2011-09-30,-0.135221,-0.122997,0.2,食品饮料|社会服务|农林牧渔|纺织服饰|房地产
V0,2011-10-31,0.030375,0.036546,1.0,交通运输|家用电器|钢铁|公用事业|基础化工
V0,2011-11-30,-0.023558,-0.042973,0.8,公用事业|社会服务|房地产|食品饮料|综合
V0,2011-12-30,-0.133507,-0.131458,0.4,食品饮料|医药生物|农林牧渔|社会服务|公用事业
V0,2012-01-31,0.032983,0.009656,0.8,房地产|家用电器|钢铁|公用事业|交通运输
V0,2012-02-29,0.100953,0.108724,0.2,有色金属|钢铁|家用电器|交通运输|房地产
V0,2012-03-30,-0.071865,-0.065788,0.6,电子|轻工制造|家用电器|房地产|综合
V0,2012-04-27,0.079212,0.064721,0.8,社会服务|食品饮料|商贸零售|房地产|纺织服饰
V0,2012-05-31,0.007695,0.014643,0.4,房地产|综合|食品饮料|有色金属|商贸零售
V0,2012-06-29,-0.048897,-0.057357,0.6,医药生物|有色金属|电子|家用电器|房地产
V0,2012-07-31,-0.050725,-0.071904,0.8,医药生物|公用事业|食品饮料|社会服务|纺织服饰
V0,2012-08-31,-0.017602,-0.013141,0.4,社会服务|食品饮料|农林牧渔|医药生物|钢铁
