ym_avail,pen1_cov
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,438
2007-05,438
2007-06,0
2007-07,0
2007-08,402
2007-09,402
2007-10,388
2007-11,388
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,351
2008-05,351
2008-06,0
2008-07,0
2008-08,459
2008-09,459
2008-10,596
2008-11,596
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,974
2009-05,974
2009-06,0
2009-07,0
2009-08,1039
2009-09,1039
2009-10,981
2009-11,981
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,535
2010-05,535
2010-06,0
2010-07,0
2010-08,434
2010-09,434
2010-10,431
2010-11,431
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,576
2011-05,576
2011-06,0
2011-07,0
2011-08,670
2011-09,670
2011-10,724
2011-11,724
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,996
2012-05,996
2012-06,0
2012-07,0
2012-08,1243
2012-09,1243
2012-10,1292
2012-11,1292
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,1277
2013-05,1277
2013-06,0
2013-07,0
2013-08,1218
2013-09,1218
2013-10,1138
2013-11,1138
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,1031
2014-05,1031
2014-06,0
2014-07,0
2014-08,1069
2014-09,1069
2014-10,1064
2014-11,1064
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,1048
2015-05,1048
2015-06,0
2015-07,0
2015-08,1162
2015-09,1162
2015-10,1203
2015-11,1203
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,1226
2016-05,1226
2016-06,0
2016-07,0
2016-08,1310
2016-09,1310
2016-10,1185
2016-11,1185
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,998
2017-05,998
2017-06,0
2017-07,0
2017-08,996
2017-09,996
2017-10,1063
2017-11,1063
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,1240
2018-05,1240
2018-06,0
2018-07,0
2018-08,1334
2018-09,1334
2018-10,1445
2018-11,1445
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,1946
2019-05,1946
2019-06,0
2019-07,0
2019-08,2076
2019-09,2076
2019-10,2142
2019-11,2142
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,2004
2020-05,2004
2020-06,0
2020-07,0
2020-08,2161
2020-09,2161
2020-10,1910
2020-11,1910
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,1737
2021-05,1737
2021-06,0
2021-07,0
2021-08,1407
2021-09,1407
2021-10,1628
2021-11,1628
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,2210
2022-05,2210
2022-06,0
2022-07,0
2022-08,2679
2022-09,2679
2022-10,2720
2022-11,2720
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,2848
2023-05,2848
2023-06,0
2023-07,0
2023-08,2863
2023-09,2863
2023-10,2888
2023-11,2888
2023-12,0
2024-01,0
2024-02,0
2024-03,0
2024-04,2808
2024-05,2808
2024-06,0
2024-07,0
2024-08,2897
2024-09,2897
2024-10,2933
2024-11,2933
2024-12,0
2025-01,0
2025-02,0
2025-03,0
2025-04,2995
2025-05,2995
2025-06,0
2025-07,0
2025-08,2953
2025-09,2953
2025-10,2790
2025-11,2790
2025-12,0
2026-01,0
2026-02,0
2026-03,0
2026-04,2768
2026-05,2768
2026-06,0
2026-07,0
2026-08,713
