year,n,ok,rate
2005,5197,5024,0.9667115643640561
2006,5712,5418,0.9485294117647058
2007,6406,6114,0.9544177333749609
2008,6856,6672,0.9731621936989499
2009,7885,7182,0.9108433734939759
2010,8807,8138,0.9240376972862496
2011,9875,9483,0.9603037974683545
2012,10361,10232,0.9875494643374192
2013,10993,10770,0.979714363685982
2014,12050,11468,0.951701244813278
2015,12972,12335,0.9508942337341967
2016,14434,13413,0.9292642372176805
2017,15362,14880,0.9686238770993361
2018,16005,15571,0.9728834739144018
2019,17388,16372,0.9415688980906373
2020,18866,17869,0.9471536096681862
2021,19842,19178,0.9665356314887612
2022,20451,19953,0.9756491125128356
2023,20541,20381,0.9922107005501193
2024,20724,20547,0.9914591777649102
2025,20857,20775,0.9960684662223714
2026,6691,6691,1.0
